2025-12-13 12:29:31 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [ROLO] нет в таблице
2025-12-13 12:29:31 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [BANE] нет в таблице
2025-12-13 12:29:31 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [OKEY] нет в таблице
2025-12-13 12:29:31 | DEBUG    | fin_processor.py:23 | logger.log | [CAP]: [OKEY] нет в таблице
2025-12-13 12:29:31 | DEBUG    | fin_processor.py:25 | logger.log | [IR]: [UGLD] нет таблице
2025-12-13 12:29:31 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [PMSB] нет в таблице
2025-12-13 12:29:31 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [LMBZ] нет в таблице
2025-12-13 12:29:31 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [RBCM] нет в таблице
2025-12-13 12:29:31 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [GCHE] нет в таблице
2025-12-13 12:29:31 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [NMTP] нет в таблице
2025-12-13 12:29:31 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [MGNT] нет в таблице
2025-12-13 12:29:31 | DEBUG    | fin_processor.py:23 | logger.log | [CAP]: [DOMRF] нет в таблице
2025-12-13 12:29:31 | DEBUG    | fin_processor.py:25 | logger.log | [IR]: [DOMRF] нет таблице
2025-12-13 12:29:31 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [LSNG] нет в таблице
2025-12-13 12:29:31 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [SIBN] нет в таблице
2025-12-13 12:29:31 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [MGKL] нет в таблице
2025-12-13 12:29:31 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [SPBE] нет в таблице
2025-12-13 12:29:31 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [IRKT] нет в таблице
2025-12-13 12:29:31 | DEBUG    | fin_processor.py:23 | logger.log | [CAP]: [OZON] нет в таблице
2025-12-13 12:29:31 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [NKNC] нет в таблице
2025-12-13 12:29:31 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [WTCM] нет в таблице
2025-12-13 12:29:31 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [ZAYM] нет в таблице
2025-12-13 12:29:31 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [ELMT] нет в таблице
2025-12-13 12:29:31 | DEBUG    | fin_processor.py:23 | logger.log | [CAP]: [GLRX] нет в таблице
2025-12-13 12:29:31 | DEBUG    | fin_processor.py:25 | logger.log | [IR]: [GLRX] нет таблице
2025-12-13 12:32:53 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [ROLO] нет в таблице
2025-12-13 12:32:53 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [BANE] нет в таблице
2025-12-13 12:32:53 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [OKEY] нет в таблице
2025-12-13 12:32:53 | DEBUG    | fin_processor.py:23 | logger.log | [CAP]: [OKEY] нет в таблице
2025-12-13 12:32:53 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [APRI] нет в таблице
2025-12-13 12:32:53 | DEBUG    | fin_processor.py:25 | logger.log | [IR]: [APRI] нет таблице
2025-12-13 12:32:53 | DEBUG    | fin_processor.py:25 | logger.log | [IR]: [UGLD] нет таблице
2025-12-13 12:32:53 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [PMSB] нет в таблице
2025-12-13 12:32:53 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [LMBZ] нет в таблице
2025-12-13 12:32:53 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [RBCM] нет в таблице
2025-12-13 12:32:53 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [GCHE] нет в таблице
2025-12-13 12:32:53 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [NMTP] нет в таблице
2025-12-13 12:32:53 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [MGNT] нет в таблице
2025-12-13 12:32:53 | DEBUG    | fin_processor.py:23 | logger.log | [CAP]: [DOMRF] нет в таблице
2025-12-13 12:32:53 | DEBUG    | fin_processor.py:25 | logger.log | [IR]: [DOMRF] нет таблице
2025-12-13 12:32:53 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [LSNG] нет в таблице
2025-12-13 12:32:53 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [SIBN] нет в таблице
2025-12-13 12:32:53 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [MGKL] нет в таблице
2025-12-13 12:32:53 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [SPBE] нет в таблице
2025-12-13 12:32:53 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [IRKT] нет в таблице
2025-12-13 12:32:53 | DEBUG    | fin_processor.py:23 | logger.log | [CAP]: [OZON] нет в таблице
2025-12-13 12:32:53 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [NKNC] нет в таблице
2025-12-13 12:32:53 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [WTCM] нет в таблице
2025-12-13 12:32:54 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [ZAYM] нет в таблице
2025-12-13 12:32:54 | DEBUG    | fin_processor.py:19 | logger.log | [FREE-FLOAT]: [ELMT] нет в таблице
2025-12-13 12:32:54 | DEBUG    | fin_processor.py:23 | logger.log | [CAP]: [GLRX] нет в таблице
2025-12-13 12:32:54 | DEBUG    | fin_processor.py:25 | logger.log | [IR]: [GLRX] нет таблице
