;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";04.07.2018;04.07.2018;30.01.2024;01.09.2022;03.05.2018;30.04.2019;08.05.2020;30.04.2021;05.05.2022;29.04.2023;26.04.2024;28.04.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";0.420;0.359;0.311;0.390;0.494;0.645;0.840;1.08;1.18;1.14;1.37;1.52;1.62
"Операционная прибыль, млрд руб";;;;-0.144;-0.058;0.117;0.180;0.200;0.120;0.111;0.276;0.301;0.253
"EBITDA, млрд руб";0.066;-0.026;-0.069;-0.120;-0.018;0.147;0.240;0.205;0.155;0.164;0.347;1.15;1.13
"Чистая прибыль, млрд руб";0.015;-0.013;-0.052;-0.110;-0.100;-0.034;0.085;0.073;0.012;0.046;0.169;0.215;0.247
"Операционный денежный поток, млрд руб";;;;0.036;-0.020;0.020;0.176;0.054;0.280;0.220;0.435;0.482;0.383
"CAPEX, млрд руб";;;;0.067;0.213;0.035;0.200;0.086;0.153;0.218;0.204;0.100;0.072
"FCF, млрд руб";;;;-0.040;-0.267;-0.043;-0.045;0.041;0.066;-0.042;0.191;0.185;0.079
"Див.выплата, млрд руб";;;;;;;;;;0.085;0.111;;
"Дивиденд, руб/акцию";;;;;;;;;;1;1,2;;
"Див доход, ао, %";;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;1.6%;1.2%;0.0%;0.0%
"Дивиденды/прибыль, %";0%;0%;0%;0%;0%;0%;0%;0%;0%;185%;66%;0%;0
"Опер. расходы, млрд руб";0.377;0.411;0.406;0.534;0.553;0.527;0.660;0.750;1.06;1.03;1.09;1.22;1.36
"Амортизация, млрд руб";;;;;;;;;;0.1;0.1;0.1;0.1
"НИОКР, млрд руб";;;0.029;0.037;0.005;0.030;0.030;;0.005;0.080;0.030;0.010;
"Расх на персонал, млрд руб";;;0.080;0.133;0.179;0.203;0.201;0.224;0.253;0.245;0.258;0.281;0.305
"Процентные расходы, млрд руб";;;0.005;0.023;0.034;0.030;0.028;0.027;0.051;0.049;0.052;0.091;0.078
"Активы, млрд руб";;;;1.04;1.05;1.12;1.40;1.51;1.74;2.04;2.54;2.67;2.75
"Чистые активы, млрд руб";0.352;0.339;0.288;0.154;0.051;0.027;0.110;0.194;0.234;0.341;0.424;0.407;0.539
"Долг, млрд руб";0.126;0.098;0.413;0.362;0.411;0.373;0.252;0.180;0.494;0.708;0.650;0.568;0.532
"Наличность, млрд руб";0.018;0.071;0.051;0.286;0.107;0.064;0.090;0.100;0.193;0.202;0.544;0.503;0.344
"Чистый долг, млрд руб";0.11;0.03;0.36;0.08;0.30;0.31;0.16;0.08;0.30;0.51;0.11;0.07;0.19
"Цена акции ао, руб";;;10.5;18.1;11.5;7.89;13.0;38.2;115.0;62.1;102.0;84.9;69.3
"Число акций ао, млн";75.0;75.0;75.0;75.0;75.0;75.0;75.0;75.0;85.0;92.6;92.6;92.6;92.6
"Free Float, %";;;;;;;;;;;15.0%;21.7%;18.0%
"Капитализация, млрд руб";0.00;0.00;0.78;1.35;0.86;0.59;0.97;2.86;9.78;5.75;9.45;7.86;6.42
"EV, млрд руб";0.11;0.03;1.15;1.43;1.17;0.90;1.14;2.94;10.1;6.26;9.56;7.93;6.61
"Баланс стоимость, млрд руб";0.35;0.34;0.24;0.10;-0.06;-0.29;-0.31;-0.27;-0.31;-0.40;-0.38;-0.45;-0.33
"EPS, руб";0.20;-0.17;-0.69;-1.47;-1.33;-0.45;1.13;0.97;0.14;0.50;1.82;2.32;2.67
"FCF/акцию, руб";0.00;0.00;0.00;-0.53;-3.56;-0.57;-0.60;0.55;0.78;-0.45;2.06;2.00;0.85
"BV/акцию, руб";4.69;4.52;3.20;1.27;-0.76;-3.85;-4.13;-3.53;-3.64;-4.26;-4.06;-4.87;-3.54
"Рентаб EBITDA, %";15.7%;-7.2%;-22.2%;-30.8%;-3.6%;22.8%;28.6%;18.9%;13.1%;14.4%;25.3%;75.7%;69.8%
"Чистая рентаб, %";3.6%;-3.6%;-16.7%;-28.2%;-20.2%;-5.3%;10.1%;6.7%;1.0%;4.0%;12.3%;14.1%;15.3%
"Доходность FCF, %";;;0.0%;-3.0%;-31.0%;-7.3%;-4.6%;1.4%;0.7%;-0.7%;2.0%;2.4%;1.2%
"ROE, %";4.3%;-3.8%;-18.1%;-71.4%;-196.1%;-125.9%;77.3%;37.6%;5.1%;13.5%;39.9%;52.8%;45.8%
"ROA, %";;;;-10.6%;-9.5%;-3.0%;6.1%;4.8%;0.7%;2.3%;6.7%;8.0%;9.0%
P/E;0.00;0.00;-15.1;-12.3;-8.63;-17.4;11.5;39.2;814.6;125.0;55.9;36.6;26.0
P/FCF;;;;-33.8;-3.23;-13.8;-21.7;69.8;148.1;-136.9;49.5;42.5;81.2
P/S;0.00;0.00;2.52;3.47;1.75;0.92;1.16;2.64;8.28;5.06;6.90;5.17;3.97
P/BV;0.00;0.00;3.27;14.3;-15.1;-2.05;-3.14;-10.8;-31.6;-14.6;-25.1;-17.4;-19.6
EV/EBITDA;1.64;-1.04;-16.6;-11.9;-64.8;6.13;4.73;14.4;65.0;38.1;27.5;6.89;5.86
