;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;05.07.2018;05.07.2018;05.07.2018;05.07.2018;05.07.2018;18.04.2019;14.04.2020;30.04.2021;28.04.2022;21.04.2023;02.05.2024;20.05.2025;28.04.2026;02.05.2024
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;4.84;5.35;6.39;7.44;7.38;8.53;9.19;10.1;11.6;13.8;12.5;15.8;21.2;14.1
Операционная прибыль, млрд руб;;;;1.02;1.37;1.57;1.73;1.72;2.23;2.74;1.67;3.47;3.85;1.67
EBITDA, млрд руб;;;;1.25;1.61;1.82;2.21;2.07;2.93;3.38;2.90;4.31;4.80;2.90
Чистая прибыль, млрд руб;0.640;0.040;0.120;0.495;0.826;1.09;1.29;1.10;1.35;1.75;1.28;1.84;1.96;1.28
Операционный денежный поток, млрд руб;;;;;0.210;0.503;1.23;0.419;0.879;0.805;-0.560;-1.25;1.31;-0.560
CAPEX, млрд руб;;;;;0.663;0.549;1.26;0.300;0.746;1.36;1.42;1.28;0.704;1.42
FCF, млрд руб;;;;;-0.453;-0.046;-0.027;0.122;0.572;-0.672;-1.98;-2.83;0.868;-1.98
Див.выплата, млрд руб;;;;;0.280;0.338;0.100;0.280;0.337;0.019;0.922;0.545;;0.545
Дивиденд, руб/акцию;;;;;2,86;2,86;1,03;2,86;3,44;0,19;9,41;5,01;;5,01
Див доход, ао, %;;;;0.0%;2.0%;2.0%;0.7%;1.4%;1.8%;0.1%;3.6%;2.9%;0.0%;3.0%
Дивиденды/прибыль, %;0%;0%;0%;0%;34%;31%;8%;25%;25%;1%;72%;30%;0%;43%
Опер. расходы, млрд руб;;;;;2.00;2.10;2.01;0.410;1.65;2.74;3.20;4.45;4.75;
Себестоимость, млрд руб;2.23;2.58;2.77;3.09;3.26;4.00;4.49;5.14;5.99;6.33;7.11;7.48;10.9;7.11
Амортизация, млрд руб;;;;;;;;;;;0.7;1.0;1.0;0.4
Расх на персонал, млрд руб;;;;;1.09;1.15;1.32;1.36;1.20;1.56;2.57;3.29;3.94;1.10
Процентные расходы, млрд руб;;;;;0.123;0.139;0.350;0.490;0.493;0.627;0.811;1.45;1.11;0.290
Активы, млрд руб;;;;;13.0;14.2;15.8;20.5;21.6;24.6;27.7;34.3;35.5;27.7
Чистые активы, млрд руб;3.82;2.69;3.32;6.54;7.24;8.14;9.15;10.2;11.2;12.6;13.4;18.0;19.3;13.4
Долг, млрд руб;2.68;2.31;3.98;2.56;3.21;3.50;3.60;6.61;6.40;7.47;8.87;9.37;8.86;8.87
Наличность, млрд руб;0.130;0.120;0.060;0.114;0.049;0.162;0.128;0.246;0.186;0.340;0.135;0.722;0.169;0.135
Чистый долг, млрд руб;2.55;2.19;3.92;2.45;3.17;3.34;3.47;6.36;6.21;7.13;8.74;8.65;8.69;8.74
Цена акции ао, руб;;;;100.0;146.0;143.0;139.0;199.5;192.5;191.0;263.8;174.0;164.6;167.6
Число акций ао, млн;98.0;98.0;98.0;98.0;98.0;98.0;98.0;98.0;98.0;98.0;98.0;108.9;108.9;98.0
Капитализация, млрд руб;0.00;0.00;0.00;9.80;14.3;14.0;13.6;19.6;18.9;18.7;25.9;18.9;17.9;16.4
EV, млрд руб;2.55;2.19;3.92;12.2;17.5;17.4;17.1;25.9;25.1;25.8;34.6;27.6;26.6;25.2
Баланс стоимость, млрд руб;3.82;2.69;3.32;6.54;7.24;8.14;9.15;10.1;11.2;12.6;13.4;18.0;19.3;13.4
EPS, руб;6.53;0.41;1.22;5.05;8.43;11.1;13.1;11.2;13.8;17.9;13.1;16.9;18.0;13.1
FCF/акцию, руб;0.00;0.00;0.00;0.00;-4.62;-0.47;-0.28;1.24;5.84;-6.86;-20.2;-26.0;7.97;-20.2
BV/акцию, руб;39.0;27.4;33.9;66.8;73.9;83.1;93.3;103.3;114.1;128.2;136.5;165.0;177.0;136.5
Рентаб EBITDA, %;0.0%;0.0%;0.0%;16.8%;21.8%;21.3%;24.1%;20.6%;25.3%;24.5%;23.2%;27.3%;22.6%;20.6%
Чистая рентаб, %;13.2%;0.7%;1.9%;6.7%;11.2%;12.8%;14.0%;10.9%;11.6%;12.7%;10.2%;11.6%;9.2%;9.1%
Доходность FCF, %;;;;0.0%;-3.2%;-0.3%;-0.2%;0.6%;3.0%;-3.6%;-7.7%;-14.9%;4.8%;-12.1%
ROE, %;16.8%;1.5%;3.6%;7.6%;11.4%;13.4%;14.1%;10.8%;12.0%;13.9%;9.6%;10.2%;10.1%;9.6%
ROA, %;;;;;6.4%;7.7%;8.1%;5.4%;6.2%;7.1%;4.6%;5.4%;5.5%;4.6%
P/E;0.00;0.00;0.00;19.8;17.3;12.8;10.6;17.8;14.0;10.7;20.2;10.3;9.16;12.8
P/FCF;;;;;-31.6;-304.7;-504.5;160.3;33.0;-27.9;-13.1;-6.70;20.6;-8.30
P/S;0.00;0.00;0.00;1.32;1.94;1.64;1.48;1.95;1.63;1.36;2.06;1.20;0.85;1.17
P/BV;0.00;0.00;0.00;1.50;1.98;1.72;1.49;1.93;1.69;1.49;1.93;1.05;0.93;1.23
EV/EBITDA;;;;9.80;10.9;9.54;7.73;12.5;8.56;7.65;11.9;6.41;5.54;8.68
