;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;06.07.2018;06.07.2018;01.04.2020;28.04.2018;28.04.2018;23.04.2019;22.04.2020;23.04.2021;26.04.2022;27.04.2024;27.04.2024;28.04.2025;27.04.2026;29.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;13.1;15.7;17.4;19.2;22.5;26.2;27.1;24.6;40.1;43.1;46.5;37.3;27.2;30.8
Операционная прибыль, млрд руб;;;;1.72;1.79;1.79;1.50;1.78;14.7;10.00;10.8;4.17;-1.22;0.736
EBITDA, млрд руб;-7.99;1.25;1.68;2.45;2.55;2.52;2.34;2.55;10.5;10.9;11.7;5.10;-0.273;1.58
Чистая прибыль, млрд руб;-7.31;-1.06;-0.826;1.93;0.791;0.582;1.53;0.540;11.7;8.72;9.73;4.81;-1.39;0.142
Операционный денежный поток, млрд руб;;;;1.78;0.643;1.56;3.07;3.23;7.34;10.1;7.69;-4.11;0.209;-3.94
CAPEX, млрд руб;;;0.288;0.395;0.399;0.491;0.516;0.400;0.480;0.600;0.800;1.88;7.51;5.12
FCF, млрд руб;;;;1.41;0.254;1.14;2.59;2.84;6.87;10.3;8.70;11.2;-2.34;13.0
Див.выплата, млрд руб;;;;0.000;;;;;;;;38.4;;0.000
Дивиденд, руб/акцию;;;;0;;;;;;;;77;;0
Див доход, ао, %;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;111.7%;0.0%;
Дивиденды/прибыль, %;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;799%;0%;0
Опер. расходы, млрд руб;;;;1.74;1.93;2.32;2.77;2.32;;3.07;3.86;3.85;3.45;3.59
Себестоимость, млрд руб;12.3;13.5;14.9;15.8;18.8;22.0;22.8;20.5;27.4;30.0;31.9;29.3;23.9;26.1
Амортизация, млрд руб;;;;;;;;;;0.9;0.9;0.9;0.9;0.8
Расх на персонал, млрд руб;;;2.09;2.23;2.43;2.55;2.73;3.05;3.59;3.49;5.36;6.08;6.20;
Процентные расходы, млрд руб;;;0.567;0.533;0.416;0.367;0.290;0.250;0.197;;0.149;1.55;2.50;3.12
Активы, млрд руб;;;15.9;16.0;16.9;16.6;17.0;17.8;31.2;39.0;50.8;41.1;37.7;40.2
Чистые активы, млрд руб;5.30;4.24;3.11;5.34;6.13;6.71;8.21;8.75;20.4;29.0;38.6;13.5;12.2;13.2
Долг, млрд руб;5.05;10.1;9.80;7.40;7.07;6.86;5.34;5.45;4.25;1.39;1.41;17.4;18.5;17.4
Наличность, млрд руб;0.049;0.447;0.120;0.500;0.389;0.527;2.03;3.80;4.33;10.5;6.10;3.30;2.90;3.68
Чистый долг, млрд руб;5.01;9.64;9.68;6.90;6.68;6.33;3.32;1.65;-0.08;-9.11;-4.69;14.1;15.6;13.8
Цена акции ао, руб;;;4.00;3.97;4.70;3.96;4.90;7.28;17.9;27.3;65.9;69.0;68.1;
Число акций ао, млн;498.5;498.5;498.5;498.5;498.5;498.5;498.5;498.5;498.5;498.5;498.5;498.5;498.5;498.5
Капитализация, млрд руб;0.00;0.00;1.99;1.98;2.34;1.97;2.44;3.63;8.93;13.6;32.9;34.4;33.9;0
EV, млрд руб;5.01;9.64;11.7;8.88;9.02;8.30;5.76;5.28;8.85;4.50;28.2;48.4;49.6;13.8
Баланс стоимость, млрд руб;5.30;4.24;3.11;5.34;6.13;6.71;8.21;8.75;20.4;29.0;38.6;13.5;12.2;13.2
EPS, руб;-14.7;-2.13;-1.66;3.88;1.59;1.17;3.07;1.08;23.4;17.5;19.5;9.64;-2.78;0.28
FCF/акцию, руб;0.00;0.00;0.00;2.82;0.51;2.28;5.20;5.70;13.8;20.7;17.5;22.5;-4.70;26.1
BV/акцию, руб;10.6;8.50;6.23;10.7;12.3;13.5;16.5;17.6;40.9;58.2;77.4;27.2;24.4;26.5
Рентаб EBITDA, %;-61.0%;7.9%;9.6%;12.7%;11.3%;9.7%;8.7%;10.4%;26.2%;25.4%;25.1%;13.7%;-1.0%;5.1%
Чистая рентаб, %;-55.8%;-6.7%;-4.8%;10.0%;3.5%;2.2%;5.7%;2.2%;29.1%;20.2%;20.9%;12.9%;-5.1%;0.5%
Доходность FCF, %;;;0.0%;71.1%;10.8%;57.6%;106.0%;78.3%;76.9%;75.9%;26.5%;32.6%;-6.9%;
ROE, %;-137.9%;-25.1%;-26.6%;36.2%;12.9%;8.7%;18.6%;6.2%;57.2%;30.1%;25.2%;35.5%;-11.4%;1.1%
ROA, %;;;-5.2%;12.1%;4.7%;3.5%;9.0%;3.0%;37.4%;22.4%;19.1%;11.7%;-3.7%;0.4%
P/E;0.00;0.00;-2.41;1.02;2.96;3.39;1.60;6.72;0.76;1.56;3.38;7.15;-24.4;0
P/FCF;;;;1.41;9.22;1.74;0.94;1.28;1.30;1.32;3.78;3.07;-14.5;0
P/S;0.00;0.00;0.11;0.10;0.10;0.08;0.09;0.15;0.22;0.32;0.71;0.92;1.25;0
P/BV;0.00;0.00;0.64;0.37;0.38;0.29;0.30;0.41;0.44;0.47;0.85;2.54;2.79;0
EV/EBITDA;-0.63;7.73;6.97;3.62;3.54;3.29;2.46;2.07;0.84;0.41;2.41;9.49;-181.6;8.73
Долг/EBITDA;-0.63;7.73;5.78;2.81;2.62;2.51;1.42;0.65;-0.01;-0.83;-0.40;2.76;-57.3;8.73
