;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;29.10.2020;29.04.2021;22.04.2022;14.04.2023;22.04.2024;29.04.2025;;01.12.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;;RUB
Контракты на продажу м, тыс.м2;;;;;;;725;725
Продажи недвижимости, тыс.м2;;;;;;;78;78
Средняя цена квадратного метра, тыс.руб/м2;;;;;;;;147
Выручка, млрд руб;;;;1.46;6.64;23.0;;24.2
Операционная прибыль, млрд руб;;;;1.23;2.92;5.69;;5.93
EBITDA, млрд руб;;;;1.27;3.60;7.21;;8.33
Чистая прибыль, млрд руб;;;;0.700;1.52;1.91;;2.34
Операционный денежный поток, млрд руб;;;;0.300;-6.35;-6.49;;-7.66
CAPEX, млрд руб;;;;;0.333;1.07;0.896;0.896
FCF, млрд руб;;;;;-7.49;-7.56;-9.36;-9.36
Див доход, ао, %;;;;;;0.0%;0.0%;0.0%
Дивиденды/прибыль, %;;;;0%;0%;0%;;0
Опер. расходы, млрд руб;;;;0.427;0.745;2.15;;2.56
Себестоимость, млрд руб;;;;0.558;3.72;14.5;;15.2
Амортизация, млрд руб;;;;0.0;0.1;0.1;;0.2
Расх на персонал, млрд руб;;;;0.069;0.122;0.265;;0.273
Процентные расходы, млрд руб;;;;0.480;0.562;0.788;;2.63
Активы, млрд руб;;;;10.9;33.6;61.2;;68.5
Чистые активы, млрд руб;;;;2.18;5.03;8.36;;8.13
Долг, млрд руб;;;;3.74;21.3;31.9;;41.3
Наличность, млрд руб;;;;1.81;11.4;7.94;;6.03
Чистый долг, млрд руб;0.00;0.00;0.00;1.93;9.92;23.9;;35.3
Цена акции ао, руб;;;;;;10.6;16.1;16.7
Число акций ао, млн;;;;;;1 115;1 115;1 115
Капитализация, млрд руб;0.00;0.00;0.00;0.00;0.00;11.8;;18.6
EV, млрд руб;0.00;0.00;0.00;1.93;9.92;35.7;;53.9
Баланс стоимость, млрд руб;0.00;0.00;0.00;2.18;5.03;8.36;;8.13
EPS, руб;;;;;;1.71;2.10;2.10
FCF/акцию, руб;;;;;;-6.77;-8.39;-8.39
BV/акцию, руб;;;;;;7.49;7.29;7.29
Рентаб EBITDA, %;;;;87.0%;54.1%;31.4%;;34.4%
Чистая рентаб, %;;;;47.9%;22.8%;8.3%;;9.7%
Доходность FCF, %;;;;;;-64.1%;-52.2%;-50.4%
ROE, %;;;;32.1%;30.1%;22.8%;;28.8%
ROA, %;;;;6.4%;4.5%;3.1%;;3.4%
P/E;;;;0.00;0.00;6.18;;7.95
P/FCF;;;;;0.00;-1.56;-1.92;-1.99
P/S;;;;0.00;0.00;0.51;;0.77
P/BV;;;;0.00;0.00;1.41;;2.29
EV/EBITDA;;;;1.52;2.76;4.95;;6.46
Долг/EBITDA;;;;1.52;2.76;3.32;;4.23
R&D/CAPEX, %;;;;;0.00%;0.00%;0;0
CAPEX/Выручка, %;;;;0%;5%;5%;;4%
Дата отчета, 22.04.2022;;;;;;;01.12.2025;
Валюта отчета, RUB;;;;;;;RUB;
Контракты на продажу руб , млрд руб;;;;;;;;
Доля ипотечных сделок , %;;;;;;;;
Выручка , млрд руб, 1.46;;;;;;;24.2;
Операционная прибыль , млрд руб, 1.23;;;;;;;5.93;
EBITDA , млрд руб, 1.27;;;;;;;8.33;
Чистая прибыль , млрд руб, 0.700;;;;;;;2.34;
Опер.денежный поток , млрд руб, 0.300;;;;;;;-7.66;
Дивиденды/прибыль , %, 0%;;;;;;;0;
Опер. расходы , млрд руб, 0.427;;;;;;;2.56;
Себестоимость , млрд руб, 0.558;;;;;;;15.2;
Амортизация , млрд руб, 0.0;;;;;;;0.2;
Расх на персонал , млрд руб, 0.069;;;;;;;0.273;
Процентные расходы , млрд руб, 0.480;;;;;;;2.63;
Активы , млрд руб, 10.9;;;;;;;68.5;
Чистые активы , млрд руб, 2.18;;;;;;;8.13;
Долг , млрд руб, 3.74;;;;;;;41.3;
Наличность , млрд руб, 1.81;;;;;;;6.03;
Чистый долг , млрд руб, 0.00;;;;;;;35.3;
Капитализация , млрд руб, 0.00;;;;;;;17.9;
EV , млрд руб, 0.00;;;;;;;53.2;
Баланс стоимость , млрд руб, 0.00;;;;;;;8.13;
Рентаб EBITDA , %, 87.0%;;;;;;;34.4%;
Чистая рентаб , %, 47.9%;;;;;;;9.7%;
ROE , %, 32.1%;;;;;;;28.8%;
ROA , %, 6.4%;;;;;;;3.4%;
P/E, 0.00;;;;;;;7.67;
P/S, 0.00;;;;;;;0.74;
P/BV, 0.00;;;;;;;2.21;
EV/EBITDA, 1.52;;;;;;;6.39;
Долг/EBITDA, 1.52;;;;;;;4.23;
CAPEX/Выручка , %, 0%;;;;;;;4%;
