;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;;17.08.2022;17.08.2022;17.08.2022;26.04.2023;23.04.2024;11.04.2025;16.04.2026;12.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;;;11.6;12.1;12.2;14.1;15.6;17.8;16.4
Операционная прибыль, млрд руб;;;0.291;0.080;0.090;0.227;0.091;0.478;0.110
EBITDA, млрд руб;;;0.378;0.171;0.143;0.300;0.147;0.538;0.167
Чистая прибыль, млрд руб;;;0.296;0.088;0.005;0.054;0.083;0.502;0.116
Операционный денежный поток, млрд руб;;;0.316;0.163;0.275;0.510;0.526;0.467;0.480
CAPEX, млрд руб;;;0.015;0.022;0.022;0.250;0.021;0.030;0.022
FCF, млрд руб;;;0.250;0.091;0.020;0.492;0.666;0.742;0.737
Див.выплата, млрд руб;0.093;;;;;;;;
Дивиденд, руб/акцию;0,12;;;;;;;;
Див доход, ао, %;24.9%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
Дивиденды/прибыль, %;;;0%;0%;0%;0%;0%;0%;0
Себестоимость, млрд руб;;;10.8;11.9;11.9;13.1;14.7;16.7;15.5
Амортизация, млрд руб;;;;;0.1;0.1;0.1;0.1;0.1
Расх на персонал, млрд руб;;;0.420;0.430;0.410;0.484;0.530;0.631;0.552
Активы, млрд руб;;3.89;4.69;3.62;3.72;3.32;3.07;3.79;2.97
Чистые активы, млрд руб;;-0.110;0.142;0.230;0.240;0.295;0.378;0.879;0.459
Долг, млрд руб;;0.000;0.071;0.340;0.000;0.000;0.000;0.000;0.000
Наличность, млрд руб;;0.358;0.238;0.005;0.120;0.610;1.28;1.38;1.61
Чистый долг, млрд руб;0.00;-0.36;-0.17;0.34;-0.12;-0.61;-1.28;-1.38;-1.61
Цена акции ао, руб;0.482;0.592;0.796;0.831;0.758;2.64;1.60;2.61;3.40
Число акций ао, млн;773.9;773.9;773.9;773.9;773.9;773.9;773.9;773.9;773.9
Капитализация, млрд руб;0.37;0.46;0.62;0.64;0.59;2.04;1.23;2.02;2.63
EV, млрд руб;0.37;0.10;0.45;0.98;0.47;1.43;-0.04;0.64;1.02
Баланс стоимость, млрд руб;0.00;-0.11;0.14;0.23;0.24;0.30;0.37;0.87;0.45
EPS, руб;0.00;0.00;0.38;0.11;0.01;0.07;0.11;0.65;0.15
FCF/акцию, руб;0.00;0.00;0.32;0.12;0.03;0.64;0.86;0.96;0.95
BV/акцию, руб;0.00;-0.14;0.18;0.30;0.31;0.38;0.48;1.13;0.59
Рентаб EBITDA, %;;;3.3%;1.4%;1.2%;2.1%;0.9%;3.0%;1.0%
Чистая рентаб, %;;;2.6%;0.7%;0.0%;0.4%;0.5%;2.8%;0.7%
Доходность FCF, %;0.0%;0.0%;40.6%;14.1%;3.4%;24.1%;54.0%;36.7%;28.0%
ROE, %;;0.0%;208.5%;38.3%;2.1%;18.3%;22.0%;57.1%;25.3%
ROA, %;;0.0%;6.3%;2.4%;0.1%;1.6%;2.7%;13.3%;3.9%
P/E;;;2.08;7.31;117.3;37.8;14.9;4.02;22.7
P/FCF;;;2.46;7.07;29.3;4.14;1.85;2.72;3.57
P/S;;;0.05;0.05;0.05;0.14;0.08;0.11;0.16
P/BV;;-4.16;4.34;2.80;2.44;6.91;3.31;2.31;5.81
EV/EBITDA;;;1.19;5.72;3.26;4.76;-0.30;1.20;6.10
Долг/EBITDA;;;-0.44;1.96;-0.84;-2.03;-8.69;-2.56;-9.65
Персонал, чел;;;;;;;399;398;
Производительность труда, млн руб/чел/год;;;;;;;39.1;44.7;
Расходы/чел/год, тыс.р;;;;;;;1 328;1 585;
R&D/CAPEX, %;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
CAPEX/Выручка, %;;;0%;0%;0%;2%;0%;0%;0%
