;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;;09.10.2023;09.10.2023;02.04.2024;03.04.2025;02.04.2026;27.11.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Законтрактованная выручка, млрд руб;;;;0.0;0.0;;
Отгрузки ПО, млрд руб;;2.43;6.42;11.3;20.0;21.8;19.6
Выручка, млрд руб;;2.16;5.39;9.54;17.2;20.4;19.1
Операционная прибыль, млрд руб;;1.03;2.80;4.09;5.52;6.26;4.88
EBITDA, млрд руб;;;3.00;4.38;7.00;8.37;6.72
Чистая прибыль, млрд руб;;1.08;2.48;4.43;6.45;6.30;5.04
EBITDAC, млрд руб;;;2.25;2.81;4.19;4.43;3.03
Чистая прибыль н/с, млрд руб;;;;3.54;5.82;5.85;4.85
NIC, млрд руб;;;2.63;3.31;4.87;3.93;3.37
Операционный денежный поток, млрд руб;;0.830;1.86;3.45;5.40;5.69;5.44
CAPEX, млрд руб;;0.294;0.640;1.30;4.02;4.42;4.54
FCF, млрд руб;;0.036;1.09;2.15;1.35;1.19;0.810
Див.выплата, млрд руб;;;;1.64;1.22;0.982;
Дивиденд, руб/акцию;;;;7,8;5,79;4.68;
Див доход, ао, %;;;0.0%;1.6%;1.2%;1.8%;0.0%
Дивиденды/прибыль, %;;0%;0%;37%;19%;16%;0
Опер. расходы, млрд руб;;0.693;1.68;2.87;5.67;5.89;6.02
Себестоимость, млрд руб;;0.434;0.922;2.58;6.02;7.87;8.00
Амортизация, млрд руб;;0.1;0.2;0.3;1.3;1.9;2.0
НИОКР, млрд руб;;0.037;0.049;0.168;0.226;0.355;0.319
Расх на персонал, млрд руб;;;1.96;3.85;7.88;9.44;9.61
Процентные расходы, млрд руб;;;0.040;0.040;0.110;0.436;0.311
Активы, млрд руб;1.16;2.15;6.10;12.4;19.2;24.5;18.2
Чистые активы, млрд руб;0.123;0.125;1.46;4.23;7.48;11.2;7.52
Долг, млрд руб;0.330;0.300;0.610;2.74;2.94;3.35;4.29
Наличность, млрд руб;0.220;0.120;0.700;2.64;1.36;1.25;1.47
Чистый долг, млрд руб;0.11;0.18;-0.09;0.10;1.58;2.10;2.82
Цена акции ао, руб;;;333.0;500.2;472.7;255.7;262.2
Число акций ао, млн;;;210.0;210.0;210.0;210.0;210.0
Free Float, %;;;;5.00%;15.0%;15.0%;15.0%
Капитализация, млрд руб;0.00;0.00;69.9;105.0;99.3;53.7;55.1
EV, млрд руб;0.11;0.18;69.8;105.1;100.8;55.8;57.9
Баланс стоимость, млрд руб;-0.10;-0.26;0.53;1.41;1.97;3.83;1.03
EPS, руб;;;11.8;21.1;30.7;30.0;24.0
FCF/акцию, руб;;;5.19;10.2;6.43;5.68;3.86
BV/акцию, руб;;;2.52;6.71;9.38;18.2;4.92
Рентаб EBITDA, %;;0.0%;55.7%;45.9%;40.7%;41.1%;35.3%
Чистая рентаб, %;;50.0%;46.0%;46.4%;37.5%;30.9%;26.4%
Доходность FCF, %;;;1.6%;2.0%;1.4%;2.2%;1.5%
ROE, %;0.0%;864.0%;169.9%;104.7%;86.3%;56.4%;67.0%
ROA, %;0.0%;50.2%;40.7%;35.9%;33.7%;25.8%;27.7%
P/E;;0.00;28.2;23.7;15.4;8.52;10.9
P/FCF;;0.00;64.2;48.9;73.5;45.0;68.0
P/S;;0.00;13.0;11.0;5.77;2.64;2.89
P/BV;0.00;0.00;131.9;74.5;50.4;14.0;53.3
EV/EBITDA;;;23.3;24.0;14.4;6.67;8.62
Долг/EBITDA;;;-0.03;0.02;0.23;0.25;0.42
Персонал, чел;;;860;2 275;2 803;2 738;2 786
Производительность труда, млн руб/чел/год;;;6.27;4.19;6.14;7.44;6.84
Расходы/чел/год, тыс.р;;;2 274;1 694;2 811;3 447;3 450
R&D/CAPEX, %;;12.59%;7.66%;12.92%;5.62%;8.03%;7.03%
CAPEX/Выручка, %;;14%;12%;14%;23%;22%;24%
