;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Дата отчета;05.07.2018;05.07.2018;05.07.2018;05.07.2018;05.07.2018;29.01.2020;19.04.2021;26.04.2021;;;29.04.2025;29.04.2025;
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Чистый операц доход, млрд руб;8.35;8.46;11.4;14.7;15.0;15.8;19.7;12.9;;;11.6;11.0;
Чист. проц. доходы, млрд руб;5.49;5.04;6.89;6.63;6.33;5.68;5.53;4.39;;;6.18;8.45;
Чист. комисс. доход, млрд руб;2.86;3.59;4.43;6.08;6.66;8.63;7.18;5.10;;;5.66;4.94;
Доходы по цб, млрд руб;;;;;;;;;;;-0.283;-2.40;
Чистая прибыль, млрд руб;1.05;1.45;2.70;8.69;6.53;5.14;7.14;3.12;;;0.281;5.04;
Див.выплата, млрд руб;;;;;1.000;2.00;3.60;6.00;3.50;6.66;8.40;2.30;
Дивиденд, руб/акцию;;;;;12,4;24,78;44,61;74,41;43,37;82,56;104,08;28,5;63.2
Див доход, ао, %;;;;0.0%;2.5%;3.9%;7.0%;7.2%;4.2%;8.1%;10.4%;4.3%;9.5%
Дивиденды/прибыль, %;0%;0%;0%;0%;15%;39%;50%;192%;;;2 989%;46%;
Опер. расходы, млрд руб;;;;;;;;;;;9.25;10.3;
Наличность, млрд руб;14.1;23.4;28.6;37.3;29.0;29.4;20.9;25.6;;;48.4;30.6;
Чистый долг, млрд руб;-14.1;-23.4;-28.6;-37.3;-29.0;-29.4;-20.9;-25.6;0.00;0.00;-48.4;-30.6;
Активы банка, млрд руб;104.7;120.0;135.9;133.3;122.2;124.3;120.1;132.7;;;139.7;100.2;
Капитал, млрд руб;16.8;18.5;21.6;21.9;20.2;24.8;28.4;25.0;;;15.0;10.6;
Кредитный портфель, млрд руб;68.1;68.7;71.3;55.3;40.6;31.6;35.8;29.0;;;3.60;12.2;
Кредиты юрлицам, млрд руб;;;;51.0;37.1;28.7;33.8;27.3;;;0.919;11.5;
Кредиты физлицам, млрд руб;;;;4.27;3.47;2.91;2.04;1.65;;;2.68;0.728;
Депозиты, млрд руб;56.2;72.1;89.4;95.6;89.5;91.1;82.8;97.2;;;115.6;82.1;
Депозиты юрлиц, млрд руб;;;;51.6;49.2;52.0;49.6;60.6;;;92.6;62.1;
Депозиты физлиц, млрд руб;;;;42.8;39.5;39.0;33.2;36.6;;;23.0;19.9;
Резервы под обесценивание, млрд руб;;;;;;;;;;;;2.21;
Loan-to-deposit ratio, %;121%;95%;80%;58%;45%;35%;43%;30%;;;3%;15%;
Цена акции ао, руб;;;;400.0;506.0;640.0;640.0;1 035;1 025;1 025;998.0;666.0;663.0
Число акций ао, млн;80.7;80.7;80.7;80.7;80.7;80.7;80.7;80.7;80.7;80.7;80.7;80.7;80.7
Капитализация, млрд руб;0.00;0.00;0.00;32.3;40.8;51.6;51.6;83.5;82.7;82.7;80.5;53.7;53.5
EV, млрд руб;-14.1;-23.4;-28.6;-5.07;11.8;22.3;30.8;57.9;82.7;82.7;32.2;23.2;53.5
EPS, руб;13.0;18.0;33.5;107.7;80.9;63.7;88.5;38.7;0.00;0.00;3.48;62.5;0.00
Рентабельность банка, %;12.6%;17.1%;23.7%;59.1%;43.4%;32.5%;36.3%;24.3%;;;2.43%;45.9%;
P/E;0.00;0.00;0.00;3.71;6.26;10.1;7.23;26.8;;;286.6;10.7;
P/B;0.00;0.00;0.00;1.47;2.02;2.08;1.82;3.34;;;5.36;5.07;
