;2022;2023;2024;2025;LTM
Дата отчета;04.09.2025;04.09.2025;04.09.2025;25.02.2026;19.11.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;1.65;3.03;4.60;6.30;5.87
Операционная прибыль, млрд руб;0.923;1.67;2.01;2.45;2.25
EBITDA, млрд руб;1.15;2.04;2.83;3.84;3.39
Чистая прибыль, млрд руб;0.901;1.71;2.04;2.22;2.31
EBITDAC, млрд руб;0.634;0.934;1.73;2.40;
Операционный денежный поток, млрд руб;1.04;1.03;2.15;3.34;2.27
CAPEX, млрд руб;0.338;0.531;1.30;1.56;1.37
FCF, млрд руб;0.651;0.598;0.881;1.98;1.15
Див доход, ао, %;;;;0.0%;0.0%
Дивиденды/прибыль, %;0%;0%;0%;0%;0
Опер. расходы, млрд руб;0.147;0.506;0.768;1.02;0.981
Себестоимость, млрд руб;0.506;0.852;1.82;2.61;2.59
Амортизация, млрд руб;0.2;0.3;0.8;1.2;1.1
Расх на персонал, млрд руб;0.182;0.214;0.438;0.666;0.658
Активы, млрд руб;2.39;3.65;5.50;7.34;6.20
Чистые активы, млрд руб;1.88;2.54;3.97;5.54;4.73
Долг, млрд руб;0.000;0.000;0.000;0.000;0.000
Наличность, млрд руб;0.748;0.296;0.444;1.63;0.451
Чистый долг, млрд руб;-0.75;-0.30;-0.44;-1.63;-0.45
Цена акции ао, руб;;;;105.8;121.0
Число акций ао, млн;;;;165.0;165.0
Free Float, %;;;;16.7%;16.7%
Капитализация, млрд руб;0.00;0.00;0.00;17.5;20.0
EV, млрд руб;-0.75;-0.30;-0.44;15.8;19.5
Баланс стоимость, млрд руб;1.27;1.55;2.60;3.81;3.18
EPS, руб;;;;13.4;14.0
FCF/акцию, руб;;;;12.0;6.99
BV/акцию, руб;;;;23.1;19.3
Рентаб EBITDA, %;69.4%;67.3%;61.5%;60.9%;57.7%
Чистая рентаб, %;54.5%;56.4%;44.4%;35.2%;39.4%
Доходность FCF, %;;;;11.3%;5.8%
ROE, %;48.0%;67.4%;51.5%;40.1%;48.9%
ROA, %;37.8%;46.8%;37.1%;30.2%;37.3%
P/E;0.00;0.00;0.00;7.87;8.64
P/FCF;0.00;0.00;0.00;8.82;17.3
P/S;0.00;0.00;0.00;2.77;3.40
P/BV;0.00;0.00;0.00;4.59;6.28
EV/EBITDA;-0.65;-0.15;-0.16;4.12;5.76
Долг/EBITDA;-0.65;-0.15;-0.16;-0.42;-0.13
Персонал, чел;162;234;364;500;434
Производительность труда, млн руб/чел/год;10.2;12.9;12.6;12.6;13.5
Расходы/чел/год, тыс.р;1 123;914.5;1 203;1 332;1 516
R&D/CAPEX, %;0.00%;0.00%;0.00%;0.00%;0
CAPEX/Выручка, %;20%;18%;28%;25%;23%
NIC , млрд руб;;;;2.37;
