;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;28.01.2021;28.01.2021;31.03.2021;31.03.2022;14.04.2023;01.04.2024;28.03.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";;;8.23;9.66;16.2;21.6;25.7;32.0;25.9;26.5
"Операционная прибыль, млрд руб";;;1.88;2.22;2.34;3.80;3.25;3.83;2.08;1.44
"EBITDA, млрд руб";;;3.36;3.92;5.51;7.35;7.27;8.13;7.19;6.35
"Чистая прибыль, млрд руб";;;1.82;2.28;0.980;2.17;2.51;2.15;0.545;0.771
"Операционный денежный поток, млрд руб";;;1.90;3.30;4.14;3.08;3.83;7.91;3.95;4.39
"CAPEX, млрд руб";;;1.05;0.890;1.59;3.22;2.48;3.00;2.91;2.87
"FCF, млрд руб";;;1.90;2.80;3.24;0.253;1.46;5.85;2.75;2.71
"Див.выплата, млрд руб";0.417;0.449;0.774;0.840;0.320;2.52;0.381;0.024;;1.04
"Дивиденд, руб/акцию";0,427;0,459;0,792;0,854;0,332;2,6029;0,3805;;;1,06869
"Див доход, ао, %";10.1%;12.1%;19.8%;14.0%;3.5%;22.8%;4.1%;0.0%;0.0%;
"Дивиденд ап, руб/акцию";0,337;0,365;0,629;0,782;0,264;1,4288;0,542;0,67;;0,713
"Див доход, ап, %";8.0%;9.6%;15.7%;12.8%;2.8%;12.5%;5.8%;4.5%;0.0%;6.6%
"Дивиденды/прибыль, %";;;43%;37%;33%;116%;15%;1%;0%;135%
"Опер. расходы, млрд руб";;;6.35;7.44;13.9;17.8;22.5;28.1;23.8;25.0
"Амортизация, млрд руб";;;;;;3.6;4.0;4.3;5.1;4.9
"Расх на персонал, млрд руб";;;2.20;2.76;3.50;5.23;6.60;7.20;7.97;8.21
"Процентные расходы, млрд руб";;;0.015;0.066;0.730;0.330;0.230;0.230;0.899;1.07
"Активы, млрд руб";;;22.7;29.5;43.1;45.7;43.4;42.1;39.4;36.2
"Чистые активы, млрд руб";;;14.9;15.2;16.5;19.4;22.1;25.0;24.3;24.7
"Долг, млрд руб";;;4.60;9.19;14.4;11.5;9.71;6.34;5.31;3.63
"Наличность, млрд руб";;;0.365;0.436;2.50;0.988;1.17;0.370;4.92;3.52
"Чистый долг, млрд руб";0.00;0.00;4.23;8.76;11.9;10.5;8.54;5.97;0.39;0.11
"Цена акции ао, руб";4.22;3.80;4.01;6.11;9.46;11.4;9.31;15.0;9.27;
"Число акций ао, млн";949.0;949.0;949.0;949.0;949.0;949.0;949.0;949.0;949.0;949.0
"Цена акции ап, руб";4.22;3.80;4.01;6.11;9.46;11.4;9.31;15.0;9.27;10.8
"Число акций ап, млн";36.2;36.2;36.2;36.2;36.2;36.2;36.2;36.2;36.2;36.2
"Капитализация, млрд руб";4.16;3.74;3.95;6.02;9.32;11.2;9.17;14.8;9.13;0.39
"EV, млрд руб";4.16;3.74;8.18;14.8;21.2;21.8;17.7;20.7;9.52;0.50
"Баланс стоимость, млрд руб";0.00;0.00;10.7;7.56;4.35;8.53;12.3;15.4;16.8;18.3
"EPS, руб";0.00;0.00;1.92;2.40;1.03;2.29;2.64;2.27;0.57;0.81
"FCF/акцию, руб";0.00;0.00;2.00;2.95;3.41;0.27;1.54;6.16;2.90;2.86
"BV/акцию, руб";0.00;0.00;11.3;7.97;4.58;8.99;12.9;16.3;17.7;19.2
"Рентаб EBITDA, %";;;40.8%;40.6%;34.0%;34.0%;28.3%;25.4%;27.8%;24.0%
"Чистая рентаб, %";;;22.1%;23.6%;6.1%;10.0%;9.8%;6.7%;2.1%;2.9%
"Доходность FCF, %";0.0%;0.0%;49.9%;48.3%;36.1%;2.3%;16.6%;41.1%;31.3%;
"ROE, %";;;12.2%;15.0%;5.9%;11.2%;11.4%;8.6%;2.2%;3.1%
"ROA, %";;;8.0%;7.7%;2.3%;4.7%;5.8%;5.1%;1.4%;2.1%
P/E;;;2.17;2.64;9.51;5.18;3.65;6.87;16.8;0.51
P/FCF;;;2.08;2.15;2.88;44.4;6.27;2.53;3.32;0.14
P/S;;;0.48;0.62;0.58;0.52;0.36;0.46;0.35;0.01
P/BV;;;0.37;0.80;2.14;1.32;0.75;0.96;0.54;0.02
EV/EBITDA;;;2.44;3.77;3.85;2.96;2.44;2.55;1.32;0.08
Долг/EBITDA;;;1.26;2.23;2.16;1.43;1.17;0.73;0.05;0.02
"Персонал, чел";;;;;;;"1 968";"2 086";"2 252";
"Производительность труда, млн руб/чел/год";;;;;;;13.1;15.3;11.5;
"Расходы/чел/год, тыс.р";;;;;;;"3 354";"3 452";"3 539";
"R&D/CAPEX, %";;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";;;13%;9%;10%;15%;10%;9%;11%;11%
