;2025
Дата отчета;31.03.2026
Валюта отчета;RUB
Выручка, млрд руб;7.95
Операционная прибыль, млрд руб;3.04
EBITDA, млрд руб;3.43
Чистая прибыль, млрд руб;3.28
Опер.денежный поток, млрд руб;3.65
CAPEX, млрд руб;0.056
FCF, млрд руб;3.80
Див доход, ао, %;0.0%
Дивиденды/прибыль, %;0%
Опер. расходы, млрд руб;4.91
Амортизация, млрд руб;0.4
Расх на персонал, млрд руб;3.20
Активы, млрд руб;11.3
Чистые активы, млрд руб;3.70
Долг, млрд руб;0.000
Наличность, млрд руб;7.19
Чистый долг, млрд руб;-7.19
Цена акции ао, руб;118.0
Число акций ао, млн;178.8
Капитализация, млрд руб;21.1
EV, млрд руб;13.9
Баланс стоимость, млрд руб;0.48
EPS, руб;18.4
FCF/акцию, руб;21.3
BV/акцию, руб;2.71
Рентаб EBITDA, %;43.1%
Чистая рентаб, %;41.3%
Доходность FCF, %;18.0%
ROE, %;88.7%
ROA, %;29.0%
P/E;6.43
P/FCF;5.55
P/S;2.65
P/BV;43.6
EV/EBITDA;4.06
Долг/EBITDA;-2.10
Персонал, чел;1 000
Произв.труда, млн руб/чел/год;7.95
Расходы/чел/год, тыс.р;3 201
R&D/CAPEX, %;0.00%
CAPEX/Выручка, %;1%
Див.выплата, млрд руб;
Дивиденд, руб/акцию;
Процентные расходы, млрд руб;
