;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;29.04.2022;29.04.2022;29.04.2022;02.05.2023;27.04.2024;28.04.2025;28.04.2026;28.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;;11.2;15.5;22.5;44.5;102.2;101.1;98.0
Операционная прибыль, млрд руб;;0.971;1.53;2.08;5.92;12.3;12.3;9.18
EBITDA, млрд руб;;;;3.16;9.45;19.8;21.1;17.4
Чистая прибыль, млрд руб;;0.190;0.490;0.450;2.27;3.76;2.12;-0.304
Операционный денежный поток, млрд руб;;-0.120;1.24;1.49;1.03;7.70;10.7;19.0
CAPEX, млрд руб;;0.180;0.220;5.08;20.8;16.3;16.4;18.2
FCF, млрд руб;;-0.300;0.710;1.83;-19.7;-8.39;-0.574;7.83
Див.выплата, млрд руб;;;;0.111;0.262;0.576;;0.576
Дивиденд, руб/акцию;;;;185;437;720;;720
Див доход, ао, %;0.0%;0.0%;0.0%;2.8%;2.1%;4.0%;0.0%;4.0%
Дивиденды/прибыль, %;;0%;0%;25%;12%;15%;0%;-189%
Опер. расходы, млрд руб;;1.10;1.31;1.61;3.51;7.73;7.78;8.07
Себестоимость, млрд руб;;9.10;12.6;18.8;35.1;82.7;83.3;82.4
Амортизация, млрд руб;;;;1.1;3.5;7.6;8.8;8.2
Расх на персонал, млрд руб;;2.85;3.86;4.73;16.8;37.0;39.0;36.8
Процентные расходы, млрд руб;;0.350;0.370;0.700;2.13;6.41;7.00;7.32
Активы, млрд руб;11.5;12.0;16.3;33.5;74.8;110.2;138.4;130.3
Чистые активы, млрд руб;1.25;1.30;1.67;2.00;4.12;7.53;9.07;9.10
Долг, млрд руб;4.11;4.71;4.75;9.34;30.9;43.2;44.3;40.6
Наличность, млрд руб;0.330;0.180;0.480;6.46;8.55;11.4;11.3;15.5
Чистый долг, млрд руб;3.78;4.53;4.27;2.88;22.4;31.8;33.0;25.2
Цена акции ао, руб;5 920;5 960;5 800;6 660;20 900;17 950;16 400;17 950
Число акций ао, млн;0.600;0.600;0.600;0.600;0.600;0.600;0.600;0.600
Число акций ап, млн;0.200;0.200;0.200;0.200;0.200;0.200;0.200;0.200
Капитализация, млрд руб;3.55;3.58;3.48;4.00;12.5;10.8;9.84;10.8
EV, млрд руб;7.33;8.11;7.75;6.88;34.9;42.6;42.9;36.0
Баланс стоимость, млрд руб;1.25;1.30;1.67;2.00;4.10;7.48;9.02;9.05
EPS, руб;0.00;316.6;816.4;749.7;3 782;6 269;3 524;-506.5
FCF/акцию, руб;0.00;-499.8;1 183;3 049;-32 871;-13 975;-956.3;13 039
BV/акцию, руб;2 083;2 166;2 782;3 332;6 834;12 462;15 028;15 073
Рентаб EBITDA, %;;0.0%;0.0%;14.0%;21.2%;19.4%;20.8%;17.7%
Чистая рентаб, %;;1.7%;3.2%;2.0%;5.1%;3.7%;2.1%;-0.3%
Доходность FCF, %;0.0%;-8.4%;20.4%;45.8%;-157.3%;-77.9%;-5.8%;72.6%
ROE, %;0.0%;14.6%;29.3%;22.5%;55.1%;50.0%;23.3%;-3.3%
ROA, %;0.0%;1.6%;3.0%;1.3%;3.0%;3.4%;1.5%;-0.2%
P/E;;18.8;7.10;8.88;5.53;2.86;4.65;-35.4
P/FCF;;-11.9;4.90;2.18;-0.64;-1.28;-17.1;1.38
P/S;;0.32;0.22;0.18;0.28;0.11;0.10;0.11
P/BV;2.84;2.75;2.08;2.00;3.06;1.44;1.09;1.19
EV/EBITDA;;;;2.18;3.70;2.15;2.04;2.07
Долг/EBITDA;;;;0.91;2.37;1.60;1.57;1.45
Персонал, чел;3 878;3 824;4 242;5 297;16 910;19 278;;17 088
Производительность труда, млн руб/чел/год;0.00;2.92;3.65;4.25;2.63;5.30;;5.73
Расходы/чел/год, тыс.р;0.00;745.3;909.9;893.0;992.9;1 920;;2 156
R&D/CAPEX, %;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
CAPEX/Выручка, %;;2%;1%;23%;47%;16%;16%;19%
