;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;02.05.2022;02.05.2022;02.05.2022;30.03.2023;26.04.2024;01.04.2025;26.03.2026;25.11.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;3.61;3.97;6.03;8.27;11.6;13.0;15.2;14.4
Операционная прибыль, млрд руб;-0.868;-0.577;-2.81;0.750;1.82;2.23;2.73;1.80
EBITDA, млрд руб;-0.492;0.033;0.320;1.67;2.78;3.21;3.93;3.63
Чистая прибыль, млрд руб;-0.806;-0.627;-2.86;0.480;1.69;2.46;2.66;2.81
Операционный денежный поток, млрд руб;-0.361;0.230;-2.06;1.92;2.42;2.81;4.33;2.95
CAPEX, млрд руб;0.128;0.111;0.141;0.120;0.439;0.444;0.181;0.130
FCF, млрд руб;-0.542;0.052;-2.24;1.76;1.94;2.34;4.13;2.16
Див.выплата, млрд руб;;;;;;;8.08;8.08
Дивиденд, руб/акцию;;;;;;;104;104
Див доход, ао, %;;;0.0%;0.0%;0.0%;0.0%;16.4%;18.1%
Дивиденды/прибыль, %;0%;0%;0%;0%;0%;0%;304%;288%
Опер. расходы, млрд руб;4.48;4.55;8.85;7.51;9.75;10.8;12.4;11.7
Амортизация, млрд руб;;;;;0.3;0.4;0.4;0.4
Расх на персонал, млрд руб;1.39;2.21;5.06;3.76;4.35;4.99;5.73;5.47
Активы, млрд руб;;1.37;5.60;6.97;10.3;13.1;10.1;
Чистые активы, млрд руб;;-0.872;3.87;5.01;4.24;5.94;5.22;
Долг, млрд руб;;0.728;0.000;0.000;0.000;0.000;0.000;
Наличность, млрд руб;;0.449;2.42;4.10;6.43;9.22;6.12;
Чистый долг, млрд руб;0.00;0.28;-2.42;-4.10;-6.43;-9.22;-6.12;0
Цена акции ао, руб;;;1 040;361.2;614.2;527.4;632.6;573.8
Число акций ао, млн;;;70.0;70.0;70.0;77.7;77.7;77.7
Free Float, %;;;;;;43.0%;40.0%;34.0%
Капитализация, млрд руб;0.00;0.00;72.8;25.3;43.0;41.0;49.1;44.6
EV, млрд руб;0.00;0.28;70.3;21.2;36.5;31.7;43.0;44.6
Баланс стоимость, млрд руб;0.00;-1.13;1.89;3.15;1.77;3.64;3.09;0
EPS, руб;;;-40.8;6.86;24.2;31.7;34.2;36.2
FCF/акцию, руб;;;-32.1;25.2;27.7;30.1;53.1;27.8
BV/акцию, руб;;;27.0;45.0;25.3;46.9;39.8;0
Рентаб EBITDA, %;-13.6%;0.8%;5.3%;20.2%;24.0%;24.7%;25.9%;25.2%
Чистая рентаб, %;-22.3%;-15.8%;-47.4%;5.8%;14.6%;18.9%;17.5%;19.5%
Доходность FCF, %;;;-3.1%;7.0%;4.5%;5.7%;8.4%;4.8%
ROE, %;;71.9%;-73.8%;9.6%;39.9%;41.4%;50.9%;
ROA, %;;-45.8%;-51.0%;6.9%;16.4%;18.9%;26.4%;
P/E;0.00;0.00;-25.5;52.6;25.4;16.7;18.5;15.9
P/FCF;0.00;0.00;-32.4;14.4;22.1;17.5;11.9;20.7
P/S;0.00;0.00;12.1;3.06;3.71;3.15;3.24;3.09
P/BV;;0.00;38.5;8.03;24.3;11.3;15.9;
EV/EBITDA;0.00;8.45;219.8;12.7;13.1;9.89;11.0;12.3
Долг/EBITDA;0.00;8.45;-7.56;-2.46;-2.31;-2.87;-1.56;0
R&D/CAPEX, %;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0
CAPEX/Выручка, %;4%;3%;2%;1%;4%;3%;1%;1%
