;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Дата отчета;;10.07.2018;10.07.2018;10.07.2018;01.07.2018;27.04.2018;28.03.2019;26.03.2020;05.04.2022;23.03.2022;12.04.2023;27.11.2024;31.03.2025;10.04.2026
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;;3.43;3.53;3.34;3.01;2.47;2.51;2.09;1.62;1.48;1.33;1.30;1.27;1.19
Операционная прибыль, млрд руб;;;;;;;1.000;2.74;0.096;0.442;-0.103;0.083;0.101;-0.465
EBITDA, млрд руб;;0.905;0.791;0.579;0.562;0.144;1.30;2.96;0.347;0.585;0.128;0.113;0.185;-0.391
Чистая прибыль, млрд руб;;0.230;0.330;0.050;0.068;-0.246;0.801;2.26;0.136;0.356;-0.046;0.074;0.109;-0.355
Операционный денежный поток, млрд руб;;;;;;0.378;0.760;-0.135;-1.06;0.337;0.291;0.186;0.013;0.084
CAPEX, млрд руб;;;;;0.193;0.138;0.056;0.194;0.050;0.017;0.043;0.017;0.100;0.079
FCF, млрд руб;;;;;;0.232;2.36;2.67;-0.800;0.332;0.290;0.184;-0.031;-0.003
Див.выплата, млрд руб;0.013;0.047;0.032;0.001;0.002;0.007;1.60;2.50;0.014;0.338;0.008;0.042;0.012;
Дивиденд, руб/акцию;0,0475386;0,1104166;0;0;0,0082123;0,030069;7,41;11,83;;1,524;0,034;0,189;;
Див доход, ао, %;0.2%;0.7%;0.0%;0.0%;0.0%;0.2%;44.0%;67.2%;0.0%;12.7%;0.3%;1.3%;0.0%;0.0%
Дивиденд ап, руб/акцию;0,0950773;0,5234881;0,5813052;0,0241864;0,0164246;0,030069;7,41;11,83;0,25;1,524;0,034;0,189;0,224;
Див доход, ап, %;1.2%;7.4%;11.6%;0.3%;0.3%;0.2%;59.3%;82.4%;1.9%;18.9%;0.5%;1.8%;3.0%;0.0%
Дивиденды/прибыль, %;;20%;10%;2%;3%;0%;200%;111%;10%;95%;0%;57%;11%;0%
Опер. расходы, млрд руб;;;;;;3.03;1.30;1.29;1.53;1.03;1.43;1.22;1.17;1.66
Амортизация, млрд руб;;;;;;;;;;;;0.1;0.1;0.1
Расх на персонал, млрд руб;;;;;0.645;0.635;0.140;0.122;0.106;0.108;0.101;0.108;0.114;0.119
Процентные расходы, млрд руб;;;;;0.080;0.022;0.004;0.001;0.003;0.003;0.000;;;
Активы, млрд руб;;;;3.97;3.25;2.65;4.10;4.93;1.42;1.61;1.15;1.19;1.30;0.858
Чистые активы, млрд руб;;1.77;2.05;2.07;2.14;1.89;2.59;3.15;0.790;1.13;0.782;0.879;0.949;0.586
Долг, млрд руб;;1.58;1.10;1.00;0.330;0.085;0.000;0.000;0.000;0.000;0.000;;;
Наличность, млрд руб;;0.052;0.248;0.338;0.020;0.002;2.01;0.006;0.002;0.003;0.003;0.400;0.621;0.606
Чистый долг, млрд руб;0.00;1.53;0.86;0.67;0.31;0.08;-2.01;-0.01;0.00;0.00;0.00;-0.40;-0.62;-0.61
Цена акции ао, руб;19.4;16.0;12.5;22.1;25.0;18.2;16.9;17.6;15.4;12.0;9.98;14.9;10.6;9.28
Число акций ао, млн;166.2;166.2;166.2;166.2;166.2;166.2;166.2;166.2;166.2;166.2;166.2;166.2;166.2;166.2
Цена акции ап, руб;8.10;7.10;5.00;8.00;6.22;12.7;12.5;14.4;13.1;8.08;7.24;10.7;7.38;5.98
Число акций ап, млн;55.4;55.4;55.4;55.4;55.4;55.4;55.4;55.4;55.4;55.4;55.4;55.4;55.4;55.4
Капитализация, млрд руб;3.66;3.05;2.35;4.12;4.50;3.73;3.49;3.72;3.28;2.43;2.06;3.08;2.17;1.87
EV, млрд руб;3.66;4.58;3.21;4.78;4.81;3.81;1.49;3.71;3.28;2.43;2.06;2.68;1.55;1.27
Баланс стоимость, млрд руб;0.00;1.77;2.05;2.07;2.07;1.83;2.51;3.08;0.74;1.09;0.75;0.86;0.93;0.59
EPS, руб;0.00;1.38;1.99;0.30;0.41;-1.48;4.82;13.6;0.82;2.14;-0.28;0.45;0.66;-2.14
FCF/акцию, руб;0.00;0.00;0.00;0.00;0.00;1.40;14.2;16.1;-4.81;2.00;1.75;1.11;-0.19;-0.02
BV/акцию, руб;0.00;10.7;12.4;12.5;12.5;11.0;15.1;18.5;4.43;6.54;4.50;5.15;5.61;3.53
Рентаб EBITDA, %;;26.4%;22.4%;17.3%;18.7%;5.8%;51.7%;141.2%;21.4%;39.5%;9.6%;8.7%;14.6%;-32.8%
Чистая рентаб, %;;6.7%;9.3%;1.5%;2.3%;-9.9%;31.9%;107.8%;8.4%;24.1%;-3.5%;5.7%;8.6%;-29.8%
Доходность FCF, %;0.0%;0.0%;0.0%;0.0%;0.0%;7.7%;84.3%;91.3%;-31.3%;16.7%;17.5%;7.4%;-1.8%;-0.2%
ROE, %;;13.0%;16.1%;2.4%;3.2%;-13.0%;31.0%;71.7%;17.2%;31.5%;-5.9%;8.4%;11.5%;-60.6%
ROA, %;;;;1.3%;2.1%;-9.3%;19.6%;45.8%;9.6%;22.1%;-4.0%;6.2%;8.4%;-41.4%
P/E;;13.3;7.13;82.3;66.2;-15.2;4.36;1.65;24.1;6.84;-44.8;41.6;19.9;-5.28
P/FCF;;;;;;16.1;1.48;1.39;-4.10;7.33;7.10;16.7;-70.0;-624.4
P/S;;0.89;0.67;1.23;1.50;1.51;1.39;1.78;2.03;1.65;1.55;2.37;1.71;1.57
P/BV;;1.72;1.15;1.99;2.17;2.04;1.39;1.21;4.46;2.24;2.75;3.59;2.33;3.20
EV/EBITDA;;5.06;4.06;8.26;8.56;26.5;1.14;1.26;9.45;4.16;16.1;23.7;8.37;-3.24
Долг/EBITDA;;1.69;1.08;1.15;0.55;0.58;-1.54;0.00;-0.01;-0.01;-0.02;-3.54;-3.36;1.55
R&D/CAPEX, %;;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
CAPEX/Выручка, %;;0%;0%;0%;6%;6%;2%;9%;3%;1%;3%;1%;8%;7%
