;2021;2022;2023;2024;2025;LTM
Дата отчета;24.09.2024;24.09.2024;02.09.2024;26.03.2025;26.03.2026;20.11.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;1.56;2.49;3.95;6.01;8.75;4.42
Операционная прибыль, млрд руб;0.664;0.856;1.60;1.83;2.92;-0.143
EBITDA, млрд руб;0.694;0.904;1.66;2.19;3.16;-0.199
Чистая прибыль, млрд руб;0.651;0.970;1.46;1.95;2.67;-0.301
EBITDAC, млрд руб;0.652;0.836;1.52;2.13;2.78;-0.434
NIC, млрд руб;0.639;0.951;1.38;2.23;2.82;0.203
Операционный денежный поток, млрд руб;0.386;1.12;1.12;1.69;3.28;1.69
CAPEX, млрд руб;0.042;0.068;0.145;0.066;0.373;0.325
FCF, млрд руб;0.344;1.05;0.970;1.60;2.89;1.34
Див.выплата, млрд руб;0.545;0.891;1.46;0.179;;0.537
Дивиденд, руб/акцию;;;;0,86;;2,57
Див доход, ао, %;0.0%;0.0%;0.0%;0.6%;0.0%;2.6%
Дивиденды/прибыль, %;84%;92%;100%;9%;0;-178%
Опер. расходы, млрд руб;0.728;1.32;2.10;3.71;4.83;3.71
Себестоимость, млрд руб;0.165;0.328;0.261;0.482;0.839;0.285
Амортизация, млрд руб;0.0;0.0;0.1;0.1;0.2;0.1
Расх на персонал, млрд руб;0.710;1.40;1.92;3.06;4.09;3.84
Процентные расходы, млрд руб;;;;;0.014;0.014
Активы, млрд руб;2.05;3.02;3.36;4.43;8.96;
Чистые активы, млрд руб;1.40;1.83;1.81;2.39;5.41;
Долг, млрд руб;;0.075;0.070;0.077;0.073;0.000
Наличность, млрд руб;1.19;1.78;1.25;1.37;3.07;0.155
Чистый долг, млрд руб;-1.19;-1.71;-1.18;-1.29;-3.00;-0.16
Цена акции ао, руб;95.0;95.0;95.0;134.2;101.5;99.2
Число акций ао, млн;200.0;200.0;200.0;232.6;232.6;232.6
Free Float, %;;;;18.0%;26.0%;17.0%
Капитализация, млрд руб;19.0;19.0;19.0;31.2;23.6;23.1
EV, млрд руб;17.8;17.3;17.8;29.9;20.6;22.9
Баланс стоимость, млрд руб;1.35;1.76;1.66;2.28;3.03;0
EPS, руб;3.26;4.85;7.28;8.39;11.5;-1.29
FCF/акцию, руб;1.72;5.26;4.85;6.88;12.4;5.75
BV/акцию, руб;6.77;8.82;8.28;9.82;13.0;0
Рентаб EBITDA, %;44.6%;36.2%;42.1%;36.5%;36.1%;-4.5%
Чистая рентаб, %;41.9%;38.9%;36.9%;32.4%;30.5%;-6.8%
Доходность FCF, %;1.8%;5.5%;5.1%;5.1%;12.2%;5.8%
ROE, %;46.4%;53.1%;80.4%;81.5%;49.4%;
ROA, %;31.8%;32.2%;43.4%;44.0%;29.8%;
P/E;29.2;19.6;13.0;16.0;8.84;-76.6
P/FCF;55.2;18.1;19.6;19.5;8.18;17.3
P/S;12.2;7.62;4.81;5.19;2.70;5.21
P/BV;14.0;10.8;11.5;13.7;7.80;
EV/EBITDA;25.7;19.1;10.7;13.6;6.53;-115.1
Долг/EBITDA;-1.72;-1.89;-0.71;-0.59;-0.95;0.78
Персонал, чел;177;334;436;632;;742
Производительность труда, млн руб/чел/год;8.79;7.47;9.06;9.51;;5.96
Расходы/чел/год, тыс.р;4 011;4 177;4 406;4 839;;5 171
R&D/CAPEX, %;0.00%;0.00%;0.00%;0.00%;0;0
CAPEX/Выручка, %;3%;3%;4%;1%;4%;7%
