;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;23.01.2024;23.01.2024;23.01.2024;04.04.2024;13.03.2025;05.02.2026;22.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Число автомобилей, тыс шт;14.0;19.3;19.9;26.6;31.7;27.9;30.5
Число минут, млн мин;;;1 402.0;1 630.0;1 953.0;1 821.0;
Выручка, млрд руб;6.25;12.4;15.2;20.9;27.9;30.8;29.9
Операционная прибыль, млрд руб;-0.900;1.40;1.74;5.23;4.00;1.04;
EBITDA, млрд руб;-0.300;2.70;4.05;6.42;5.79;6.20;4.81
Чистая прибыль, млрд руб;-2.81;-0.440;0.810;1.93;0.008;-3.73;-2.46
Операционный денежный поток, млрд руб;-0.260;2.99;4.40;6.45;5.38;6.13;4.81
CAPEX, млрд руб;0.210;0.410;0.450;2.30;0.620;0.555;0.707
FCF, млрд руб;-3.49;-2.56;-3.34;-0.850;-1.000;-5.63;-2.37
Див.выплата, млрд руб;;;;;0.175;;0.000
Дивиденд, руб/акцию;;;;;1;;0
Див доход, ао, %;0.0%;0.0%;0.0%;0.0%;0.5%;0.0%;0.0%
Дивиденды/прибыль, %;0%;0%;0%;0%;2 188%;0%;0
Опер. расходы, млрд руб;1.38;2.06;2.40;2.57;3.70;4.38;4.17
Себестоимость, млрд руб;6.32;9.37;10.7;13.4;20.6;24.8;23.7
Амортизация, млрд руб;1.0;1.4;1.0;1.3;1.9;2.6;2.4
Расх на персонал, млрд руб;0.680;0.980;0.965;2.25;3.93;6.11;5.47
Процентные расходы, млрд руб;2.36;1.80;2.05;2.91;4.62;6.20;5.04
Активы, млрд руб;12.4;19.7;20.1;36.4;39.9;36.0;38.2
Чистые активы, млрд руб;-2.33;0.460;3.04;2.58;6.19;2.45;4.25
Долг, млрд руб;5.70;6.10;15.9;29.8;29.8;31.2;28.8
Наличность, млрд руб;0.020;1.18;1.61;8.32;1.69;1.27;0.185
Чистый долг, млрд руб;5.68;4.92;14.2;21.4;28.2;30.0;28.6
Цена акции ао, руб;255.0;255.0;255.0;265.0;218.9;109.7;105.8
Число акций ао, млн;172.0;172.0;172.0;172.0;172.0;175.8;172.0
Free Float, %;;;;9.00%;9.00%;9.00%;9.00%
Капитализация, млрд руб;43.9;43.9;43.9;45.6;37.6;19.3;18.2
EV, млрд руб;49.5;48.8;58.1;67.0;65.8;49.3;46.8
Баланс стоимость, млрд руб;-2.59;0.20;2.54;2.08;5.80;2.04;3.85
EPS, руб;-16.3;-2.56;4.71;11.2;0.05;-21.2;-14.3
FCF/акцию, руб;-20.3;-14.9;-19.4;-4.94;-5.81;-32.0;-13.8
BV/акцию, руб;-15.1;1.16;14.8;12.1;33.7;11.6;22.4
Рентаб EBITDA, %;-4.8%;21.7%;26.6%;30.7%;20.7%;20.1%;16.1%
Чистая рентаб, %;-45.0%;-3.5%;5.3%;9.2%;0.0%;-12.1%;-8.2%
Доходность FCF, %;-8.0%;-5.8%;-7.6%;-1.9%;-2.7%;-29.2%;-13.0%
ROE, %;120.6%;-95.7%;26.6%;74.8%;0.1%;-152.2%;-57.8%
ROA, %;-22.7%;-2.2%;4.0%;5.3%;0.0%;-10.4%;-6.4%
P/E;-15.6;-99.7;54.1;23.6;4 705;-5.16;-7.40
P/FCF;-12.6;-17.1;-13.1;-53.6;-37.6;-3.42;-7.68
P/S;7.02;3.53;2.88;2.18;1.35;0.63;0.61
P/BV;-16.9;219.3;17.3;21.9;6.49;9.43;4.72
EV/EBITDA;-165.1;18.1;14.3;10.4;11.4;7.94;9.73
Долг/EBITDA;-18.9;1.82;3.52;3.34;4.87;4.83;5.95
Персонал, чел;;;975;1 471;2 538;;
Производительность труда, млн руб/чел/год;;;15.6;14.2;11.0;;
Расходы/чел/год, тыс.р;;;989.7;1 527;1 548;;
R&D/CAPEX, %;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
CAPEX/Выручка, %;3%;3%;3%;11%;2%;2%;2%
