;2020;2021;2022;2023;2024;LTM
"Дата отчета";30.01.2024;30.01.2024;30.01.2024;27.06.2024;26.06.2025;26.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB
"Законтрактованная выручка, млрд руб";;;11.3;19.2;21.7;21.9
"Выручка, млрд руб";5.68;6.60;7.19;9.14;10.1;9.86
"Операционная прибыль, млрд руб";1.98;2.12;2.62;3.09;2.35;1.72
"EBITDA, млрд руб";2.26;2.49;3.04;3.91;2.95;2.39
"Чистая прибыль, млрд руб";1.61;2.00;2.48;3.06;2.39;1.76
"EBITDAC, млрд руб";1.86;2.05;2.21;2.87;1.58;0.970
"NIC, млрд руб";1.47;1.85;2.04;2.73;1.52;1.18
"Операционный денежный поток, млрд руб";1.91;2.58;2.84;2.85;1.62;1.60
"CAPEX, млрд руб";0.440;0.520;0.921;1.13;1.61;1.73
"FCF, млрд руб";1.47;2.06;1.92;1.72;0.286;-0.250
"Див.выплата, млрд руб";1.13;1.44;1.65;1.30;1.80;1.33
"Дивиденд, руб/акцию";;;;150,96;171,9;126,6
"Див доход, ао, %";;;0.0%;2.7%;4.0%;7.4%
"Дивиденды/прибыль, %";70%;72%;67%;42%;75%;75%
"Опер. расходы, млрд руб";1.55;1.74;1.78;2.55;2.44;2.26
"Себестоимость, млрд руб";2.14;2.73;2.78;3.57;5.23;5.83
"Амортизация, млрд руб";0.3;0.4;0.4;0.5;0.6;0.6
"НИОКР, млрд руб";0.405;0.481;0.872;1.05;1.36;1.42
"Расх на персонал, млрд руб";;;3.40;4.58;6.33;6.60
"Процентные расходы, млрд руб";0.051;0.058;0.052;0.020;0.000;
"Активы, млрд руб";;;4.23;8.62;8.55;8.50
"Чистые активы, млрд руб";;;2.85;6.08;6.66;6.17
"Долг, млрд руб";0.023;0.056;0.045;0.000;0.000;0.595
"Наличность, млрд руб";0.584;0.800;0.630;3.14;0.786;0.546
"Чистый долг, млрд руб";-0.56;-0.74;-0.59;-3.14;-0.79;0.05
"Цена акции ао, руб";;;"4 500";"5 630";"4 271";"1 705"
"Число акций ао, млн";10.6;10.6;10.6;10.5;10.5;10.5
"Free Float, %";;;;8.00%;7.00%;7.00%
"Капитализация, млрд руб";0.00;0.00;47.7;59.1;44.8;17.9
"EV, млрд руб";-0.56;-0.74;47.1;56.0;44.1;17.9
"Баланс стоимость, млрд руб";0.00;0.00;1.13;3.74;3.29;2.38
"EPS, руб";151.9;188.7;234.0;291.4;227.9;167.8
"FCF/акцию, руб";138.4;194.0;181.5;163.6;27.2;-23.8
"BV/акцию, руб";0.00;0.00;106.9;356.2;313.6;226.6
"Рентаб EBITDA, %";39.8%;37.7%;42.3%;42.8%;29.3%;24.3%
"Чистая рентаб, %";28.3%;30.3%;34.5%;33.5%;23.8%;17.9%
"Доходность FCF, %";;;4.0%;2.9%;0.6%;-1.4%
"ROE, %";;;87.0%;50.3%;36.0%;28.6%
"ROA, %";;;58.7%;35.5%;28.0%;20.7%
P/E;0.00;0.00;19.2;19.3;18.7;10.2
P/FCF;0.00;0.00;24.8;34.4;156.8;-71.6
P/S;0.00;0.00;6.64;6.47;4.46;1.81
P/BV;;;42.1;15.8;13.6;7.52
EV/EBITDA;-0.25;-0.30;15.5;14.3;15.0;7.50
Долг/EBITDA;-0.25;-0.30;-0.19;-0.80;-0.27;0.02
"Персонал, чел";"1 634";"1 782";"1 737";"2 099";"2 443";"2 225"
"Производительность труда, млн руб/чел/год";3.48;3.70;4.14;4.35;4.12;4.43
"Расходы/чел/год, тыс.р";0.00;0.00;"1 957";"2 182";"2 591";"2 968"
"R&D/CAPEX, %";92.05%;92.50%;94.68%;92.57%;84.71%;82.22%
"CAPEX/Выручка, %";8%;8%;13%;12%;16%;18%
"IR рейтинг";;;;;4.4;4.4
"Качество фин.отчетности";;;;5;5;5
"Презентации для инвесторов";;;;4;4;4
"Присутствие на смартлабе";;;;3;4;4
"Годовой отчет";;;;3;3;3
"Сайт для инвесторов";;;;;5;5
"Календарь инвесторов";;;;;5;5
"Обратная связь";;;;;5;5
