;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;;;;03.07.2018;03.07.2018;26.06.2018;27.04.2018;27.04.2018;30.04.2019;25.08.2020;27.04.2021;28.04.2022;27.04.2023;17.04.2024;29.05.2025;30.04.2026;28.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;;;;1.14;1.28;0.964;0.886;0.825;0.774;0.660;0.520;0.602;0.561;0.549;0.511;0.521;0.522
Операционная прибыль, млрд руб;;;;;;;;-0.047;0.057;0.046;0.048;0.107;0.045;0.007;-0.286;-0.039;-0.230
EBITDA, млрд руб;;;;0.214;0.205;0.122;0.081;0.006;0.058;0.083;0.056;0.117;0.056;0.012;-0.266;-0.028;-0.212
Чистая прибыль, млрд руб;;;;-0.157;0.057;-0.120;-0.141;-0.026;0.011;0.065;0.035;0.088;0.042;0.008;-0.261;-0.071;-0.228
Операционный денежный поток, млрд руб;;;;;;;;0.079;0.053;0.170;0.089;0.104;0.100;0.003;0.065;0.060;0.057
CAPEX, млрд руб;;;;;;;;0.030;0.016;0.002;0.001;0.011;0.003;0.035;0.032;0.001;0.032
FCF, млрд руб;;;;;;;;0.049;-0.137;0.168;0.990;0.093;0.103;-0.026;0.058;0.066;0.039
Див.выплата, млрд руб;0.036;0.036;0.036;;;0.000;0.039;0.039;0.039;0.039;0.059;0.071;0.073;;0.073;0.103;0.076
Дивиденд, руб/акцию;0,4;0,4;0,4;;;0;0,43;0,43;0,43;0,43;0,65;0,78;0,8;;0,8;1.14;0,84
Див доход, ао, %;;;;;;;13.2%;8.4%;10.5%;9.1%;9.3%;9.8%;10.4%;0.0%;7.6%;11.0%;7.1%
Дивиденды/прибыль, %;;;;0%;0%;0%;0%;0%;355%;60%;169%;81%;174%;0%;0%;0%;-33%
Опер. расходы, млрд руб;;;;;;;;0.463;0.390;0.312;0.277;0.250;0.264;0.291;0.284;0.299;0.288
Себестоимость, млрд руб;;;;0.400;0.583;0.316;0.485;0.409;0.329;0.300;0.190;0.245;0.242;0.255;0.263;0.227;0.250
Амортизация, млрд руб;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0
