;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;07.07.2018;07.07.2018;07.07.2018;28.06.2018;04.05.2018;11.04.2019;13.04.2020;09.04.2021;05.04.2022;05.04.2023;05.04.2024;08.04.2025;03.04.2026;29.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;91.2;100.8;109.3;119.2;123.4;124.9;106.2;107.7;118.8;126.1;163.5;183.5;179.2;177.2
Операционная прибыль, млрд руб;;;;10.6;4.70;-0.350;-2.83;31.5;2.34;3.91;5.23;3.47;8.80;2.33
EBITDA, млрд руб;9.54;7.28;4.64;12.0;10.2;7.57;2.65;5.58;7.94;8.20;8.69;10.9;14.8;10.2
Чистая прибыль, млрд руб;1.89;-3.61;-9.96;2.62;-5.96;-6.48;-9.20;1.09;1.65;2.71;4.75;2.76;5.29;1.68
Операционный денежный поток, млрд руб;;;;3.84;2.50;5.15;-4.63;7.00;7.60;7.30;9.00;16.8;15.9;17.1
CAPEX, млрд руб;;7.39;6.19;6.34;8.46;7.93;10.2;2.78;5.90;11.1;14.0;14.7;14.3;13.8
FCF, млрд руб;;;;-2.37;5.70;-2.23;-14.6;-0.100;1.32;-4.25;-5.44;1.72;1.72;3.08
Див.выплата, млрд руб;;;;;0.000;;;;;;;2.87;;2.87
Дивиденд, руб/акцию;;;;;0;;;;;;;0,1666772938;;0,1666772938
Див доход, ао, %;;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;7.7%;0.0%;8.6%
Дивиденды/прибыль, %;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;104%;0%;171%
Опер. расходы, млрд руб;88.1;99.4;109.2;108.6;118.7;125.3;138.2;76.2;115.4;122.2;158.7;177.7;170.5;172.3
Амортизация, млрд руб;;;;;;;;;;2.7;3.3;4.1;4.7;4.3
Расх на персонал, млрд руб;;;;26.4;27.0;27.5;15.8;16.3;17.6;20.1;22.9;25.8;29.1;26.7
Процентные расходы, млрд руб;;;;7.55;4.32;2.99;3.53;2.93;0.780;0.880;0.660;1.07;0.846;1.11
Активы, млрд руб;;;74.7;82.7;92.0;103.6;105.1;57.6;59.4;64.8;86.2;97.0;111.8;104.2
Чистые активы, млрд руб;-1.57;-4.38;-15.0;12.2;-10.9;-17.0;-26.7;18.2;20.2;23.4;28.0;26.7;32.0;24.7
Долг, млрд руб;48.7;54.1;62.0;63.3;68.3;76.9;98.1;16.6;14.5;14.9;20.3;21.2;19.2;21.9
Наличность, млрд руб;3.16;3.07;2.07;2.39;3.74;7.69;5.73;6.30;6.97;3.15;5.16;9.35;9.99;9.25
Чистый долг, млрд руб;45.6;51.1;59.9;60.9;64.6;69.2;92.4;10.3;7.53;11.7;15.1;11.8;9.23;12.6
Цена акции ао, руб;;;;0.695;0.722;1.34;0.937;0.828;1.24;0.938;3.20;2.16;1.81;1.94
Число акций ао, млн;17 207;17 207;17 207;17 207;17 207;17 207;17 207;17 207;17 207;17 207;17 223;17 223;17 223;17 223
Капитализация, млрд руб;0.00;0.00;0.00;12.0;12.4;23.1;16.1;14.2;21.3;16.1;55.1;37.2;31.1;33.4
EV, млрд руб;45.6;51.1;59.9;72.9;77.0;92.3;108.5;24.5;28.9;27.8;70.2;49.0;40.4;46.1
Баланс стоимость, млрд руб;-1.57;-4.38;-15.0;12.2;-10.9;-17.0;-26.7;18.2;20.2;23.4;28.0;26.7;32.0;24.7
EPS, руб;0.11;-0.21;-0.58;0.15;-0.35;-0.38;-0.53;0.06;0.10;0.16;0.28;0.16;0.31;0.10
FCF/акцию, руб;0.00;0.00;0.00;-0.14;0.33;-0.13;-0.85;-0.01;0.08;-0.25;-0.32;0.10;0.10;0.18
BV/акцию, руб;-0.09;-0.25;-0.87;0.71;-0.63;-0.99;-1.55;1.06;1.17;1.36;1.63;1.55;1.86;1.44
Рентаб EBITDA, %;10.5%;7.2%;4.2%;10.1%;8.3%;6.1%;2.5%;5.2%;6.7%;6.5%;5.3%;6.0%;8.3%;5.8%
Чистая рентаб, %;2.1%;-3.6%;-9.1%;2.2%;-4.8%;-5.2%;-8.7%;1.0%;1.4%;2.1%;2.9%;1.5%;3.0%;0.9%
Доходность FCF, %;;;;-19.8%;45.9%;-9.7%;-90.4%;-0.7%;6.2%;-26.3%;-9.9%;4.6%;5.5%;9.2%
