;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;29.04.2022;29.04.2022;02.05.2023;26.04.2024;30.04.2025;29.04.2026;28.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;1.23;1.75;2.27;3.26;3.27;1.78;2.66
Операционная прибыль, млрд руб;0.192;0.238;0.240;-0.162;-0.587;0.974;-0.837
EBITDA, млрд руб;;;0.711;0.930;-0.463;1.39;
Чистая прибыль, млрд руб;0.153;0.162;0.132;-0.373;-0.891;-1.31;-0.687
Операционный денежный поток, млрд руб;0.194;0.386;0.742;0.853;0.248;2.05;1.04
CAPEX, млрд руб;0.180;0.350;0.600;0.669;0.195;2.43;1.08
FCF, млрд руб;0.014;-0.320;-0.270;0.184;0.053;-0.378;-0.033
Див.выплата, млрд руб;;;;0.198;;;
Дивиденд, руб/акцию;;;;432,09;;;
Див доход, ао, %;0.0%;0.0%;0.0%;12.2%;0.0%;0.0%;0
Дивиденд ап, руб/акцию;;;;432,09;;;
Див доход, ап, %;0.0%;0.0%;0.0%;11.6%;0.0%;0.0%;0
Дивиденды/прибыль, %;0%;0%;0%;0%;0%;0%;0
Опер. расходы, млрд руб;0.039;0.200;0.680;1.37;1.49;0.380;1.49
Себестоимость, млрд руб;1.000;1.31;1.35;2.05;2.37;1.63;1.97
Амортизация, млрд руб;;;0.1;0.1;0.1;0.4;0.2
Расх на персонал, млрд руб;;;0.510;0.646;0.765;0.666;0.354
Процентные расходы, млрд руб;0.048;0.052;0.053;0.059;0.057;0.103;0.046
Активы, млрд руб;3.81;3.98;4.34;3.70;5.08;4.00;5.50
Чистые активы, млрд руб;2.80;2.96;3.10;2.52;3.58;2.27;3.95
Долг, млрд руб;0.840;0.800;0.830;0.623;0.364;0.605;0.397
Наличность, млрд руб;0.085;0.058;0.090;0.060;0.055;0.039;0.033
Чистый долг, млрд руб;0.76;0.74;0.74;0.56;0.31;0.57;0.36
Цена акции ао, руб;2 050;2 065;2 070;3 555;4 040;4 175;4 210
Число акций ао, млн;0.343;0.343;0.343;0.343;0.343;0.343;0.343
Цена акции ап, руб;1 510;1 640;1 870;3 710;2 810;2 410;2 540
Число акций ап, млн;0.114;0.114;0.114;0.114;0.114;0.114;0.114
Капитализация, млрд руб;0.88;0.90;0.92;1.65;1.71;1.71;1.74
EV, млрд руб;1.63;1.64;1.66;2.21;2.02;2.28;2.10
Баланс стоимость, млрд руб;2.80;2.96;3.10;2.52;3.58;2.27;3.95
EPS, руб;445.5;471.7;384.4;-1 086;-2 595;-3 823;-2 001
FCF/акцию, руб;40.8;-931.8;-786.2;535.8;154.3;-1 101;-96.1
BV/акцию, руб;8 154;8 620;9 027;7 324;10 422;6 596;11 514
Рентаб EBITDA, %;0.0%;0.0%;31.3%;28.5%;-14.2%;78.4%;0
Чистая рентаб, %;12.4%;9.3%;5.8%;-11.4%;-27.3%;-73.8%;-25.9%
Доходность FCF, %;2.0%;-45.1%;-38.0%;15.1%;3.8%;-26.4%;-2.3%
ROE, %;5.5%;5.5%;4.3%;-14.8%;-24.9%;-58.0%;-17.4%
ROA, %;4.0%;4.1%;3.0%;-10.1%;-17.5%;-32.8%;-12.5%
P/E;5.73;5.54;7.01;-4.41;-1.92;-1.30;-2.53
P/FCF;62.6;-2.80;-3.43;8.94;32.2;-4.52;-52.6
P/S;0.71;0.51;0.41;0.50;0.52;0.96;0.65
P/BV;0.31;0.30;0.30;0.65;0.48;0.75;0.44
EV/EBITDA;;;2.34;2.37;-4.36;1.63;
Долг/EBITDA;;;1.04;0.61;-0.67;0.41;
Персонал, чел;;556;530;560;576;;
Производительность труда, млн руб/чел/год;;3.14;4.28;5.82;5.67;;
Расходы/чел/год, тыс.р;;0.00;962.3;1 154;1 328;;
R&D/CAPEX, %;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
CAPEX/Выручка, %;15%;20%;26%;21%;6%;137%;40%
