;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;03.10.2023;04.05.2018;04.05.2018;30.04.2019;30.04.2020;20.04.2021;29.04.2022;30.04.2023;27.04.2024;12.04.2025;29.04.2026;01.12.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;2.69;3.17;2.60;3.29;3.27;3.53;4.56;7.13;5.95;6.95;9.90;8.03
Операционная прибыль, млрд руб;;0.086;0.307;0.370;0.410;0.480;0.550;1.15;0.869;1.06;1.31;1.20
EBITDA, млрд руб;0.036;0.081;0.371;0.382;0.430;0.500;0.587;1.20;0.973;1.20;1.46;1.37
Чистая прибыль, млрд руб;0.092;0.058;0.135;0.293;0.299;0.370;0.407;0.945;0.671;0.705;0.812;0.872
Операционный денежный поток, млрд руб;;-0.026;0.095;0.056;-0.134;0.390;1.09;-0.078;0.716;-0.650;1.06;0.652
CAPEX, млрд руб;0.001;0.002;0.004;0.010;0.098;0.260;0.032;0.017;0.050;0.010;0.262;0.137
FCF, млрд руб;;-0.013;-0.038;0.041;-0.237;0.280;1.05;-0.082;0.670;-0.812;0.639;0.544
Див.выплата, млрд руб;0.000;0.000;0.000;0.150;0.190;0.164;0.189;0.458;0.347;;0.469;0.137
Дивиденд, руб/акцию;0;0;0,00065;0,2461;0,3185;0,27;0,31;0,75;0,57;;0.85;0,25
Див доход, ао, %;;;0.0%;2.5%;3.3%;3.6%;4.4%;12.1%;4.4%;0.0%;9.6%;2.8%
Дивиденды/прибыль, %;0%;0%;0%;51%;64%;44%;46%;48%;52%;0%;58%;16%
Опер. расходы, млрд руб;;0.335;0.161;0.435;0.527;0.362;0.046;0.540;0.756;0.830;0.942;0.936
Себестоимость, млрд руб;;2.75;2.13;2.49;2.33;2.69;3.51;5.34;4.47;5.06;7.66;5.89
Амортизация, млрд руб;;0.0;0.0;0.0;0.0;;0.0;0.1;0.1;0.1;0.1;0.2
НИОКР, млрд руб;;;0.300;0.165;0.074;0.110;0.062;0.000;;;;
Расх на персонал, млрд руб;;0.055;0.078;0.165;0.244;0.246;0.273;0.271;0.535;0.540;0.747;0.758
Процентные расходы, млрд руб;;;;;;;;;;0.116;0.232;0.225
Активы, млрд руб;1.27;1.36;1.15;1.29;1.83;2.34;3.96;3.91;5.44;5.92;9.04;7.85
Чистые активы, млрд руб;;0.214;0.542;0.695;0.890;1.17;1.29;2.04;2.15;2.69;3.23;3.03
Долг, млрд руб;;0.000;0.038;0.043;0.182;0.194;0.080;0.104;0.000;0.759;0.751;0.970
Наличность, млрд руб;;0.235;0.210;0.247;0.027;0.107;0.750;0.395;0.600;0.195;0.686;0.646
Чистый долг, млрд руб;0.00;-0.24;-0.17;-0.20;0.16;0.09;-0.67;-0.29;-0.60;0.56;0.07;0.32
Цена акции ао, руб;;;12.7;9.90;9.68;7.40;7.08;6.22;12.9;12.6;8.86;9.04
Число акций ао, млн;610.0;610.0;610.0;610.0;610.0;610.0;610.0;610.0;610.0;551.8;551.8;551.8
Free Float, %;;0.000%;5.00%;;;;7.50%;5.48%;;;;
Капитализация, млрд руб;0.00;0.00;7.77;6.04;5.90;4.51;4.32;3.79;7.89;6.95;4.89;4.99
EV, млрд руб;0.00;-0.24;7.60;5.84;6.06;4.60;3.65;3.50;7.29;7.52;4.95;5.31
Баланс стоимость, млрд руб;0.00;0.21;0.54;0.70;0.89;1.17;1.24;2.00;2.13;2.65;3.00;2.97
EPS, руб;0.15;0.10;0.22;0.48;0.49;0.61;0.67;1.55;1.10;1.28;1.47;1.58
FCF/акцию, руб;0.00;-0.02;-0.06;0.07;-0.39;0.46;1.72;-0.13;1.10;-1.47;1.16;0.99
BV/акцию, руб;0.00;0.35;0.89;1.14;1.46;1.92;2.04;3.28;3.48;4.79;5.43;5.38
Рентаб EBITDA, %;1.3%;2.6%;14.3%;11.6%;13.1%;14.2%;12.9%;16.9%;16.4%;17.3%;14.7%;17.1%
Чистая рентаб, %;3.4%;1.8%;5.2%;8.9%;9.1%;10.5%;8.9%;13.3%;11.3%;10.1%;8.2%;10.9%
Доходность FCF, %;;;-0.5%;0.7%;-4.0%;6.2%;24.3%;-2.2%;8.5%;-11.7%;13.1%;10.9%
ROE, %;;27.1%;24.9%;42.2%;33.6%;31.6%;31.6%;46.4%;31.2%;26.2%;25.2%;28.8%
ROA, %;7.3%;4.3%;11.7%;22.7%;16.3%;15.8%;10.3%;24.2%;12.3%;11.9%;9.0%;11.1%
P/E;0.00;0.00;57.6;20.6;19.7;12.2;10.6;4.02;11.8;9.86;6.02;5.72
P/FCF;;0.00;-207.2;147.3;-24.9;16.1;4.11;-46.3;11.8;-8.56;7.65;9.17
P/S;0.00;0.00;2.99;1.84;1.81;1.28;0.95;0.53;1.33;1.00;0.49;0.62
P/BV;;0.00;14.3;8.69;6.63;3.86;3.47;1.90;3.71;2.63;1.63;1.68
EV/EBITDA;0.00;-2.90;20.5;15.3;14.1;9.20;6.22;2.91;7.50;6.26;3.40;3.87
Долг/EBITDA;0.00;-2.90;-0.46;-0.53;0.36;0.17;-1.14;-0.24;-0.62;0.47;0.04;0.24
Персонал, чел;;;190;420;387;380;385;381;375;412;455;
Производительность труда, млн руб/чел/год;;;13.7;7.83;8.45;9.29;11.8;18.7;15.9;16.9;21.8;
Расходы/чел/год, тыс.р;;;410.5;392.9;630.5;647.4;709.1;711.3;1 427;1 311;1 642;
R&D/CAPEX, %;0.00%;0.00%;7 500.00%;1 650.00%;75.51%;42.31%;193.75%;0.00%;0.00%;0.00%;0.00%;0
CAPEX/Выручка, %;0%;0%;0%;0%;3%;7%;1%;0%;1%;0%;3%;2%
Качество фин.отчетности;;;;;;;;4;4;4;4;4
Презентации для инвесторов;;;;;;;;1;1;1;1;1
Присутствие на смартлабе;;;;;;;;4;4;4;4;4
Годовой отчет;;;;;;;;5;5;5;;5
Сайт для инвесторов;;;;;;;;4;4;4;4;4
Обратная связь;;;;;;;;5;5;5;5;5
