;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;;17.03.2022;01.07.2018;01.07.2018;01.07.2018;01.07.2018;20.04.2018;18.03.2019;17.03.2020;16.03.2021;16.03.2022;13.04.2023;02.04.2024;31.03.2025;;30.10.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;;RUB
Установленная мощность, ГВт;;;;9.68;9.51;9.43;9.43;9.43;5.63;5.63;5.74;5.91;5.94;5.96;;
Установл. тепл. мощность, Гкал/ч;;;;;2 382;2 382;2 382;2 382;2 032;2 032;2 032;1 927;1 822;1 822;;
Выработка электроэнергии, ТВт*ч;44.5;46.8;44.1;44.7;44.4;43.4;42.0;41.3;34.2;19.1;22.6;21.7;22.2;23.8;;24.8
Ср. цена реализации э/э, руб/кВт*ч;;;;1.10;1.07;1.11;1.10;1.10;1.17;1.26;1.40;;;;;
Отпуск э/э потребителям из сети, млрд кВт*ч;42.4;44.5;41.9;42.4;42.1;41.1;39.8;39.2;32.4;18.1;21.4;20.5;21.0;22.6;;23.6
Отпуск тепл.энергии, млн Гкал;6.78;6.63;6.46;6.36;5.62;5.58;5.20;4.90;4.60;3.81;4.05;4.06;3.88;4.18;;4.18
Реализация мощности, ГВт;100 198;104 397;102 713;103 749;98 805;97 287;104 395;103 034;;;;;;;;
КИУМ, %;;;;53.0%;53.0%;;;;;;;;;;;
Выручка, млрд руб;;66.5;69.7;74.4;71.0;72.2;74.4;73.3;65.8;44.0;48.2;50.5;60.8;68.6;;78.1
Операционная прибыль, млрд руб;;9.47;9.85;9.78;-54.7;10.3;14.0;12.5;2.84;5.53;3.46;-23.6;8.60;9.49;;9.88
EBITDA, млрд руб;;15.0;16.8;18.4;10.8;13.4;17.7;17.2;15.3;9.02;7.85;9.38;12.1;13.5;;15.7
Чистая прибыль, млрд руб;;5.40;4.94;5.58;-48.6;4.39;8.58;7.71;0.895;3.63;2.60;-20.2;4.62;4.54;;4.68
Операционный денежный поток, млрд руб;;15.3;17.7;17.0;4.82;12.3;11.7;7.34;9.93;-0.446;7.18;6.24;12.7;14.0;;15.6
CAPEX, млрд руб;;10.8;8.56;8.07;8.07;8.54;9.61;6.41;9.51;14.0;17.9;7.85;9.44;6.79;;8.16
FCF, млрд руб;;3.08;7.78;5.68;-3.96;1.96;3.77;-0.760;15.7;-11.2;-10.8;-4.28;0.370;3.80;;3.27
Див.выплата, млрд руб;;;1.98;2.86;0.000;2.41;5.13;5.00;3.00;;;;;;;
Дивиденд, руб/акцию;;;0,0559;0,080731;0;0,06822;0,14493;0,14;0,085;;;;;;;
Див доход, ао, %;;;;10.9%;0.0%;6.9%;10.0%;13.6%;9.2%;0.0%;0.0%;0.0%;0.0%;0.0%;;0.0%
Дивиденды/прибыль, %;;0%;40%;51%;0%;55%;60%;65%;335%;0%;0%;0%;0%;0%;;0
Опер. расходы, млрд руб;;57.8;61.8;126.9;68.8;62.8;60.9;61.3;62.9;38.6;45.6;74.6;52.6;60.1;;69.5
Амортизация, млрд руб;;;;;;;;;;;;3.5;3.2;3.2;;4.6
Расх на персонал, млрд руб;;4.01;4.14;3.15;4.28;4.52;4.30;3.79;3.45;2.52;2.84;2.91;3.75;4.34;;4.87
Процентные расходы, млрд руб;;1.64;1.65;1.42;1.58;2.72;2.11;2.01;1.71;1.20;1.90;3.11;3.01;3.70;;4.06
Активы, млрд руб;;127.9;132.6;141.4;86.4;77.3;81.0;83.9;70.0;76.7;91.5;65.4;67.0;73.7;;73.3
Чистые активы, млрд руб;69.4;73.9;78.1;83.8;31.0;35.3;41.4;44.6;38.3;40.7;43.0;25.0;29.6;34.2;;38.0
Долг, млрд руб;40.8;40.7;36.1;28.6;35.0;26.1;23.9;25.5;15.3;25.3;36.2;34.4;30.0;30.8;;22.8
Наличность, млрд руб;7.74;5.35;8.62;7.56;10.4;5.75;5.98;6.09;11.1;11.7;10.2;4.58;0.910;5.47;;3.77
Чистый долг, млрд руб;33.1;35.3;27.5;21.1;24.5;20.3;17.9;19.4;4.17;13.7;26.0;29.8;29.1;25.4;;19.0
Цена акции ао, руб;;;;0.740;0.710;0.994;1.45;1.03;0.922;0.901;0.862;0.549;0.665;0.515;;0.521
Число акций ао, млн;35 372;35 372;35 372;35 372;35 372;35 372;35 372;35 372;35 372;35 372;35 372;35 372;35 372;35 372;;35 372
Free Float, %;;;;;;;16.3%;16.3%;16.9%;30.6%;30.6%;30.6%;;29.0%;;29.0%
Капитализация, млрд руб;0.00;0.00;0.00;26.2;25.1;35.2;51.4;36.5;32.6;31.9;30.5;19.4;23.5;18.2;;18.4
EV, млрд руб;33.1;35.3;27.5;47.3;49.7;55.5;69.2;55.9;36.8;45.5;56.4;49.2;52.6;43.6;;37.5
Баланс стоимость, млрд руб;68.6;73.1;77.5;83.2;30.7;35.0;41.1;44.3;38.0;40.0;42.3;24.4;29.2;33.9;;37.8
EPS, руб;0.00;0.15;0.14;0.16;-1.37;0.12;0.24;0.22;0.03;0.10;0.07;-0.57;0.13;0.13;;0.13
FCF/акцию, руб;0.00;0.09;0.22;0.16;-0.11;0.06;0.11;-0.02;0.45;-0.32;-0.31;-0.12;0.01;0.11;;0.09
BV/акцию, руб;1.94;2.07;2.19;2.35;0.87;0.99;1.16;1.25;1.07;1.13;1.20;0.69;0.82;0.96;;1.07
Рентаб EBITDA, %;;22.6%;24.2%;24.7%;15.2%;18.6%;23.8%;23.5%;23.3%;20.5%;16.3%;18.6%;20.0%;19.7%;;20.1%
Чистая рентаб, %;;8.1%;7.1%;7.5%;-68.5%;6.1%;11.5%;10.5%;1.4%;8.2%;5.4%;-40.1%;7.6%;6.6%;;6.0%
Доходность FCF, %;;;;21.7%;-15.8%;5.6%;7.3%;-2.1%;48.3%;-35.1%;-35.5%;-22.1%;1.6%;20.9%;;17.7%
ROE, %;0.0%;7.3%;6.3%;6.7%;-156.7%;12.4%;20.7%;17.3%;2.3%;8.9%;6.0%;-81.0%;15.6%;13.3%;;12.3%
ROA, %;;4.2%;3.7%;3.9%;-56.3%;5.7%;10.6%;9.2%;1.3%;4.7%;2.8%;-30.9%;6.9%;6.2%;;6.4%
P/E;;0.00;0.00;4.69;-0.52;8.01;5.99;4.74;36.4;8.77;11.7;-0.96;5.09;4.01;;3.94
