;2010;2011;2012;2013;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;;;;15.06.2018;27.03.2019;27.03.2020;26.03.2021;06.06.2023;29.03.2024;29.03.2024;28.03.2025;31.03.2026;29.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Отпуск э/э потребителям из сети, млрд кВт*ч;;;;;557.7;558.7;535.7;;;;;;
Протяженность ЛЭП, тыс.км;;;;135.0;145.9;148.3;149.0;;;;;;
Трансформаторная мощность, ГВт;;;;334.0;351.9;352.9;352.0;;;;;;
Выручка, млрд руб;;;;;;1 030;1 002;;1 182;1 379;1 506;1 834;1 617
Операционная прибыль, млрд руб;;;;;;151.5;97.0;;182.0;222.3;-93.1;304.1;-44.5
EBITDA, млрд руб;;;;;;323.7;288.5;;384.2;528.2;519.4;668.2;612.6
Чистая прибыль, млрд руб;;;;;;76.8;43.9;;132.8;126.0;-149.5;141.4;-144.5
Операционный денежный поток, млрд руб;;;;;;256.4;235.4;;322.2;472.6;462.1;581.5;497.6
CAPEX, млрд руб;;;;;;231.7;235.6;;362.8;468.7;553.7;598.5;601.0
FCF, млрд руб;;;;;;33.8;5.50;;-31.7;18.7;-49.1;43.3;-52.3
Див.выплата, млрд руб;;;;;;22.7;5.00;;;;;;
Дивиденд, руб/акцию;;;;;;0,115;0,0252;;;;;;
Див доход, ао, %;0.0%;0.0%;0.0%;0.0%;0.0%;57.3%;11.3%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
Дивиденды/прибыль, %;;;;;;30%;11%;;0%;0%;0%;0%;0
Опер. расходы, млрд руб;;;;;;;;;993.4;1 111;1 250;1 444;1 311
Себестоимость, млрд руб;;;;;;858.3;870.5;;;;;;
Амортизация, млрд руб;;;;;;129.4;139.5;;150.4;161.9;178.6;184.4;181.0
Расх на персонал, млрд руб;;;;;;201.3;212.2;;247.6;281.3;324.5;371.6;347.2
Процентные расходы, млрд руб;;;;;;42.0;34.0;;52.3;55.6;85.3;70.9;97.5
Активы, млрд руб;;;;;;2 650;2 731;;2 924;3 291;3 446;3 928;3 578
Чистые активы, млрд руб;;855.6;852.6;846.7;;1 190;1 216;;1 198;1 564;1 416;1 551;1 504
Долг, млрд руб;;105.0;177.5;282.4;;562.4;564.2;;649.3;646.6;741.8;829.6;733.1
Наличность, млрд руб;;;;21.6;;97.2;95.2;;195.4;197.0;233.3;311.8;230.5
Чистый долг, млрд руб;0.00;105.0;177.5;260.8;0.00;465.2;469.0;0.00;453.9;449.6;508.5;517.8;502.6
Цена акции ао, руб;0.369;0.281;0.201;0.090;0.148;0.201;0.224;0.162;0.087;0.110;0.078;0.071;0.076
Число акций ао, млн;1 233 561;1 255 948;1 260 387;1 267 141;1 274 665;1 274 665;1 274 665;1 274 665;2 113 460;2 113 460;2 113 460;2 113 460;2 113 460
Free Float, %;;;;15.7%;19.0%;18.2%;18.2%;;;;16.0%;16.0%;16.0%
Капитализация, млрд руб;455.2;352.9;253.3;114.3;188.8;255.7;285.0;207.0;183.7;231.8;163.8;150.4;160.6
EV, млрд руб;455.2;457.9;430.8;375.1;188.8;720.9;754.0;207.0;637.6;681.4;672.3;668.2;663.2
Баланс стоимость, млрд руб;0.00;855.6;852.6;846.7;0.00;1 170;1 193;0.00;1 174;1 535;1 385;1 513;1 473
EPS, руб;0.00;0.00;0.00;0.00;0.00;0.06;0.03;0.00;0.06;0.06;-0.07;0.07;-0.07
FCF/акцию, руб;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;-0.01;0.01;-0.02;0.02;-0.02
BV/акцию, руб;0.00;0.68;0.68;0.67;0.00;0.92;0.94;0.00;0.56;0.73;0.66;0.72;0.70
Рентаб EBITDA, %;;;;;;31.4%;28.8%;;32.5%;38.3%;34.5%;36.4%;37.9%
Чистая рентаб, %;;;;;;7.5%;4.4%;;11.2%;9.1%;-9.9%;7.7%;-8.9%
Доходность FCF, %;0.0%;0.0%;0.0%;0.0%;0.0%;13.2%;1.9%;0.0%;-17.2%;8.1%;-30.0%;28.8%;-32.6%
ROE, %;;0.0%;0.0%;0.0%;;6.5%;3.6%;;11.1%;8.1%;-10.6%;9.1%;-9.6%
ROA, %;;;;;;2.9%;1.6%;;4.5%;3.8%;-4.3%;3.6%;-4.0%
P/E;;;;;;3.33;6.49;;1.38;1.84;-1.10;1.06;-1.11
P/FCF;;;;;;7.56;51.8;;-5.80;12.4;-3.34;3.48;-3.07
P/S;;;;;;0.25;0.28;;0.16;0.17;0.11;0.08;0.10
P/BV;;0.41;0.30;0.13;;0.22;0.24;;0.16;0.15;0.12;0.10;0.11
EV/EBITDA;;;;;;2.23;2.61;;1.66;1.29;1.29;1.00;1.08
Долг/EBITDA;;;;;;1.44;1.63;;1.18;0.85;0.98;0.77;0.82
Персонал, чел;;23 332;24 460;25 123;22 052;22 028;21 687;;;235 000;234 500;;
Производительность труда, млн руб/чел/год;;0.00;0.00;0.00;0.00;46.7;46.2;;;5.87;6.42;;
Расходы/чел/год, тыс.р;;0.00;0.00;0.00;0.00;9 138;9 785;;;1 197;1 384;;
R&D/CAPEX, %;;;;;;0.00%;0.00%;;0.00%;0.00%;0.00%;0.00%;0
CAPEX/Выручка, %;;;;;;23%;24%;;31%;34%;37%;33%;37%
