;2021;2022;2023;2024;2025
Дата отчета;28.04.2023;28.04.2023;22.04.2024;29.04.2025;24.04.2026
Валюта отчета;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;0.000;0.000;0.000;;0.000
Чистая прибыль, млрд руб;0.860;2.16;0.050;4.22;3.13
Операционный денежный поток, млрд руб;;;0.032;3.94;2.95
CAPEX, млрд руб;;;0.000;0.000;0.000
FCF, млрд руб;;;0.138;3.74;
Див.выплата, млрд руб;1.95;2.04;;;
Дивиденд, руб/акцию;;9,035;;;
Див доход, ао, %;0.0%;2.8%;;;
Дивиденды/прибыль, %;227%;94%;0%;0%;0%
Активы, млрд руб;72.8;65.9;68.9;77.5;82.7
Чистые активы, млрд руб;72.8;65.9;68.9;77.5;79.9
Долг, млрд руб;0.000;0.000;0.000;0.000;0.000
Наличность, млрд руб;0.560;0.740;0.630;1.22;3.29
Чистый долг, млрд руб;-0.56;-0.74;-0.63;-1.22;-3.29
Цена акции ао, руб;295.0;328.0;;;
Число акций ао, млн;225.4;225.4;225.4;225.4;225.4
Капитализация, млрд руб;66.5;73.9;0.00;0.00;0.00
EV, млрд руб;65.9;73.2;-0.63;-1.22;-3.29
Баланс стоимость, млрд руб;72.8;65.9;68.9;77.5;79.9
EPS, руб;3.82;9.58;0.22;18.7;13.9
FCF/акцию, руб;0.00;0.00;0.61;16.6;0.00
BV/акцию, руб;323.0;292.4;305.7;343.8;354.3
Доходность FCF, %;0.0%;0.0%;;;
ROE, %;1.2%;3.3%;0.1%;5.4%;3.9%
ROA, %;1.2%;3.3%;0.1%;5.4%;3.8%
P/E;77.3;34.2;0.00;0.00;0.00
P/FCF;;;0.00;0.00;
P/BV;0.91;1.12;0.00;0.00;0.00
Персонал, чел;6;6;;;
Производительность труда, млн руб/чел/год;0.00;0.00;;;
Расходы/чел/год, тыс.р;0.00;0.00;;;
Операционная прибыль, млрд руб;;;;;-0.023
Опер. расходы, млрд руб;;;;;0.023
