;2020;2021;2022;2023;2024
"Дата отчета";30.04.2020;22.04.2022;22.04.2025;22.04.2024;29.04.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB
"Операционная прибыль, млрд руб";-0.019;-0.017;-0.019;-0.021;-0.026
"Чистая прибыль, млрд руб";1.24;0.776;1.96;0.059;3.88
"Див.выплата, млрд руб";1.21;;1.85;;2.95
"Дивиденд, руб/акцию";5,84;;8,96;;14,32642
"Див доход, ао, %";;;2.7%;;
"Дивиденды/прибыль, %";98%;0%;95%;0%;76%
"Активы, млрд руб";62.1;66.6;60.4;63.1;71.3
"Чистые активы, млрд руб";62.1;66.6;60.4;63.1;71.3
"Долг, млрд руб";0.000;0.000;0.000;0.000;
"Наличность, млрд руб";0.001;0.002;;;
"Чистый долг, млрд руб";0.00;0.00;0.00;0.00;0.00
"Цена акции ао, руб";;;328.0;;
"Число акций ао, млн";;;;206.5;206.5
"Капитализация, млрд руб";0.00;0.00;0.00;0.00;0.00
"EV, млрд руб";0.00;0.00;0.00;0.00;0.00
"Баланс стоимость, млрд руб";62.1;66.6;60.4;63.1;71.3
"EPS, руб";;;;0.29;18.8
"FCF/акцию, руб";;;;0.00;0.00
"BV/акцию, руб";;;;305.7;345.1
"Доходность FCF, %";;;0.0%;;
"ROE, %";2.0%;1.2%;3.2%;0.1%;5.4%
"ROA, %";2.0%;1.2%;3.2%;0.1%;5.4%
P/E;0.00;0.00;0.00;0.00;0.00
P/BV;0.00;0.00;0.00;0.00;0.00
