;2019;2020;2021;2022;2023;2024;2025
Дата отчета;08.05.2020;30.04.2021;22.04.2022;28.04.2023;22.04.2024;29.04.2025;24.04.2026
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Операционная прибыль, млрд руб;-0.015;-0.015;-0.200;-0.021;-0.024;-0.027;-0.028
Чистая прибыль, млрд руб;0.650;0.760;0.470;1.21;0.022;2.23;1.76
Див.выплата, млрд руб;;0.700;;;;2.03;
Дивиденд, руб/акцию;;1,5;;;;4,29894;
Див доход, ао, %;;;;0.0%;;4.3%;0.0%
Дивиденды/прибыль, %;0%;92%;0%;0%;0%;91%;0%
Активы, млрд руб;38.9;37.2;40.5;36.3;38.1;42.9;46.2
Чистые активы, млрд руб;38.9;37.2;40.5;36.3;38.1;42.8;44.5
Наличность, млрд руб;;;;;0.567;0.792;2.44
Чистый долг, млрд руб;0.00;0.00;0.00;0.00;-0.57;-0.79;-2.44
Цена акции ао, руб;;;;88.5;;100.0;100.0
Число акций ао, млн;;;;;;471.4;471.4
Капитализация, млрд руб;0.00;0.00;0.00;0.00;0.00;47.1;47.1
EV, млрд руб;0.00;0.00;0.00;0.00;-0.57;46.4;44.7
Баланс стоимость, млрд руб;38.9;37.2;40.5;36.3;38.1;42.8;44.5
EPS, руб;;;;;;4.73;3.74
FCF/акцию, руб;;;;;;0.00;0.00
BV/акцию, руб;;;;;;90.9;94.5
Доходность FCF, %;;;;0.0%;;0.0%;0.0%
ROE, %;1.7%;2.0%;1.2%;3.3%;0.1%;5.2%;4.0%
ROA, %;1.7%;2.0%;1.2%;3.3%;0.1%;5.2%;3.8%
P/E;0.00;0.00;0.00;0.00;0.00;21.1;26.7
P/BV;0.00;0.00;0.00;0.00;0.00;1.10;1.06
Опер.денежный поток, млрд руб;;;;;;;1.77
Опер. расходы, млрд руб;;;;;;;0.028
