;2020;2021;2022;2023;2025
Дата отчета;27.04.2023;27.04.2023;27.04.2023;27.09.2024;
Валюта отчета;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;0.362;0.397;0.312;0.346;
Операционная прибыль, млрд руб;-0.012;-0.097;-0.044;;
EBITDA, млрд руб;0.024;-0.057;;;
Чистая прибыль, млрд руб;-0.046;-0.136;-0.078;-0.035;
Операционный денежный поток, млрд руб;-0.062;-0.061;;;
CAPEX, млрд руб;0.046;0.035;0.031;;
Див доход, ао, %;0.0%;0.0%;0.0%;0.0%;0.0%
Дивиденды/прибыль, %;0%;0%;0%;0%;
Опер. расходы, млрд руб;0.374;0.494;0.357;;
Себестоимость, млрд руб;;;0.265;0.263;
Расх на персонал, млрд руб;;0.112;0.091;;
Процентные расходы, млрд руб;0.029;0.029;0.031;;
Активы, млрд руб;0.859;0.816;0.794;;
Чистые активы, млрд руб;0.433;0.526;0.472;;
Долг, млрд руб;0.323;0.167;0.223;;
Наличность, млрд руб;0.017;0.004;0.026;;
Чистый долг, млрд руб;0.31;0.16;0.20;0.00;0.00
Цена акции ао, руб;17.9;17.9;17.9;43.8;24.5
Число акций ао, млн;83.0;83.0;83.0;83.0;83.0
Капитализация, млрд руб;1.48;1.48;1.48;3.64;2.04
EV, млрд руб;1.79;1.65;1.68;3.64;2.04
Баланс стоимость, млрд руб;0.06;0.14;0.06;0.00;0.00
EPS, руб;-0.55;-1.64;-0.94;-0.42;0.00
FCF/акцию, руб;0.00;0.00;0.00;0.00;0.00
BV/акцию, руб;0.67;1.65;0.72;0.00;0.00
Рентаб EBITDA, %;6.6%;-14.4%;0.0%;0.0%;
Чистая рентаб, %;-12.7%;-34.3%;-25.0%;-10.1%;
Доходность FCF, %;0.0%;0.0%;0.0%;0.0%;0.0%
ROE, %;-10.6%;-25.9%;-16.5%;;
ROA, %;-5.4%;-16.7%;-9.8%;;
P/E;-32.3;-10.9;-19.0;-103.9;
P/S;4.10;3.74;4.76;10.5;
P/BV;26.5;10.8;24.7;;
EV/EBITDA;74.6;-28.9;;;
Долг/EBITDA;12.8;-2.86;;;
R&D/CAPEX, %;0.00%;0.00%;0.00%;;
CAPEX/Выручка, %;13%;9%;10%;0%;
