;2018;2019;2020;2021;2022;2023;2024;2025
Дата отчета;15.04.2022;16.04.2021;16.04.2021;15.04.2022;11.04.2023;;;
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;0.243;0.239;0.243;0.266;0.255;;;
Операционная прибыль, млрд руб;0.155;0.137;0.142;0.140;0.139;;;
EBITDA, млрд руб;0.162;0.142;0.152;0.148;0.145;;;
Чистая прибыль, млрд руб;0.142;0.119;0.123;0.137;0.113;;;
Операционный денежный поток, млрд руб;0.163;0.113;0.135;0.243;0.245;;;
CAPEX, млрд руб;;0.000;0.002;0.005;0.004;;;
FCF, млрд руб;0.168;0.108;0.129;0.265;0.243;;;
Див.выплата, млрд руб;;0.134;0.124;0.129;0.120;0.096;0.149;0.159
Дивиденд, руб/акцию;;89,45;83,1;86,5;80,22;64,2;10,1;10.8
Див доход, ао, %;;11.7%;12.0%;8.7%;10.0%;6.4%;7.8%;9.4%
Дивиденды/прибыль, %;0%;112%;101%;94%;106%;;;
Опер. расходы, млрд руб;0.088;0.101;0.101;0.126;0.115;;;
Расх на персонал, млрд руб;0.024;0.025;0.026;0.026;0.026;;;
Процентные расходы, млрд руб;0.001;0.005;0.004;0.006;0.004;;;
Активы, млрд руб;0.330;0.564;0.653;0.679;0.870;;;
Чистые активы, млрд руб;0.044;0.196;0.210;0.202;0.139;;;
Долг, млрд руб;;0.000;0.000;0.030;0.225;;;
Наличность, млрд руб;0.005;0.035;0.025;0.036;0.076;;;
Чистый долг, млрд руб;-0.01;-0.04;-0.03;-0.01;0.15;0.00;0.00;0.00
Цена акции ао, руб;;761.5;690.0;999.0;799.5;1 002;129.9;114.8
Число акций ао, млн;1.49;1.49;1.49;1.49;1.49;1.49;1.49;14.9
Free Float, %;;;;;;13.0%;;
Капитализация, млрд руб;0.00;1.14;1.03;1.49;1.19;1.50;0.19;1.71
EV, млрд руб;-0.01;1.10;1.01;1.49;1.34;1.50;0.19;1.71
Баланс стоимость, млрд руб;0.04;0.16;0.18;0.18;0.05;0.00;0.00;0.00
EPS, руб;95.1;79.7;82.4;91.8;75.7;0.00;0.00;0.00
FCF/акцию, руб;112.5;72.3;86.4;177.5;162.8;0.00;0.00;0.00
BV/акцию, руб;26.8;108.5;118.6;117.2;32.8;0.00;0.00;0.00
Рентаб EBITDA, %;66.7%;59.4%;62.6%;55.6%;56.9%;;;
Чистая рентаб, %;58.4%;49.8%;50.6%;51.5%;44.3%;;;
Доходность FCF, %;;9.5%;12.5%;17.8%;20.4%;0.0%;0.0%;0.0%
ROE, %;322.7%;60.7%;58.6%;67.8%;81.3%;;;
ROA, %;43.0%;21.1%;18.8%;20.2%;13.0%;;;
P/E;0.00;9.55;8.38;10.9;10.6;;;
P/FCF;0.00;10.5;7.99;5.63;4.91;;;
P/S;0.00;4.76;4.24;5.61;4.68;;;
P/BV;0.00;7.02;5.82;8.52;24.4;;;
EV/EBITDA;-0.03;7.76;6.61;10.0;9.26;;;
Долг/EBITDA;-0.03;-0.25;-0.16;-0.04;1.03;;;
R&D/CAPEX, %;;;0.00%;0.00%;0.00%;;;
CAPEX/Выручка, %;0%;0%;1%;2%;2%;;;
