;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;;;;;;;;08.05.2022;12.08.2021;12.08.2021;26.04.2022;26.04.2023;26.04.2024;31.03.2025;17.04.2026;28.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;4.20;3.00;4.20;6.20;7.80;9.80;10.7;14.4;17.8;21.4;25.3;23.7;24.6;25.4;27.3;25.6
Операционная прибыль, млрд руб;;;;;;;;4.96;4.81;6.64;7.94;6.36;8.82;9.86;8.98;9.82
EBITDA, млрд руб;;;;;;;;6.00;6.00;8.02;10.1;8.07;10.6;11.5;11.2;11.5
Чистая прибыль, млрд руб;;;;;;;;3.90;4.50;6.83;6.11;3.27;9.49;10.4;10.7;11.4
Операционный денежный поток, млрд руб;;;;;;;;4.40;4.72;5.64;9.77;7.08;9.54;12.1;12.9;13.4
CAPEX, млрд руб;;;;;;;;1.77;4.10;3.30;1.41;1.29;1.51;0.770;1.13;0.767
FCF, млрд руб;;;;;;;;2.47;0.370;2.42;8.08;5.46;7.67;11.2;11.4;12.6
Див.выплата, млрд руб;;;;;;;;;;6.60;;;;;0.000;
Дивиденд, руб/акцию;;;;;;;;;;73,27;;;;;0;
Див доход, ао, %;;;;;;;;;0.0%;7.9%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
Дивиденды/прибыль, %;;;;;;;;0%;0%;97%;0%;0%;0%;0%;0%;0
Опер. расходы, млрд руб;;;;;;;;1.30;1.42;1.51;2.27;1.72;1.77;1.75;2.40;1.80
Себестоимость, млрд руб;;;;;;;;8.14;11.6;13.1;15.1;15.6;14.0;13.8;15.9;14.0
Амортизация, млрд руб;;;;;;;;;;;;;;1.7;2.1;1.7
Расх на персонал, млрд руб;;;;;;;;;;1.06;5.48;5.01;5.17;5.41;8.77;6.01
Процентные расходы, млрд руб;;;;;;;;0.230;0.610;0.710;0.670;1.51;1.57;1.03;0.660;0.267
Активы, млрд руб;;;;;;;;18.1;22.5;28.5;28.6;33.0;34.2;38.8;61.6;42.5
Чистые активы, млрд руб;;;;;;;;6.38;5.10;10.5;7.31;10.8;18.4;28.0;35.8;33.2
Долг, млрд руб;;;;;;;;8.90;13.4;14.3;17.2;16.9;12.6;5.54;12.1;4.31
Наличность, млрд руб;;;;;;;;1.31;1.80;1.85;2.74;4.31;3.40;12.9;17.9;17.7
Чистый долг, млрд руб;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.59;11.6;12.5;14.5;12.5;9.20;-7.40;-5.75;-13.4
Цена акции ао, руб;;;;;;;;;926.6;926.6;1 003;308.3;791.7;757.1;843.6;901.7
