;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;07.07.2018;07.07.2018;03.05.2018;03.05.2018;25.04.2019;27.04.2020;30.04.2021;29.04.2022;17.04.2023;27.04.2024;29.04.2025;30.05.2026;29.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;4.31;5.08;6.21;6.64;8.20;9.54;10.0;12.4;15.4;20.0;10.7;4.25;5.85
Операционная прибыль, млрд руб;;;;0.740;0.892;0.820;0.321;0.525;0.454;1.52;-0.120;-13.0;-1.26
EBITDA, млрд руб;0.924;1.02;1.36;1.28;1.48;1.41;0.970;1.06;0.880;1.10;0.247;-12.3;-0.903
Чистая прибыль, млрд руб;0.056;0.187;0.538;0.280;0.431;0.260;0.066;0.191;0.100;0.440;-1.08;-13.8;-2.19
Чистая прибыль н/с, млрд руб;;;;;;;;;;0.880;;;
Операционный денежный поток, млрд руб;;;;0.600;0.440;0.790;0.550;0.474;0.600;-0.700;-1.08;-2.00;-2.78
CAPEX, млрд руб;;;0.185;0.610;1.50;0.539;0.300;0.670;0.330;0.160;1.02;0.048;0.064
FCF, млрд руб;;;;0.480;-0.214;0.717;0.660;0.186;0.088;-1.12;-1.58;-2.23;-1.14
Див доход, ао, %;;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
Дивиденды/прибыль, %;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0
Опер. расходы, млрд руб;;;;0.610;0.855;0.850;0.944;1.09;1.62;1.68;1.42;1.05;1.25
Себестоимость, млрд руб;3.35;3.98;4.84;5.29;6.45;7.88;8.77;10.8;13.3;17.0;9.63;4.69;6.10
Амортизация, млрд руб;;;;;;;;;0.4;0.3;0.4;0.7;0.4
Расх на персонал, млрд руб;;;0.979;1.09;1.90;2.22;2.47;2.92;3.10;3.63;3.24;2.09;2.48
Процентные расходы, млрд руб;;;0.385;0.324;0.363;0.396;0.300;0.300;0.310;0.342;0.810;0.864;0.837
Активы, млрд руб;5.04;5.70;5.59;8.08;10.1;9.95;9.91;10.9;10.8;14.9;12.7;3.59;10.6
Чистые активы, млрд руб;0.994;1.14;1.36;4.35;4.77;4.91;4.93;5.10;5.19;6.07;5.82;-8.02;4.63
Долг, млрд руб;1.44;3.81;3.28;2.93;4.47;3.98;3.46;3.50;2.31;4.93;3.83;4.20;3.58
Наличность, млрд руб;0.221;0.083;0.185;1.63;0.558;0.506;0.570;0.900;0.462;0.277;0.014;0.005;0.218
Чистый долг, млрд руб;1.22;3.73;3.09;1.30;3.91;3.47;2.89;2.60;1.85;4.65;3.81;4.20;3.36
Цена акции ао, руб;;;;134.2;86.0;58.7;41.5;29.0;50.7;557.8;222.9;173.2;163.2
Число акций ао, млн;58.5;58.5;37.3;58.5;58.5;58.5;58.5;58.5;58.5;58.5;58.5;58.5;58.5
Капитализация, млрд руб;0.00;0.00;0.00;7.85;5.03;3.43;2.42;1.69;2.96;32.6;13.0;10.1;9.54
EV, млрд руб;1.22;3.73;3.09;9.15;8.94;6.90;5.31;4.29;4.81;37.3;16.8;14.3;12.9
Баланс стоимость, млрд руб;0.99;1.14;1.36;4.34;4.76;4.90;4.86;4.89;4.77;5.61;5.49;-8.02;4.44
EPS, руб;0.96;3.20;14.4;4.79;7.37;4.45;1.13;3.27;1.71;7.53;-18.5;-236.7;-37.4
FCF/акцию, руб;0.00;0.00;0.00;8.21;-3.66;12.3;11.3;3.18;1.51;-19.2;-27.1;-38.2;-19.6
BV/акцию, руб;17.0;19.6;36.5;74.3;81.5;83.8;83.1;83.6;81.6;96.0;93.8;-137.1;75.9
Рентаб EBITDA, %;21.4%;20.2%;22.0%;19.2%;18.1%;14.7%;9.7%;8.5%;5.7%;5.5%;2.3%;-288.5%;-15.4%
Чистая рентаб, %;1.3%;3.7%;8.7%;4.2%;5.3%;2.7%;0.7%;1.5%;0.6%;2.2%;-10.2%;-325.6%;-37.4%
Доходность FCF, %;;;;6.1%;-4.3%;20.9%;27.2%;11.0%;3.0%;-3.4%;-12.1%;-22.1%;-12.0%
ROE, %;5.6%;16.4%;39.4%;6.4%;9.0%;5.3%;1.3%;3.7%;1.9%;7.2%;-18.6%;172.7%;-47.3%
ROA, %;1.1%;3.3%;9.6%;3.5%;4.3%;2.6%;0.7%;1.8%;0.9%;3.0%;-8.5%;-385.5%;-20.6%
P/E;0.00;0.00;0.00;28.0;11.7;13.2;36.7;8.86;29.6;74.1;-12.0;-0.73;-4.36
P/FCF;;;;16.3;-23.5;4.79;3.67;9.10;33.6;-29.1;-8.23;-4.53;-8.34
P/S;0.00;0.00;0.00;1.18;0.61;0.36;0.24;0.14;0.19;1.63;1.22;2.38;1.63
P/BV;0.00;0.00;0.00;1.81;1.06;0.70;0.50;0.35;0.62;5.81;2.38;-1.26;2.15
EV/EBITDA;1.31;3.64;2.27;7.16;6.04;4.91;5.48;4.05;5.46;33.9;68.2;-1.17;-14.3
Долг/EBITDA;1.31;3.64;2.27;1.02;2.64;2.47;2.98;2.45;2.10;4.23;15.4;-0.34;-3.72
R&D/CAPEX, %;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
CAPEX/Выручка, %;0%;0%;3%;9%;18%;6%;3%;5%;2%;1%;10%;1%;1%
