;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";10.07.2018;10.07.2018;01.07.2018;16.05.2018;16.05.2018;30.04.2019;29.04.2020;30.04.2021;04.05.2022;02.05.2023;02.05.2024;28.04.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";5.69;6.06;7.73;9.23;10.4;14.8;14.9;14.6;15.0;16.4;17.5;16.3;16.6
"Операционная прибыль, млрд руб";;;;;1.19;1.82;2.00;4.45;3.79;4.33;3.89;1.91;1.76
"EBITDA, млрд руб";0.308;0.414;1.20;1.32;1.48;2.08;2.50;2.26;2.06;4.85;4.56;2.76;2.76
"Чистая прибыль, млрд руб";-0.147;0.003;0.251;0.650;0.546;0.917;0.920;0.900;0.762;3.00;2.90;1.19;0.821
"Операционный денежный поток, млрд руб";;;;;0.700;1.12;1.40;1.54;0.078;3.91;3.74;1.39;0.828
"CAPEX, млрд руб";;;;0.710;1.15;1.17;0.600;0.700;0.500;0.870;2.35;2.98;3.09
"FCF, млрд руб";;;;;-0.450;-0.056;0.810;0.860;-0.367;2.97;1.19;-1.78;-2.41
"Див.выплата, млрд руб";;;;0.150;0.488;0.268;0.110;0.085;0.086;0.304;;;
"Дивиденд, руб/акцию";;;;0,1634;0,5313;0,2921;;;;;;;
"Дивиденд ап, руб/акцию";;;;0,1634;0,5313;0,2921;0,494;0,37;0,37481;1,322583;;;
"Див доход, ап, %";;;;2.3%;9.5%;4.8%;8.1%;4.8%;3.9%;14.5%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";0%;0%;0%;23%;89%;29%;12%;9%;11%;10%;0%;0%;0
"Опер. расходы, млрд руб";;;;;2.11;2.47;2.25;2.82;2.40;3.02;3.32;4.07;4.27
"Себестоимость, млрд руб";4.34;4.46;5.38;6.37;7.14;10.3;10.5;10.1;11.2;9.03;10.3;10.5;10.6
"Амортизация, млрд руб";;;;;;;;;;0.5;0.7;0.8;1.0
"Расх на персонал, млрд руб";;;;;;1.80;1.97;1.98;2.12;2.29;3.27;3.31;3.58
"Процентные расходы, млрд руб";;;;0.374;0.400;0.320;0.450;0.330;0.340;0.530;0.330;0.547;0.894
"Активы, млрд руб";;;;;8.81;10.7;11.2;12.8;14.0;15.4;17.9;21.2;21.5
"Чистые активы, млрд руб";2.07;2.07;2.32;2.46;2.36;2.32;3.45;4.72;5.40;8.32;11.4;12.5;12.7
"Долг, млрд руб";3.08;3.23;3.42;4.04;4.90;5.50;5.03;4.93;5.59;3.49;2.72;5.09;5.20
"Наличность, млрд руб";0.011;0.205;0.080;0.051;0.007;0.079;0.011;0.530;0.181;0.388;0.200;0.756;0.070
"Чистый долг, млрд руб";3.07;3.03;3.34;3.99;4.89;5.43;5.02;4.40;5.41;3.10;2.52;4.34;5.13
