;2025
Дата отчета;30.04.2026
Валюта отчета;RUB
Выручка, млрд руб;5.00
Операционная прибыль, млрд руб;0.906
EBITDA, млрд руб;1.15
Чистая прибыль, млрд руб;0.090
Опер.денежный поток, млрд руб;-0.057
CAPEX, млрд руб;0.400
FCF, млрд руб;-0.487
Див доход, ао, %;0.0%
Дивиденды/прибыль, %;0%
Опер. расходы, млрд руб;1.05
Себестоимость, млрд руб;3.16
Амортизация, млрд руб;0.2
Расх на персонал, млрд руб;1.16
Процентные расходы, млрд руб;0.751
Активы, млрд руб;5.52
Чистые активы, млрд руб;0.506
Долг, млрд руб;3.84
Наличность, млрд руб;0.198
Чистый долг, млрд руб;3.64
Цена акции ао, руб;100.0
Число акций ао, млн;80.0
Капитализация, млрд руб;8.00
EV, млрд руб;11.6
Баланс стоимость, млрд руб;0.32
EPS, руб;1.13
FCF/акцию, руб;-6.09
BV/акцию, руб;4.04
Рентаб EBITDA, %;22.9%
Чистая рентаб, %;1.8%
Доходность FCF, %;-6.1%
ROE, %;17.8%
ROA, %;1.6%
P/E;88.9
P/FCF;-16.4
P/S;1.60
P/BV;24.8
EV/EBITDA;10.1
Долг/EBITDA;3.18
Персонал, чел;470
Произв.труда, млн руб/чел/год;10.6
Расходы/чел/год, тыс.р;2 468
R&D/CAPEX, %;0.00%
CAPEX/Выручка, %;8%
