;2020;2021;2022;2023;2024;LTM
"Дата отчета";;31.05.2024;31.05.2024;24.05.2024;03.04.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";;0.560;1.38;2.45;3.33;3.66
"Операционная прибыль, млрд руб";;0.198;1.03;1.76;1.95;1.80
"EBITDA, млрд руб";;0.432;1.07;1.95;2.33;2.25
"Чистая прибыль, млрд руб";;0.188;1.000;1.76;1.90;1.71
"NIC, млрд руб";;;;1.29;0.653;
"Операционный денежный поток, млрд руб";;0.219;1.05;0.702;1.71;2.37
"CAPEX, млрд руб";;0.203;0.592;0.648;1.50;1.92
"FCF, млрд руб";;0.006;0.438;0.224;0.185;0.462
"Див доход, ао, %";;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";;0.168;0.224;0.370;0.840;0.837
"Себестоимость, млрд руб";;0.190;0.215;0.326;0.536;0.577
"Амортизация, млрд руб";;0.1;0.1;0.2;0.3;0.3
"Расх на персонал, млрд руб";;;0.152;0.215;0.410;0.485
"Процентные расходы, млрд руб";;;;;0.048;
"Активы, млрд руб";1.73;1.98;3.34;4.95;6.99;7.43
"Чистые активы, млрд руб";1.67;1.81;2.60;3.79;5.10;5.41
"Долг, млрд руб";0.000;0.031;0.060;0.861;0.510;0.503
"Наличность, млрд руб";0.001;0.005;0.356;0.266;0.240;0.099
"Чистый долг, млрд руб";0.00;0.03;-0.30;0.60;0.27;0.40
"Цена акции ао, руб";;300.0;300.0;300.0;198.9;164.1
"Число акций ао, млн";100.0;100.0;100.0;100.0;100.0;100.0
"Free Float, %";;0.000%;0.000%;11.0%;11.0%;11.0%
"Капитализация, млрд руб";0.00;30.0;30.0;30.0;19.9;16.4
"EV, млрд руб";0.00;30.0;29.7;30.6;20.2;16.8
"Баланс стоимость, млрд руб";0.21;0.37;0.77;1.72;1.67;1.60
"EPS, руб";0.00;1.88;10.00;17.6;19.0;17.1
"FCF/акцию, руб";0.00;0.06;4.38;2.24;1.85;4.62
"BV/акцию, руб";2.10;3.70;7.70;17.2;16.7;16.0
"Рентаб EBITDA, %";;77.1%;77.5%;79.7%;70.0%;61.4%
"Чистая рентаб, %";;33.6%;72.5%;72.0%;57.0%;46.7%
"Доходность FCF, %";;0.0%;1.5%;0.7%;0.9%;2.8%
"ROE, %";0.0%;10.4%;38.5%;46.5%;37.2%;31.6%
"ROA, %";0.0%;9.5%;29.9%;35.6%;27.1%;23.0%
P/E;;159.6;30.0;17.0;10.5;9.60
P/FCF;;"5 000";68.5;133.9;107.5;35.5
P/S;;53.6;21.7;12.2;5.98;4.48
P/BV;0.00;81.1;39.0;17.4;11.9;10.2
EV/EBITDA;;69.5;27.8;15.7;8.65;7.48
Долг/EBITDA;;0.06;-0.28;0.30;0.12;0.18
"Персонал, чел";;;;;380;
"Производительность труда, млн руб/чел/год";;;;;8.76;
"Расходы/чел/год, тыс.р";;;;;"1 079";
"R&D/CAPEX, %";;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";;36%;43%;26%;45%;52%
