;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
"Дата отчета";09.07.2018;09.07.2018;09.07.2018;09.07.2018;;;11.05.2021;11.05.2021;;;08.04.2024;14.04.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";21.4;25.9;28.4;26.7;;;30.8;29.1;;;41.2;46.8
"Операционная прибыль, млрд руб";;;;;;;9.43;5.91;;;13.9;17.4
"EBITDA, млрд руб";10.1;13.1;15.9;14.0;;;16.3;13.8;;;21.8;26.5
"Чистая прибыль, млрд руб";4.77;3.83;6.58;7.12;;;7.00;3.50;;;8.00;6.26
"Операционный денежный поток, млрд руб";;;;;;;12.3;13.6;;;19.4;34.5
"CAPEX, млрд руб";;;;;;;11.4;10.00;;;24.3;20.1
"FCF, млрд руб";;;;;;;-0.950;3.35;;;-12.9;3.88
"Див.выплата, млрд руб";;;;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003
"Дивиденд, руб/акцию";;;;;;;;0;;;;
"Див доход, ао, %";;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденд ап, руб/акцию";;;;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01
"Див доход, ап, %";;;0.0%;0.1%;0.1%;0.1%;0.1%;0.1%;0.1%;0.1%;0.1%;0.1%
"Дивиденды/прибыль, %";0%;0%;0%;0%;;;0%;0%;;;0%;0%
"Опер. расходы, млрд руб";9.48;10.9;10.9;11.0;;;12.3;13.2;;;16.5;18.3
"Амортизация, млрд руб";;;;;;;7.0;7.9;;;7.9;9.2
"Расх на персонал, млрд руб";;;;;;;2.76;2.91;;;;
"Процентные расходы, млрд руб";;;;;;;1.97;1.66;;;;
"Активы, млрд руб";;;;;;;119.8;124.4;;;198.7;186.9
"Чистые активы, млрд руб";34.7;38.5;45.1;52.2;;;73.0;77.0;;;94.4;99.7
"Долг, млрд руб";17.6;19.4;12.9;6.89;;;25.7;27.7;;;;
"Наличность, млрд руб";4.62;1.06;0.861;0.551;;;0.600;0.320;;;;
"Чистый долг, млрд руб";13.0;18.3;12.0;6.34;0.00;0.00;25.1;27.4;0.00;0.00;0.00;0.00
"Цена акции ао, руб";;;24.3;29.6;23.5;16.8;16.1;18.4;20.6;14.3;30.3;18.8
"Число акций ао, млн";932.7;932.7;932.7;932.7;932.7;932.7;932.7;932.7;932.7;932.7;932.7;932.7
"Цена акции ап, руб";;;23.3;17.8;14.2;12.3;11.9;13.7;15.2;8.70;15.5;11.3
"Число акций ап, млн";310.9;310.9;310.9;310.9;310.9;310.9;310.9;310.9;310.9;310.9;310.9;310.9
"Капитализация, млрд руб";0.00;0.00;29.9;33.1;26.3;19.5;18.7;21.4;24.0;16.0;33.0;21.0
"EV, млрд руб";13.0;18.3;42.0;39.5;26.3;19.5;43.8;48.8;24.0;16.0;33.0;21.0
"Баланс стоимость, млрд руб";34.7;38.5;45.1;52.2;0.00;0.00;73.0;77.0;0.00;0.00;94.4;99.7
"EPS, руб";5.12;4.11;7.06;7.63;0.00;0.00;7.51;3.75;0.00;0.00;8.58;6.71
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.00;-1.02;3.59;0.00;0.00;-13.8;4.16
"BV/акцию, руб";37.2;41.3;48.4;56.0;0.00;0.00;78.3;82.6;0.00;0.00;101.2;106.9
"Рентаб EBITDA, %";47.3%;50.7%;56.1%;52.5%;;;52.9%;47.4%;;;52.9%;56.6%
"Чистая рентаб, %";22.3%;14.8%;23.2%;26.7%;;;22.7%;12.0%;;;19.4%;13.4%
"Доходность FCF, %";;;0.0%;0.0%;0.0%;0.0%;-6.3%;19.6%;0.0%;0.0%;-45.6%;22.2%
"ROE, %";13.7%;9.9%;14.6%;13.6%;;;9.6%;4.5%;;;8.5%;6.3%
"ROA, %";;;;;;;5.8%;2.8%;;;4.0%;3.3%
P/E;0.00;0.00;4.54;4.66;;;2.67;6.11;;;4.13;3.36
P/FCF;;;;;;;-19.7;6.38;;;-2.57;5.42
P/S;0.00;0.00;1.05;1.24;;;0.61;0.73;;;0.80;0.45
P/BV;0.00;0.00;0.66;0.63;;;0.26;0.28;;;0.35;0.21
EV/EBITDA;1.28;1.40;2.63;2.82;;;2.69;3.53;;;1.51;0.79
Долг/EBITDA;1.28;1.40;0.76;0.45;;;1.54;1.98;;;0.00;0.00
"R&D/CAPEX, %";;;;;;;0.00%;0.00%;;;0.00%;0.00%
"CAPEX/Выручка, %";0%;0%;0%;0%;;;37%;34%;;;59%;43%
