;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;;08.07.2018;08.07.2018;08.07.2018;08.07.2018;08.07.2018;20.03.2019;19.03.2020;12.04.2021;25.03.2022;01.04.2024;01.04.2024;03.04.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";;;;31.0;33.9;42.5;42.5;47.8;63.8;57.4;53.1;87.5;98.1;80.9;81.0;81.5
"Операционная прибыль, млрд руб";;;;;;;4.38;3.58;11.1;4.68;6.19;25.2;36.0;16.2;11.1;9.06
"EBITDA, млрд руб";;;;4.09;11.1;4.44;6.14;6.27;14.0;8.10;9.53;29.3;39.7;20.6;16.8;17.1
"Чистая прибыль, млрд руб";;;;1.54;0.328;4.14;5.60;2.57;7.41;2.28;0.720;21.2;38.5;12.9;12.5;9.38
"Операционный денежный поток, млрд руб";;;;;;;3.13;5.02;11.6;2.55;9.88;25.8;29.3;7.72;9.35;17.4
"CAPEX, млрд руб";;;;;;;6.93;3.57;5.19;3.78;6.29;3.97;5.09;6.52;9.50;9.69
"FCF, млрд руб";;;;;;;-0.376;0.538;5.20;-1.63;3.96;20.2;25.4;2.50;-0.100;8.22
"Див.выплата, млрд руб";;;;;;;0.700;0.940;1.67;0.476;1.63;6.52;11.9;6.00;2.00;2.21
"Дивиденд, руб/акцию";2,2;4,9;3,25;3;2,5;4,5;3;4;7;2;6,85;27,4;50;29;9,5;13,5
"Див доход, ао, %";;;;;;;3.4%;4.5%;6.2%;1.4%;4.4%;7.0%;11.0%;4.6%;2.1%;3.3%
"Дивиденд ап, руб/акцию";2,2;4,9;3,25;3;2,5;4,5;3;4;7;2;6,85;27,4;50;29;9,5;13,5
"Див доход, ап, %";;;;;;;3.5%;4.7%;7.0%;1.3%;4.5%;6.9%;11.3%;4.5%;2.1%;3.0%
"Дивиденды/прибыль, %";;;;0%;0%;0%;12%;37%;23%;21%;226%;31%;31%;47%;16%;24%
"Опер. расходы, млрд руб";;;;;;;6.45;7.14;7.59;8.60;5.77;8.58;12.0;14.0;13.9;12.0
"Себестоимость, млрд руб";;;;23.6;25.6;27.4;31.7;37.0;45.1;44.2;41.1;53.7;50.1;50.8;56.0;57.9
"Амортизация, млрд руб";;;;;;;2.7;2.9;3.4;3.3;3.3;4.1;3.7;4.5;5.7;8.1
"Расх на персонал, млрд руб";;;;;;;5.45;5.45;5.58;5.97;5.71;6.78;6.86;7.93;9.53;10.2
"Процентные расходы, млрд руб";;;;;;;1.25;1.95;1.84;1.76;1.50;1.12;1.31;0.930;1.09;3.30
"Активы, млрд руб";;;;;;;53.0;58.2;62.5;65.5;69.9;91.6;115.5;120.3;160.8;156.1
"Чистые активы, млрд руб";;;;15.7;16.5;19.4;23.4;25.4;30.8;31.7;32.8;47.9;81.1;85.3;94.0;96.7
"Долг, млрд руб";;;;8.26;17.6;21.4;23.9;23.2;23.2;24.5;24.5;18.7;16.3;11.8;41.3;36.3
"Наличность, млрд руб";;;;1.03;2.32;1.98;1.26;1.38;3.87;0.891;3.14;13.8;31.5;23.3;21.8;25.9
"Чистый долг, млрд руб";0.00;0.00;0.00;7.23;15.3;19.4;22.6;21.8;19.3;23.6;21.4;4.88;-15.2;-11.5;19.5;10.4
"Цена акции ао, руб";;;;;;;89.3;89.7;113.6;148.0;156.0;389.0;452.6;632.0;459.0;414.8
"Число акций ао, млн";234.1;234.1;234.1;234.1;234.1;234.1;234.1;234.1;234.1;234.1;234.1;234.1;234.1;176.6;176.6;176.6
"Цена акции ап, руб";;;;;;;85.8;84.9;100.0;150.4;151.8;399.2;443.6;639.0;460.0;448.5
"Число акций ап, млн";3.70;3.70;3.70;3.70;3.70;3.70;3.70;3.70;3.70;3.70;3.70;3.70;3.70;3.70;3.21;3.21
"Free Float, %";;;;;;;;;;;;;;35.0%;;
"Капитализация, млрд руб";0.00;0.00;0.00;0.00;0.00;0.00;21.2;21.3;27.0;35.2;37.1;92.6;107.6;114.0;82.5;74.7
