;2013;2014;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;10.07.2018;10.07.2018;10.07.2018;10.07.2018;30.04.2019;06.05.2020;20.05.2021;29.04.2022;02.05.2024;02.05.2024;30.04.2025;17.04.2026;29.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;28.5;32.4;41.0;44.3;47.2;49.5;50.3;55.4;60.8;67.7;75.0;84.8;79.4
Операционная прибыль, млрд руб;;;0.427;0.261;0.046;0.317;0.260;0.656;1.77;4.51;1.55;5.47;2.19
EBITDA, млрд руб;-0.084;0.729;0.428;0.261;0.046;0.320;0.260;0.656;1.83;4.59;1.67;5.61;2.31
Чистая прибыль, млрд руб;-0.174;0.405;0.156;0.012;-0.176;0.019;-0.500;0.074;1.26;3.87;2.53;5.37;3.28
Операционный денежный поток, млрд руб;;;0.467;-0.961;-0.504;-0.393;1.29;-0.300;1.68;4.42;3.16;3.73;2.97
CAPEX, млрд руб;;;0.118;0.086;0.092;0.097;0.064;0.267;0.200;0.320;0.352;0.494;0.404
FCF, млрд руб;;;0.328;-0.700;-0.551;-0.480;1.22;-0.474;1.72;4.34;2.46;5.99;2.58
Див.выплата, млрд руб;;;;0.244;0.070;;;0.325;0.275;;1.20;1.11;0.840
Дивиденд, руб/акцию;;;;13,6627;4,1432;;;18,19;15,39;;70,511;;50,365
Див доход, ао, %;;;0.0%;9.8%;3.3%;0.0%;0.0%;13.0%;10.2%;0.0%;17.1%;0.0%;5.1%
Дивиденды/прибыль, %;0%;0%;0%;2 033%;0%;0%;0%;439%;22%;0%;48%;21%;26%
Опер. расходы, млрд руб;37.2;38.0;48.6;52.7;54.6;57.5;57.8;57.8;67.8;74.6;82.8;93.7;87.2
Амортизация, млрд руб;;;;;;;;;0.1;0.1;0.1;0.1;0.1
Расх на персонал, млрд руб;;;0.790;0.810;0.870;0.850;0.820;0.780;0.820;0.970;1.52;1.60;1.52
Процентные расходы, млрд руб;;;0.309;0.296;0.322;0.512;0.504;0.524;0.600;0.110;0.000;0.000;0.000
Активы, млрд руб;;;10.00;9.78;10.1;11.1;11.8;10.4;10.5;15.6;18.3;26.1;20.3
Чистые активы, млрд руб;0.834;1.24;0.752;0.800;-0.046;-0.590;-0.914;-63.0;0.240;6.85;7.65;13.1;9.66
Долг, млрд руб;2.89;2.35;2.11;2.50;3.25;4.56;4.19;3.70;2.75;0.000;0.000;0.000;0.000
Наличность, млрд руб;0.175;0.624;0.728;0.331;0.308;0.370;1.19;0.357;0.590;2.23;4.33;9.43;5.82
Чистый долг, млрд руб;2.71;1.73;1.38;2.17;2.94;4.19;3.00;3.34;2.16;-2.23;-4.33;-9.43;-5.82
Цена акции ао, руб;;;155.5;140.0;126.0;132.0;128.5;139.5;151.0;480.0;412.5;783.0;985.0
Число акций ао, млн;17.9;17.9;17.9;17.9;17.9;17.9;17.9;17.9;17.9;17.9;17.9;17.9;17.9
Капитализация, млрд руб;0.00;0.00;2.78;2.50;2.25;2.36;2.30;2.49;2.70;8.58;7.37;14.0;17.6
EV, млрд руб;2.71;1.73;4.16;4.67;5.19;6.55;5.30;5.84;4.86;6.35;3.04;4.56;11.8
