;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";08.07.2018;08.07.2018;08.07.2018;08.07.2018;08.07.2018;21.05.2020;21.05.2020;07.04.2021;07.04.2022;05.04.2023;05.04.2024;08.04.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";10.7;11.4;11.5;12.2;11.1;11.7;12.5;15.2;13.8;15.0;18.4;21.9;23.3
"Операционная прибыль, млрд руб";;;-0.420;0.220;4.71;1.20;1.23;3.77;5.00;2.10;5.14;0.095;-2.89
"EBITDA, млрд руб";-0.966;-0.550;-0.366;0.274;4.80;3.07;3.17;5.70;3.60;3.45;6.94;2.01;-0.842
"Чистая прибыль, млрд руб";-1.77;-1.16;-0.941;-0.383;5.20;0.740;0.380;2.28;3.35;1.27;3.98;-0.819;-3.72
"Операционный денежный поток, млрд руб";;;0.760;0.810;1.76;1.24;1.62;2.65;3.24;1.27;1.31;5.83;4.99
"CAPEX, млрд руб";;;0.750;1.22;1.23;1.33;1.78;1.92;2.11;3.60;4.24;5.31;5.79
"FCF, млрд руб";;;-0.450;-0.950;0.128;-0.420;-0.700;0.025;0.565;-3.02;-3.69;-1.21;-3.00
"Див доход, ао, %";;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Див доход, ап, %";;;;0.0%;0.0%;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0
"Себестоимость, млрд руб";15.3;15.4;16.8;17.2;17.3;19.6;24.4;26.3;30.0;34.8;38.0;46.1;47.8
"Амортизация, млрд руб";;;;;;;;;;1.4;1.8;1.9;2.1
"Расх на персонал, млрд руб";;;6.21;6.43;6.71;6.78;7.58;7.05;7.50;8.43;9.28;9.66;10.0
"Процентные расходы, млрд руб";;;0.680;0.690;0.560;0.500;0.590;0.590;0.580;1.11;0.930;1.53;1.87
"Активы, млрд руб";;;7.33;7.62;15.0;16.8;23.4;23.6;31.6;33.9;41.4;45.9;45.1
"Чистые активы, млрд руб";-3.54;-4.66;-5.65;-6.06;-0.469;4.20;2.41;4.72;8.08;9.40;15.3;14.5;13.4
"Долг, млрд руб";5.25;6.11;6.52;7.25;7.98;10.3;12.9;13.1;14.2;13.5;15.0;17.9;17.4
"Наличность, млрд руб";1.04;1.85;1.83;1.61;2.57;2.84;3.09;3.60;5.29;2.51;2.07;2.53;1.45
"Чистый долг, млрд руб";4.22;4.25;4.69;5.63;5.40;7.43;9.80;9.49;8.95;11.0;12.9;15.4;16.0
"Цена акции ао, руб";;;;0.167;0.126;0.132;0.152;0.202;0.200;0.180;0.606;0.484;0.472
"Число акций ао, млн";"41 852";"41 852";"41 852";"41 852";"41 852";"41 852";"48 747";"48 747";"48 747";"48 747";"58 294";"58 294";"58 294"
"Цена акции ап, руб";;;;0.227;0.319;;0.303;0.356;0.378;0.310;1.22;0.815;0.840
"Число акций ап, млн";183.1;183.1;183.1;183.1;183.1;183.1;183.1;183.1;183.1;183.1;183.1;183.1;183.1
"Капитализация, млрд руб";0.00;0.00;0.00;7.03;5.33;5.52;7.44;9.91;9.79;8.83;35.5;28.4;27.7
"EV, млрд руб";4.22;4.25;4.69;12.7;10.7;13.0;17.2;19.4;18.7;19.9;48.5;43.8;43.7
"Баланс стоимость, млрд руб";-3.54;-4.66;-5.65;-6.06;-0.47;4.20;2.41;4.72;8.08;9.40;15.3;14.4;13.4
"EPS, руб";-0.04;-0.03;-0.02;-0.01;0.12;0.02;0.01;0.05;0.07;0.03;0.07;-0.01;-0.06
"FCF/акцию, руб";0.00;0.00;-0.01;-0.02;0.00;-0.01;-0.01;0.00;0.01;-0.06;-0.06;-0.02;-0.05
"BV/акцию, руб";-0.08;-0.11;-0.14;-0.14;-0.01;0.10;0.05;0.10;0.17;0.19;0.26;0.25;0.23
"Рентаб EBITDA, %";-9.0%;-4.8%;-3.2%;2.2%;43.3%;26.4%;25.3%;37.5%;26.0%;22.9%;37.8%;9.1%;-3.6%
"Чистая рентаб, %";-16.5%;-10.2%;-8.2%;-3.1%;46.9%;6.4%;3.0%;15.0%;24.2%;8.4%;21.7%;-3.7%;-15.9%
"Доходность FCF, %";;;;-13.6%;2.4%;-7.6%;-9.5%;0.3%;5.8%;-34.4%;-10.4%;-4.3%;-10.9%
"ROE, %";49.9%;25.0%;16.6%;6.3%;"-1 107.7%";17.6%;15.8%;48.3%;41.5%;13.5%;26.0%;-5.6%;-27.6%
"ROA, %";;;-12.8%;-5.0%;34.6%;4.4%;1.6%;9.7%;10.6%;3.8%;9.6%;-1.8%;-8.2%
P/E;0.00;0.00;0.00;-18.4;1.03;7.47;19.6;4.35;2.92;6.95;8.93;-34.6;-7.45
P/FCF;;;0.00;-7.40;41.7;-13.2;-10.6;396.5;17.3;-2.92;-9.63;-23.4;-9.21
P/S;0.00;0.00;0.00;0.58;0.48;0.47;0.59;0.65;0.71;0.59;1.93;1.29;1.19
P/BV;0.00;0.00;0.00;-1.16;-11.4;1.32;3.09;2.10;1.21;0.94;2.32;1.96;2.07
EV/EBITDA;-4.37;-7.73;-12.8;46.2;2.24;4.22;5.44;3.40;5.21;5.76;6.99;21.8;-51.9
Долг/EBITDA;-4.37;-7.73;-12.8;20.6;1.13;2.42;3.09;1.66;2.49;3.20;1.86;7.69;-19.0
"Персонал, чел";;;;;;;;;;"3 969";"3 903";"3 896";
"Производительность труда, млн руб/чел/год";;;;;;;;;;3.79;4.71;5.63;
"Расходы/чел/год, тыс.р";;;;;;;;;;"2 124";"2 378";"2 480";
"R&D/CAPEX, %";;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";0%;0%;7%;10%;11%;11%;14%;13%;15%;24%;23%;24%;25%
