;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;08.07.2018;08.07.2018;08.07.2018;08.07.2018;08.07.2018;30.04.2019;28.07.2020;30.04.2021;04.05.2022;02.05.2023;02.05.2024;30.04.2025;30.04.2026;29.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;6.06;6.64;6.93;7.47;7.64;8.00;8.06;7.14;7.54;8.69;10.2;10.6;11.1;10.7
Операционная прибыль, млрд руб;;;;;0.300;0.280;0.222;0.423;0.560;0.470;0.980;0.704;-0.239;0.525
EBITDA, млрд руб;0.304;0.597;0.592;1.45;0.952;0.767;0.774;0.790;0.920;0.970;1.50;1.51;0.775;1.36
Чистая прибыль, млрд руб;-0.740;-0.049;-0.009;0.502;0.191;0.081;0.039;0.321;0.176;0.322;0.470;0.125;-0.277;-0.100
Операционный денежный поток, млрд руб;;;;;1.23;0.690;-0.480;1.15;1.37;1.39;1.22;1.33;1.90;0.857
CAPEX, млрд руб;;;;;0.251;0.230;0.091;0.465;0.512;0.840;0.970;0.800;1.19;0.955
FCF, млрд руб;;;;;0.800;0.238;-0.880;0.211;0.554;0.310;0.160;0.334;0.442;-0.242
Див.выплата, млрд руб;;;;;0.365;0.302;0.473;0.456;0.130;0.250;0.250;0.250;;0.250
Дивиденд, руб/акцию;;;;;2,67;2,2075;2,2578;3,46;0,89206;1,6716;1,38117;1,3023;;1,3023
Див доход, ао, %;;;;0.0%;6.2%;;4.3%;6.8%;1.9%;5.0%;2.5%;3.0%;0.0%;
Дивиденд ап, руб/акцию;;;;;2,67;2,207;3,3898;2,25;1,4427;3,14748;5,6188;6,2897;;6,2897
Див доход, ап, %;;;;0.0%;5.2%;;5.7%;4.5%;3.1%;8.6%;13.0%;12.7%;0.0%;
Дивиденды/прибыль, %;0%;0%;0%;0%;191%;373%;1 212%;142%;74%;78%;53%;200%;0%;-250%
Опер. расходы, млрд руб;6.51;6.74;7.20;7.96;7.34;7.72;7.84;6.72;6.97;8.22;9.21;9.86;11.4;10.2
Амортизация, млрд руб;;;;;;;;;0.4;0.5;0.5;0.8;1.0;0.8
Расх на персонал, млрд руб;;;;;1.32;1.33;1.25;1.28;1.000;1.31;1.74;1.88;2.21;2.03
Процентные расходы, млрд руб;;;;;0.215;0.192;0.116;0.184;0.179;0.152;0.207;0.162;0.283;0.171
Активы, млрд руб;;;;;10.1;10.7;10.1;9.97;9.80;12.7;13.4;14.2;14.7;13.8
Чистые активы, млрд руб;5.42;5.00;4.94;5.42;5.53;5.35;4.85;4.84;4.69;6.02;7.19;7.90;7.88;8.32
Долг, млрд руб;1.43;2.56;2.18;1.96;1.62;1.24;2.36;2.16;1.85;1.64;1.76;1.59;1.87;1.26
Наличность, млрд руб;0.041;0.035;0.034;0.074;0.129;0.023;0.136;0.041;0.108;0.077;0.132;0.039;0.597;0.349
Чистый долг, млрд руб;1.39;2.53;2.14;1.89;1.49;1.22;2.22;2.12;1.74;1.56;1.63;1.55;1.28;0.91
Цена акции ао, руб;;;;51.0;43.0;;52.0;51.0;46.8;33.4;55.2;44.0;43.2;
Число акций ао, млн;122.5;122.5;122.5;122.5;122.5;122.5;122.5;122.5;122.5;122.5;122.5;122.5;122.5;122.5
Цена акции ап, руб;;;;51.0;51.0;;59.0;50.5;47.0;36.8;43.2;49.6;51.2;
Число акций ап, млн;14.4;14.4;14.4;14.4;14.4;14.4;14.4;14.4;14.4;14.4;14.4;14.4;14.4;14.4
Капитализация, млрд руб;0.00;0.00;0.00;6.98;6.00;0.00;7.22;6.97;6.41;4.62;7.38;6.10;6.03;0
EV, млрд руб;1.39;2.53;2.14;8.86;7.49;1.22;9.44;9.09;8.15;6.18;9.01;7.65;7.30;0.91
Баланс стоимость, млрд руб;5.42;5.00;4.94;5.42;5.53;5.35;4.85;4.84;4.69;6.02;7.19;7.88;7.86;8.31
EPS, руб;-6.04;-0.40;-0.07;4.10;1.56;0.66;0.32;2.62;1.44;2.63;3.84;1.02;-2.26;-0.82
FCF/акцию, руб;0.00;0.00;0.00;0.00;6.53;1.94;-7.19;1.72;4.52;2.53;1.31;2.73;3.61;-1.98
BV/акцию, руб;44.3;40.8;40.4;44.2;45.2;43.7;39.6;39.5;38.3;49.2;58.7;64.4;64.2;67.8
Рентаб EBITDA, %;5.0%;9.0%;8.5%;19.4%;12.5%;9.6%;9.6%;11.1%;12.2%;11.2%;14.7%;14.3%;7.0%;12.7%
Чистая рентаб, %;-12.2%;-0.7%;-0.1%;6.7%;2.5%;1.0%;0.5%;4.5%;2.3%;3.7%;4.6%;1.2%;-2.5%;-0.9%
Доходность FCF, %;;;;0.0%;15.2%;;-13.8%;3.4%;9.7%;7.6%;2.4%;6.2%;8.4%;
ROE, %;-13.7%;-1.0%;-0.2%;9.3%;3.5%;1.5%;0.8%;6.6%;3.8%;5.3%;6.5%;1.6%;-3.5%;-1.2%
ROA, %;;;;;1.9%;0.8%;0.4%;3.2%;1.8%;2.5%;3.5%;0.9%;-1.9%;-0.7%
P/E;0.00;0.00;0.00;13.9;31.4;0.00;185.0;21.7;36.4;14.3;15.7;48.8;-21.8;0
P/FCF;;;;;7.50;0.00;-8.20;33.0;11.6;14.9;46.1;18.3;13.6;0
P/S;0.00;0.00;0.00;0.93;0.79;0.00;0.90;0.98;0.85;0.53;0.72;0.58;0.54;0
P/BV;0.00;0.00;0.00;1.29;1.09;0.00;1.49;1.44;1.37;0.77;1.03;0.77;0.77;0
EV/EBITDA;4.56;4.23;3.62;6.10;7.86;1.59;12.2;11.5;8.86;6.37;6.01;5.05;9.42;0.67
Долг/EBITDA;4.56;4.23;3.62;1.30;1.56;1.59;2.87;2.68;1.89;1.61;1.09;1.02;1.65;0.67
Персонал, чел;;;;;;;;;;1 297;1 284;1 211;1 834;
Производительность труда, млн руб/чел/год;;;;;;;;;;6.70;7.94;8.73;6.07;
Расходы/чел/год, тыс.р;;;;;;;;;;1 010;1 355;1 556;1 204;
R&D/CAPEX, %;;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
CAPEX/Выручка, %;0%;0%;0%;0%;3%;3%;1%;7%;7%;10%;10%;8%;11%;9%
