;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;07.07.2018;07.07.2018;07.07.2018;07.07.2018;20.01.2020;05.06.2020;30.04.2021;29.04.2022;02.05.2023;27.04.2024;30.04.2025;29.04.2026;28.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;14.8;15.1;17.0;19.8;20.2;22.2;22.5;24.6;25.3;27.2;30.0;35.0;32.2
Операционная прибыль, млрд руб;;;;0.353;0.314;0.470;0.434;0.519;0.615;0.518;0.945;0.510;0.955
EBITDA, млрд руб;0.326;0.274;0.340;0.454;0.428;0.600;0.550;0.690;0.770;0.680;1.40;0.979;1.41
Чистая прибыль, млрд руб;0.078;0.064;0.029;0.008;0.009;0.062;0.078;0.086;0.097;0.113;0.124;0.084;0.136
Операционный денежный поток, млрд руб;;;;-0.437;-0.115;0.370;0.309;0.513;0.337;0.714;0.496;1.08;0.790
CAPEX, млрд руб;;;;0.060;0.167;0.079;0.044;0.180;0.266;0.360;0.402;0.313;0.402
FCF, млрд руб;;;;-0.481;-0.274;0.290;0.270;0.415;-0.203;0.400;0.261;1.06;0.646
Див доход, ао, %;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
Дивиденды/прибыль, %;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0
Опер. расходы, млрд руб;14.5;14.9;16.7;16.4;20.0;21.9;22.1;24.2;24.9;26.8;29.1;34.1;31.1
Амортизация, млрд руб;;;;;;;;0.2;0.2;0.2;0.5;0.5;0.5
Расх на персонал, млрд руб;;;;0.293;0.325;0.380;0.390;0.553;0.563;0.675;0.731;0.834;0.793
Процентные расходы, млрд руб;;;;0.397;0.386;0.390;0.360;0.446;0.470;0.390;0.590;0.694;0.706
Активы, млрд руб;;;;5.48;6.05;5.93;7.05;6.75;6.59;6.58;7.19;6.79;6.62
Чистые активы, млрд руб;0.936;1.000;1.04;1.04;1.04;1.05;1.07;1.12;1.22;1.27;1.34;1.43;1.39
Долг, млрд руб;1.84;1.41;2.73;3.25;3.68;3.47;4.10;3.56;3.32;3.17;3.82;2.61;3.01
Наличность, млрд руб;0.130;0.194;0.062;0.104;0.074;0.051;0.500;0.320;0.226;0.482;0.579;0.731;0.348
Чистый долг, млрд руб;1.71;1.22;2.66;3.15;3.61;3.42;3.60;3.24;3.09;2.69;3.24;1.88;2.66
Цена акции ао, руб;;;25.9;14.6;24.9;11.8;11.2;10.6;9.17;29.7;21.0;20.4;23.4
Число акций ао, млн;91.5;91.5;91.5;91.5;91.5;91.5;91.5;91.5;91.5;91.5;91.5;91.5;91.5
Капитализация, млрд руб;0.00;0.00;2.37;1.34;2.28;1.08;1.03;0.97;0.84;2.72;1.92;1.86;2.14
EV, млрд руб;1.71;1.22;5.03;4.48;5.88;4.50;4.63;4.21;3.93;5.41;5.16;3.74;4.80
Баланс стоимость, млрд руб;0.94;1.00;1.04;1.04;1.04;1.04;1.06;1.10;1.19;1.24;1.27;1.31;1.31
EPS, руб;0.85;0.70;0.32;0.08;0.10;0.68;0.85;0.94;1.06;1.24;1.36;0.92;1.49
FCF/акцию, руб;0.00;0.00;0.00;-5.26;-2.99;3.17;2.95;4.54;-2.22;4.37;2.85;11.6;7.06
BV/акцию, руб;10.2;10.9;11.3;11.4;11.3;11.4;11.6;12.0;13.0;13.6;13.9;14.3;14.3
Рентаб EBITDA, %;2.2%;1.8%;2.0%;2.3%;2.1%;2.7%;2.4%;2.8%;3.0%;2.5%;4.7%;2.8%;4.4%
Чистая рентаб, %;0.5%;0.4%;0.2%;0.0%;0.0%;0.3%;0.3%;0.3%;0.4%;0.4%;0.4%;0.2%;0.4%
Доходность FCF, %;;;0.0%;-36.0%;-12.0%;26.9%;26.3%;42.8%;-24.2%;14.7%;13.6%;56.9%;30.2%
ROE, %;8.3%;6.4%;2.8%;0.7%;0.9%;5.9%;7.3%;7.7%;8.0%;8.9%;9.3%;5.9%;9.8%
ROA, %;;;;0.1%;0.1%;1.0%;1.1%;1.3%;1.5%;1.7%;1.7%;1.2%;2.1%
P/E;0.00;0.00;81.7;178.1;253.1;17.4;13.2;11.3;8.65;24.0;15.5;22.2;15.7
P/FCF;;;;-2.78;-8.31;3.71;3.81;2.34;-4.13;6.79;7.37;1.76;3.31
P/S;0.00;0.00;0.14;0.07;0.11;0.05;0.05;0.04;0.03;0.10;0.06;0.05;0.07
P/BV;0.00;0.00;2.28;1.28;2.20;1.03;0.97;0.88;0.70;2.19;1.51;1.42;1.64
EV/EBITDA;5.24;4.43;14.8;9.87;13.7;7.49;8.41;6.10;5.11;7.95;3.69;3.82;3.40
Долг/EBITDA;5.24;4.43;7.84;6.93;8.42;5.70;6.55;4.70;4.02;3.95;2.32;1.92;1.89
Персонал, чел;;;;;;;431;447;455;460;439;469;
Производительность труда, млн руб/чел/год;;;;;;;52.1;55.0;55.7;59.2;68.2;74.7;
Расходы/чел/год, тыс.р;;;;;;;904.9;1 237;1 237;1 467;1 665;1 778;
R&D/CAPEX, %;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
CAPEX/Выручка, %;0%;0%;0%;0%;1%;0%;0%;1%;1%;1%;1%;1%;1%
