;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Дата отчета;;;;;26.04.2021;26.04.2021;;12.05.2024;27.04.2024;28.04.2025;24.04.2026
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;;;;;1.38;1.99;;2.34;2.12;3.96;10.2
Операционная прибыль, млрд руб;;;;;;;;-1.35;-0.012;0.541;0.896
EBITDA, млрд руб;;;;;;;;-1.14;0.214;0.831;1.32
Чистая прибыль, млрд руб;;;;;0.073;0.225;;-1.17;-0.004;0.623;0.870
Операционный денежный поток, млрд руб;;;;;;;;;0.022;0.820;1.70
CAPEX, млрд руб;;;;;0.400;0.260;;;0.707;2.50;1.94
FCF, млрд руб;;;;;;;;;-0.532;-1.04;-0.559
Див.выплата, млрд руб;;;;0.000;;;;;;;
Дивиденд, руб/акцию;;;;0;;;;;;;
Див доход, ао, %;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
Дивиденды/прибыль, %;;;;;0%;0%;;0%;0%;0%;0%
Опер. расходы, млрд руб;;;;;0.670;0.290;;;;;
Себестоимость, млрд руб;;;;;;;;2.09;1.14;1.89;5.98
Амортизация, млрд руб;;;;;;;;0.2;0.2;0.2;0.4
Расх на персонал, млрд руб;;;;;0.400;0.400;;0.698;0.788;1.18;2.76
Процентные расходы, млрд руб;;;;;;;;;0.107;0.003;0.008
Активы, млрд руб;;;;;4.16;5.07;;6.45;4.67;7.44;8.60
Чистые активы, млрд руб;;;;;3.93;4.16;;3.00;4.22;4.87;5.76
Долг, млрд руб;;;;;0.000;0.630;;2.76;0.000;0.546;0.626
Наличность, млрд руб;;;;;0.990;0.920;;1.36;0.985;0.847;0.336
Чистый долг, млрд руб;0.00;0.00;0.00;0.00;-0.99;-0.29;0.00;1.40;-0.99;-0.30;0.29
Цена акции ао, руб;;410.0;366.0;350.0;529.5;628.0;1 039;945.0;1 546;1 104;1 194
Число акций ао, млн;;3.76;3.76;3.76;3.76;3.76;3.76;3.76;3.76;3.76;3.76
Капитализация, млрд руб;0.00;1.54;1.38;1.32;1.99;2.36;3.91;3.55;5.81;4.16;4.49
EV, млрд руб;0.00;1.54;1.38;1.32;1.00;2.07;3.91;4.95;4.83;3.86;4.78
Баланс стоимость, млрд руб;0.00;0.00;0.00;0.00;3.92;4.15;0.00;3.00;4.17;4.81;5.64
EPS, руб;;0.00;0.00;0.00;19.4;59.8;0.00;-312.0;-0.96;165.5;231.1
FCF/акцию, руб;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-141.5;-275.7;-148.5
BV/акцию, руб;;0.00;0.00;0.00;1 042;1 103;0.00;797.9;1 108;1 278;1 497
Рентаб EBITDA, %;;;;;0.0%;0.0%;;-48.5%;10.1%;21.0%;12.9%
Чистая рентаб, %;;;;;5.3%;11.3%;;-50.1%;-0.2%;15.7%;8.5%
Доходность FCF, %;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;-9.2%;-25.0%;-12.4%
ROE, %;;;;;1.9%;5.4%;;-39.1%;-0.1%;12.8%;15.1%
ROA, %;;;;;1.8%;4.4%;;-18.2%;-0.1%;8.4%;10.1%
P/E;;;;;27.3;10.5;;-3.03;-1 615;6.67;5.17
P/FCF;;;;;;;;;-10.9;-4.00;-8.04
P/S;;;;;1.44;1.19;;1.52;2.75;1.05;0.44
P/BV;;;;;0.51;0.57;;1.18;1.40;0.86;0.80
EV/EBITDA;;;;;;;;-4.36;22.6;4.64;3.63
Долг/EBITDA;;;;;;;;-1.23;-4.60;-0.36;0.22
R&D/CAPEX, %;;;;;0.00%;0.00%;;;0.00%;0.00%;0.00%
CAPEX/Выручка, %;;;;;29%;13%;;0%;33%;63%;19%
