;2019;2020;2021;2022;2023;2024;2025
Дата отчета;;12.04.2022;11.04.2022;10.04.2024;10.04.2024;22.04.2025;10.04.2026
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;;12.9;15.2;11.2;7.86;13.8;13.2
Операционная прибыль, млрд руб;;1.67;3.56;-3.40;-4.93;-3.14;-3.98
EBITDA, млрд руб;;2.58;5.00;;-4.90;-3.02;-3.94
Чистая прибыль, млрд руб;;2.87;4.36;-0.410;-0.800;3.33;-1.47
Операционный денежный поток, млрд руб;;6.90;1.52;1.53;1.41;0.616;-23.5
CAPEX, млрд руб;;0.109;0.482;0.700;0.780;0.412;0.401
FCF, млрд руб;;6.32;0.436;;-0.060;0.000;-0.018
Див.выплата, млрд руб;;;;0.000;0.000;;
Дивиденд, руб/акцию;;;;1;1;;
Див доход, ао, %;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
Дивиденды/прибыль, %;;0%;0%;0%;0%;0%;0%
Опер. расходы, млрд руб;;4.78;4.58;6.70;3.10;5.39;5.21
Себестоимость, млрд руб;;6.49;7.08;9.50;8.80;10.4;11.4
Амортизация, млрд руб;;;;;0.0;0.1;0.0
Расх на персонал, млрд руб;;0.350;0.425;;;;0.793
Процентные расходы, млрд руб;;0.101;0.108;;0.074;0.054;0.000
Активы, млрд руб;43.9;47.5;50.8;53.1;58.2;65.3;55.4
Чистые активы, млрд руб;39.4;42.3;46.7;46.3;45.5;48.9;47.4
Наличность, млрд руб;;;;;;0.001;0.001
Чистый долг, млрд руб;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Цена акции ао, руб;42 400;54 200;50 600;37 400;53 800;36 600;314.1
Число акций ао, млн;0.250;0.250;0.250;0.250;0.250;0.250;25.0
Капитализация, млрд руб;10.6;13.6;12.7;9.35;13.5;9.15;7.86
EV, млрд руб;10.6;13.6;12.7;9.35;13.5;9.15;7.86
Баланс стоимость, млрд руб;39.4;42.3;46.7;46.3;45.5;48.9;47.4
EPS, руб;0.00;11 454;17 443;-1 639;-3 198;13 325;-58.7
FCF/акцию, руб;0.00;25 247;1 743;0.00;-239.9;0.00;-0.72
BV/акцию, руб;157 649;169 091;186 798;185 107;181 908;195 581;1 896
Рентаб EBITDA, %;;19.9%;32.9%;0.0%;-62.3%;-21.9%;-29.8%
Чистая рентаб, %;;22.1%;28.7%;-3.7%;-10.2%;24.2%;-11.1%
Доходность FCF, %;0.0%;46.6%;3.4%;0.0%;-0.4%;0.0%;-0.2%
ROE, %;0.0%;6.8%;9.3%;-0.9%;-1.8%;6.8%;-3.1%
ROA, %;0.0%;6.0%;8.6%;-0.8%;-1.4%;5.1%;-2.7%
P/E;;4.73;2.90;-22.8;-16.8;2.75;-5.35
P/FCF;;2.15;29.0;;-224.3;;-436.5
P/S;;1.05;0.83;0.84;1.71;0.66;0.59
P/BV;0.27;0.32;0.27;0.20;0.30;0.19;0.17
EV/EBITDA;;5.26;2.53;;-2.75;-3.03;-1.99
Долг/EBITDA;;0.00;0.00;;0.00;0.00;0.00
R&D/CAPEX, %;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
CAPEX/Выручка, %;;1%;3%;6%;10%;3%;3%
Долг , млрд руб, 0.000;;;;;;;
Долг , млрд руб;;;;;;;0.000
