;2020;2021;2022;2023;2024;LTM
"Дата отчета";26.04.2022;26.04.2022;06.05.2023;16.04.2024;11.03.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";31.1;33.6;36.2;39.4;43.1;46.3
"Операционная прибыль, млрд руб";1.07;1.51;1.54;2.02;2.60;3.43
"EBITDA, млрд руб";2.09;1.64;1.79;2.13;2.77;3.63
"Чистая прибыль, млрд руб";0.858;1.27;1.29;1.77;2.54;3.28
"Операционный денежный поток, млрд руб";1.40;1.32;1.76;1.62;1.50;2.77
"CAPEX, млрд руб";0.103;0.458;0.827;0.520;0.373;0.430
"FCF, млрд руб";1.35;0.948;1.17;1.36;1.64;3.09
"Див.выплата, млрд руб";0.495;0.648;0.864;1.02;1.72;1.72
"Дивиденд, руб/акцию";0,647;0,84663;1,13;1,33138;2,2546;2,2546
"Див доход, ао, %";8.1%;9.8%;13.0%;8.1%;14.6%;9.1%
"Дивиденд ап, руб/акцию";0,647;0,84663;1,13;1,33138;2,2546;2,2546
"Див доход, ап, %";7.8%;9.5%;13.0%;8.1%;14.8%;8.9%
"Дивиденды/прибыль, %";58%;51%;67%;57%;68%;53%
"Опер. расходы, млрд руб";30.1;32.1;34.6;36.9;40.0;42.5
"Амортизация, млрд руб";0.1;0.1;0.1;0.1;0.2;0.2
"Расх на персонал, млрд руб";1.16;1.20;1.29;1.35;1.45;1.54
"Активы, млрд руб";5.32;6.21;7.92;9.00;10.5;9.22
"Чистые активы, млрд руб";1.65;2.50;3.14;4.05;5.59;5.33
"Долг, млрд руб";0.000;0.000;0.000;0.000;0.000;0.000
"Наличность, млрд руб";1.54;2.00;2.52;3.02;3.64;2.82
"Чистый долг, млрд руб";-1.54;-2.00;-2.52;-3.02;-3.64;-2.82
"Цена акции ао, руб";8.00;8.62;8.69;16.5;15.4;24.8
"Число акций ао, млн";596.0;596.0;596.0;596.0;596.0;596.0
"Цена акции ап, руб";8.26;8.90;8.72;16.4;15.2;25.4
"Число акций ап, млн";169.0;169.0;169.0;169.0;169.0;169.0
"Free Float, %";;;8.72%;;;
"Капитализация, млрд руб";6.16;6.64;6.65;12.6;11.7;19.1
"EV, млрд руб";4.62;4.64;4.13;9.59;8.11;16.3
"Баланс стоимость, млрд руб";1.65;2.50;3.14;4.05;5.59;5.33
"EPS, руб";1.44;2.12;2.16;2.98;4.25;5.51
"FCF/акцию, руб";2.26;1.59;1.97;2.28;2.75;5.18
"BV/акцию, руб";2.77;4.19;5.27;6.79;9.38;8.94
"Рентаб EBITDA, %";6.7%;4.9%;5.0%;5.4%;6.4%;7.8%
"Чистая рентаб, %";2.8%;3.8%;3.6%;4.5%;5.9%;7.1%
"Доходность FCF, %";28.3%;18.5%;22.6%;13.8%;17.9%;20.9%
"ROE, %";52.0%;50.6%;41.1%;43.8%;45.3%;61.6%
"ROA, %";16.1%;20.4%;16.3%;19.7%;24.2%;35.6%
P/E;7.18;5.25;5.16;7.11;4.63;5.81
P/FCF;4.57;7.01;5.67;9.27;7.16;6.18
P/S;0.20;0.20;0.18;0.32;0.27;0.41
P/BV;3.74;2.66;2.12;3.11;2.10;3.58
EV/EBITDA;2.22;2.83;2.31;4.50;2.93;4.48
Долг/EBITDA;-0.74;-1.22;-1.41;-1.42;-1.31;-0.78
"Персонал, чел";"1 251";"1 140";"1 083";"1 067";"1 090";
"Производительность труда, млн руб/чел/год";24.9;29.5;33.4;36.9;39.5;
"Расходы/чел/год, тыс.р";927.3;"1 055";"1 191";"1 261";"1 329";
"R&D/CAPEX, %";0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";0%;1%;2%;1%;1%;1%
