;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;;;;;;;30.06.2018;;02.04.2020;30.06.2018;03.05.2018;29.03.2019;06.04.2020;31.03.2021;;;25.03.2024;31.03.2025;27.03.2026;27.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;;;;33.6;36.7;45.5;46.2;54.6;68.7;75.5;72.1;79.1;72.6;62.9;;;99.6;104.9;100.0;109.9
Операционная прибыль, млрд руб;;;;;;;;;;;18.9;22.9;15.6;10.1;;;19.9;13.5;9.31;14.7
EBITDA, млрд руб;;;;;;10.4;8.51;12.7;26.8;26.6;22.1;26.2;19.0;13.5;;;31.4;25.9;23.5;27.7
Чистая прибыль, млрд руб;;;;1.000;0.390;3.27;2.12;6.13;18.6;17.9;15.1;20.2;11.9;8.40;;;15.9;10.6;7.30;11.2
Операционный денежный поток, млрд руб;;;;;;;;;;;24.7;20.1;14.6;13.1;;;18.2;21.9;29.7;21.0
CAPEX, млрд руб;;;;;;1.06;1.07;4.02;4.00;5.19;7.00;10.4;10.9;6.07;;;20.6;22.1;41.1;41.9
FCF, млрд руб;;;;;;;;;;;18.5;10.2;4.22;7.17;;;3.72;-0.429;-15.9;-16.6
Див.выплата, млрд руб;0.780;0.000;0.000;0.342;0.137;0.985;0.640;1.80;5.80;9.08;7.62;13.9;8.15;2.58;17.4;16.3;11.1;7.44;;7.44
Дивиденд, руб/акцию;0,4207;0;0;0,1752;0,06;0,5353;0,3458;1,0105;3,2261;5,0726;4,253;7,792;4,5468;3,36;9,719;9,1;6,22;4,15;;4,15
Див доход, ао, %;;;;;1.5%;10.0%;4.9%;7.2%;9.7%;11.8%;5.3%;7.7%;4.3%;4.1%;10.1%;10.9%;5.9%;5.2%;0.0%;5.9%
Дивиденд ап, руб/акцию;0,25;0;0;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,5;0,25;0,25;0,25;;0,25
Див доход, ап, %;;;;;6.1%;9.2%;7.8%;8.4%;5.4%;6.0%;2.9%;2.8%;2.8%;2.2%;1.9%;1.3%;0.9%;1.2%;0.0%;1.4%
Дивиденды/прибыль, %;;;;34%;35%;30%;30%;29%;31%;51%;51%;69%;69%;31%;;;70%;70%;0;66%
Опер. расходы, млрд руб;;;;;;;;;;;7.82;7.80;6.82;6.13;;;;;90.6;
Себестоимость, млрд руб;;;;;;35.8;36.8;39.2;40.4;43.2;45.4;48.4;50.1;46.7;;;79.7;91.4;;95.2
Амортизация, млрд руб;;;;;;;;;;;3.2;3.2;3.4;3.4;;;10.4;11.3;11.7;11.3
Расх на персонал, млрд руб;;;;;;;;;5.88;5.97;6.14;6.50;7.56;8.67;;;9.64;11.0;11.2;11.0
Процентные расходы, млрд руб;;;;;;2.42;1.88;1.70;1.27;0.713;0.261;0.000;0.000;0.000;;;;;;
Активы, млрд руб;;;;;;;;;58.0;63.1;65.8;76.2;72.7;75.0;;;167.2;182.3;215.1;219.6
Чистые активы, млрд руб;;;;;;;14.4;19.8;36.7;48.9;54.9;67.4;65.3;65.5;;;144.1;140.8;143.8;141.0
Долг, млрд руб;;;;;;25.2;21.0;21.8;14.2;5.88;0.000;0.000;0.000;0.000;;;2.10;11.0;34.1;35.0
Наличность, млрд руб;;;;;;1.60;1.40;4.14;2.30;2.72;10.3;6.96;8.06;7.70;;;2.00;0.644;0.655;9.66
Чистый долг, млрд руб;0.00;0.00;0.00;0.00;0.00;23.6;19.6;17.6;11.9;3.16;-10.3;-6.96;-8.06;-7.70;0.00;0.00;0.10;10.4;33.4;25.3
Цена акции ао, руб;;;;;4.10;5.33;7.00;14.1;33.4;43.1;79.5;101.8;105.0;81.2;96.6;83.3;106.3;79.5;64.3;70.1
Число акций ао, млн;1 785;1 785;1 785;1 785;1 785;1 785;1 785;1 785;1 785;1 785;1 785;1 785;1 785;1 785;1 785;1 785;1 785;1 785;1 785;1 785
Цена акции ап, руб;;;;;4.10;2.72;3.20;2.96;4.61;4.18;8.68;8.90;9.06;11.5;26.2;19.8;26.5;20.4;16.0;17.6
Число акций ап, млн;119.6;119.6;119.6;119.6;119.6;119.6;119.6;119.6;119.6;119.6;119.6;119.6;119.6;119.6;119.6;119.6;119.6;119.6;119.6;119.6
Капитализация, млрд руб;0.00;0.00;0.00;0.00;7.81;9.84;12.9;25.5;60.2;77.4;143.0;182.8;188.5;146.3;175.6;151.1;192.9;144.4;116.7;127.2
EV, млрд руб;0.00;0.00;0.00;0.00;7.81;33.5;32.5;43.1;72.1;80.6;132.6;175.8;180.5;138.6;175.6;151.1;193.0;154.7;150.1;152.6
