;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;21.10.2024;21.10.2024;21.10.2024;21.10.2024;21.10.2024;30.04.2025;29.04.2026;29.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;0.998;0.970;1.17;2.60;2.57;2.75;2.78;2.71
Операционная прибыль, млрд руб;;;0.038;0.194;0.394;0.359;0.237;0.356
EBITDA, млрд руб;;;0.085;0.201;0.465;0.427;0.300;0.418
Чистая прибыль, млрд руб;0.013;0.013;0.265;0.082;0.301;0.269;0.207;0.282
Операционный денежный поток, млрд руб;;;0.015;0.628;0.293;0.098;0.075;0.177
CAPEX, млрд руб;;;;;0.180;0.051;0.210;0.128
FCF, млрд руб;;;;;0.125;-0.084;-0.143;-0.143
Див.выплата, млрд руб;;;;;;0.072;;
Дивиденд, руб/акцию;;;;;;3,5;;
Див доход, ао, %;;;;;;0.9%;0.0%;0.0%
Дивиденд ап, руб/акцию;;;;;;0,1;;
Дивиденды/прибыль, %;0%;0%;0%;0%;0%;27%;0%;0
Опер. расходы, млрд руб;;;;;0.283;0.391;0.421;0.404
Себестоимость, млрд руб;;;;;1.87;1.92;2.11;1.90
Амортизация, млрд руб;;;;;0.1;0.1;0.1;0.1
Расх на персонал, млрд руб;;;;;0.277;0.481;0.414;0.533
Процентные расходы, млрд руб;;;;;0.025;0.046;0.035;0.053
Активы, млрд руб;;;;;1.91;2.28;2.58;2.47
Чистые активы, млрд руб;;0.686;0.859;0.929;1.24;1.69;1.82;1.83
Долг, млрд руб;0.540;0.507;0.491;0.259;0.260;0.108;0.301;0.147
Наличность, млрд руб;;0.003;0.009;0.121;0.256;0.503;0.386;0.433
Чистый долг, млрд руб;0.54;0.50;0.48;0.14;0.00;-0.40;-0.09;-0.29
Цена акции ао, руб;;;;;;408.0;442.5;451.5
Число акций ао, млн;;;;;20.8;20.8;20.8;20.8
Число акций ап, млн;;;;;0.100;0.100;0.100;0.100
Капитализация, млрд руб;0.00;0.00;0.00;0.00;0.00;8.47;9.18;9.37
EV, млрд руб;0.54;0.50;0.48;0.14;0.00;8.07;9.10;9.08
Баланс стоимость, млрд руб;0.00;0.69;0.86;0.93;1.22;1.66;1.80;1.80
EPS, руб;;;;;14.5;13.0;9.97;13.6
FCF/акцию, руб;;;;;6.02;-4.05;-6.89;-6.89
BV/акцию, руб;;;;;58.7;80.2;86.7;86.9
Рентаб EBITDA, %;0.0%;0.0%;7.3%;7.7%;18.1%;15.5%;10.8%;15.4%
Чистая рентаб, %;1.3%;1.3%;22.7%;3.2%;11.7%;9.8%;7.5%;10.4%
Доходность FCF, %;;;;;;-1.0%;-1.6%;-1.5%
ROE, %;;1.9%;30.8%;8.8%;24.3%;15.9%;11.4%;15.5%
ROA, %;;;;;15.8%;11.8%;8.0%;11.4%
P/E;0.00;0.00;0.00;0.00;0.00;31.5;44.4;33.2
P/FCF;;;;;0.00;-100.8;-64.2;-65.5
P/S;0.00;0.00;0.00;0.00;0.00;3.08;3.31;3.46
P/BV;;0.00;0.00;0.00;0.00;5.09;5.10;5.20
EV/EBITDA;;;5.67;0.69;0.01;18.9;30.3;21.7
Долг/EBITDA;;;5.67;0.69;0.01;-0.93;-0.28;-0.68
Персонал, чел;;;;;235;259;255;263
Производительность труда, млн руб/чел/год;;;;;10.9;10.6;10.9;10.3
Расходы/чел/год, тыс.р;;;;;1 179;1 857;1 624;2 027
R&D/CAPEX, %;;;;;0.00%;0.00%;0.00%;0
CAPEX/Выручка, %;0%;0%;0%;0%;7%;2%;8%;5%
