;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;;08.07.2018;08.07.2018;29.01.2020;29.06.2018;08.07.2018;25.04.2019;14.05.2020;30.04.2021;28.04.2022;26.04.2023;23.04.2024;17.03.2025;17.03.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";;;;9.22;9.37;12.1;14.5;11.2;11.8;13.7;0.068;0.090;0.320;0.150;0.294;0.294
"Операционная прибыль, млрд руб";;;;;;;;;;;;0.037;0.300;0.135;0.097;0.097
"EBITDA, млрд руб";;;;2.52;2.64;4.76;5.87;1.25;2.64;4.43;7.00;;;;;
"Чистая прибыль, млрд руб";;;;1.18;2.81;1.78;2.34;-0.916;2.16;1.000;6.40;0.012;0.660;0.108;0.048;0.048
"Чистая прибыль н/с, млрд руб";;;;;;3.57;1.57;;;;;;;;;
"Операционный денежный поток, млрд руб";;;;;;;;;;;;0.182;0.300;0.125;0.077;
"CAPEX, млрд руб";;;;;;0.273;1.26;;;;;0.000;0.000;0.000;0.000;
"FCF, млрд руб";;;;;;;;;;;;0.182;0.300;0.140;0.077;
"Див.выплата, млрд руб";;;;;;;0.012;0.003;0.038;0.005;18.6;0.002;3.91;0.007;1.31;1.31
"Дивиденд, руб/акцию";340,41;1684,19;1158,17;1764,11;;;;;0;0;15219,5;0;3508;;1184;1184
"Див доход, ао, %";;;;;;0.0%;0.0%;0.0%;0.0%;0.0%;82.6%;0.0%;26.3%;0.0%;7.8%;17.2%
"Дивиденд ап, руб/акцию";101,65;283,26;439,12;4,78;18,92;690,15;34,18;8,71;110;13,87;3699,27;5,29;131;21,42;9,55;9,55
"Див доход, ап, %";;;;;;22.6%;0.8%;0.2%;4.5%;0.4%;94.2%;0.3%;8.7%;0.9%;0.6%;1.1%
"Дивиденды/прибыль, %";;;;0%;0%;0%;1%;0%;2%;1%;291%;15%;593%;7%;"2 725%";"2 725%"
"Себестоимость, млрд руб";;;;6.52;6.24;6.69;7.22;7.45;8.13;8.96;0.068;0.053;0.017;0.018;0.197;0.197
"Расх на персонал, млрд руб";;;;;;0.979;1.21;;;;;;;;;
"Активы, млрд руб";;;;;;16.7;18.1;18.3;20.7;22.3;23.4;5.04;1.69;1.77;0.527;0.527
"Чистые активы, млрд руб";;;;6.86;9.69;13.3;14.7;13.6;15.8;16.8;23.3;4.65;1.31;1.37;0.317;0.317
"Долг, млрд руб";;;;0.000;0.000;0.000;0.000;0.630;0.550;0.500;0.099;0.099;0.099;0.099;0.099;0.099
"Наличность, млрд руб";;;;1.93;1.69;10.5;10.9;9.79;11.9;12.4;23.0;4.81;1.63;1.73;0.514;0.514
"Чистый долг, млрд руб";0.00;0.00;0.00;-1.93;-1.69;-10.5;-10.9;-9.16;-11.3;-11.9;-22.9;-4.71;-1.53;-1.63;-0.42;-0.42
"Цена акции ао, руб";;;;;;"7 310";"8 640";"7 300";"5 620";"6 800";"18 420";"9 200";"13 320";"15 800";"15 230";"6 890"
"Число акций ао, млн";1.14;1.14;1.14;1.14;1.14;1.14;1.14;1.14;1.14;1.14;1.14;1.14;1.10;1.10;1.14;1.14
"Цена акции ап, руб";;;;;;"3 055";"4 420";"3 500";"2 450";"3 165";"3 925";"1 640";"1 500";"2 480";"1 710";866.0
"Число акций ап, млн";0.348;0.348;0.348;0.348;0.348;0.348;0.348;0.348;0.348;0.348;0.348;0.348;0.348;0.348;0.348;0.348
