;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;28.04.2020;28.04.2020;04.05.2022;04.05.2022;26.04.2024;26.04.2024;31.03.2025;30.03.2026;28.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;23.4;13.8;11.0;11.3;12.2;13.0;13.6;14.7;14.4
Операционная прибыль, млрд руб;0.176;-0.411;0.107;0.636;0.910;1.44;0.270;1.49;0.714
EBITDA, млрд руб;0.327;-0.064;0.640;0.710;0.945;1.48;0.307;1.53;0.749
Чистая прибыль, млрд руб;0.189;-0.305;0.091;0.552;0.780;1.42;0.444;1.45;0.690
Операционный денежный поток, млрд руб;-0.113;-0.305;0.390;0.270;0.965;0.920;0.823;1.03;0.652
CAPEX, млрд руб;0.014;0.026;0.019;0.030;0.100;0.170;0.171;0.068;0.088
FCF, млрд руб;-0.100;-0.287;0.400;0.293;1.02;0.980;0.903;1.18;0.717
Див.выплата, млрд руб;;;;;;;2.49;0.086;0.000
Дивиденд, руб/акцию;;;;;;;16;0.55;0
Див доход, ао, %;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;25.3%;0.8%;0.0%
Дивиденды/прибыль, %;0%;0%;0%;0%;0%;0%;560%;6%;0
Опер. расходы, млрд руб;23.2;14.2;10.8;10.6;11.3;11.7;13.5;13.5;13.9
Амортизация, млрд руб;;;;;0.0;0.0;0.0;0.0;0.0
Расх на персонал, млрд руб;;;;;;0.342;0.487;0.566;0.528
Активы, млрд руб;3.28;2.15;2.47;2.87;3.93;4.11;2.21;3.77;2.33
Чистые активы, млрд руб;1.20;1.02;1.11;1.67;2.45;3.01;0.968;2.42;1.42
Наличность, млрд руб;0.494;0.651;1.05;1.35;2.37;2.51;0.932;2.11;1.04
Чистый долг, млрд руб;-0.49;-0.65;-1.05;-1.35;-2.37;-2.51;-0.93;-2.11;-1.04
Цена акции ао, руб;3.75;6.75;8.20;9.15;10.3;28.5;63.2;66.1;74.8
Число акций ао, млн;155.5;155.5;155.5;155.5;155.5;155.5;155.5;155.5;155.5
Капитализация, млрд руб;0.58;1.05;1.28;1.42;1.60;4.42;9.82;10.3;11.6
EV, млрд руб;0.09;0.40;0.23;0.07;-0.77;1.91;8.89;8.16;10.6
Баланс стоимость, млрд руб;1.06;0.93;1.02;1.60;2.38;2.95;0.92;2.36;1.38
EPS, руб;1.22;-1.96;0.59;3.55;5.02;9.13;2.85;9.34;4.44
FCF/акцию, руб;-0.64;-1.85;2.57;1.88;6.56;6.30;5.81;7.61;4.61
BV/акцию, руб;6.82;5.95;6.56;10.3;15.3;19.0;5.92;15.2;8.87
Рентаб EBITDA, %;1.4%;-0.5%;5.8%;6.3%;7.8%;11.4%;2.3%;10.4%;5.2%
Чистая рентаб, %;0.8%;-2.2%;0.8%;4.9%;6.4%;10.9%;3.3%;9.9%;4.8%
Доходность FCF, %;-17.1%;-27.3%;31.4%;20.6%;63.7%;22.1%;9.2%;11.5%;6.2%
ROE, %;15.7%;-29.8%;8.2%;33.1%;31.8%;47.2%;45.9%;60.0%;48.5%
ROA, %;5.8%;-14.2%;3.7%;19.2%;19.8%;34.5%;20.1%;38.6%;29.6%
P/E;3.09;-3.44;14.0;2.58;2.05;3.12;22.1;7.07;16.8
P/FCF;-5.83;-3.66;3.19;4.86;1.57;4.51;10.9;8.68;16.2
P/S;0.02;0.08;0.12;0.13;0.13;0.34;0.72;0.70;0.81
P/BV;0.55;1.13;1.25;0.89;0.67;1.50;10.7;4.35;8.43
EV/EBITDA;0.27;-6.23;0.35;0.10;-0.81;1.29;29.0;5.34;14.1
Долг/EBITDA;-1.51;10.2;-1.64;-1.90;-2.51;-1.69;-3.04;-1.38;-1.39
R&D/CAPEX, %;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
CAPEX/Выручка, %;0%;0%;0%;0%;1%;1%;1%;0%;1%
Процентные расходы , млрд руб;;;;;;;;0.002;
Долг , млрд руб;;;;;;;;0.000;
