;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;04.07.2018;04.07.2018;04.07.2018;04.07.2018;04.07.2018;28.04.2020;28.04.2020;29.04.2021;05.05.2022;11.05.2023;06.05.2024;15.05.2025;05.05.2026;15.05.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;0.365;0.422;0.502;0.519;0.580;0.683;0.768;1.02;1.42;1.25;1.31;1.17;1.19;1.17
Операционная прибыль, млрд руб;;;;0.076;0.066;0.084;0.106;0.153;0.199;0.526;0.165;0.185;0.124;0.185
EBITDA, млрд руб;0.187;0.201;0.218;;;;;;;;;;0.184;
Чистая прибыль, млрд руб;0.066;0.042;0.045;0.038;0.041;0.035;0.042;0.104;0.028;0.078;-0.378;-0.017;0.037;-0.017
Операционный денежный поток, млрд руб;;;;-0.013;-0.029;-0.020;-0.520;0.079;-0.344;0.273;0.190;0.056;0.024;0.056
CAPEX, млрд руб;;;;0.000;0.000;0.000;0.000;0.000;0.013;0.039;0.073;0.086;0.081;0.086
FCF, млрд руб;;;;-0.013;-0.029;-0.020;-0.520;0.079;-0.357;0.234;0.118;-0.024;-0.053;-0.024
Див.выплата, млрд руб;;;;;0.002;0.002;0.002;0.016;0.013;0.040;0.064;;0.010;
Дивиденд, руб/акцию;;;;;0,04155;0,04155;0,045;0,3;0,24462;0,756;1,2165;;0.189;
Див доход, ао, %;;;;0.0%;0.5%;0.4%;0.7%;3.7%;1.5%;5.6%;3.2%;0.0%;0.8%;0.0%
Дивиденды/прибыль, %;0%;0%;0%;0%;5%;6%;6%;15%;46%;51%;0%;0%;27%;0
Опер. расходы, млрд руб;0.178;0.222;0.285;0.145;0.178;0.219;0.237;0.283;0.416;0.395;0.350;0.321;0.447;0.321
Себестоимость, млрд руб;;;;0.298;0.335;0.379;0.425;0.580;0.807;0.720;0.790;0.662;0.617;0.662
Расх на персонал, млрд руб;;;;;;;;;;0.103;0.119;;0.193;
Процентные расходы, млрд руб;;;;0.010;0.010;0.023;0.028;0.033;0.029;0.038;0.011;0.043;0.036;
Активы, млрд руб;;;;1.08;1.19;1.43;1.56;1.75;2.01;1.74;1.36;1.34;1.45;1.34
Чистые активы, млрд руб;0.641;0.700;0.741;0.761;0.780;0.834;0.863;0.961;1.15;1.000;0.940;0.891;0.940;0.891
Долг, млрд руб;0.071;0.048;0.158;0.149;0.194;0.326;0.336;0.291;0.517;0.286;0.280;0.252;0.341;0.252
Наличность, млрд руб;0.021;0.050;0.041;0.028;0.046;0.117;0.103;0.142;0.064;0.069;0.081;0.019;0.020;0.019
Чистый долг, млрд руб;0.05;0.00;0.12;0.12;0.15;0.21;0.23;0.15;0.45;0.22;0.20;0.23;0.32;0.23
Цена акции ао, руб;;;;7.20;7.60;9.96;6.60;8.19;16.0;13.4;37.8;34.1;23.5;25.2
Число акций ао, млн;52.9;52.9;52.9;52.9;52.9;52.9;52.9;52.9;52.9;52.9;52.9;52.9;52.9;52.9
Капитализация, млрд руб;0.00;0.00;0.00;0.38;0.40;0.53;0.35;0.43;0.85;0.71;2.00;1.81;1.24;1.33
EV, млрд руб;0.05;0.00;0.12;0.50;0.55;0.74;0.58;0.58;1.30;0.93;2.20;2.04;1.56;1.56
Баланс стоимость, млрд руб;0.64;0.70;0.74;0.76;0.78;0.44;0.46;0.56;0.85;0.67;0.79;0.69;0.72;0.69
EPS, руб;1.25;0.79;0.85;0.72;0.77;0.66;0.79;1.96;0.53;1.47;-7.14;-0.32;0.70;-0.32
FCF/акцию, руб;0.00;0.00;0.00;-0.25;-0.55;-0.38;-9.82;1.49;-6.74;4.42;2.23;-0.45;-1.00;-0.45
BV/акцию, руб;12.1;13.2;14.0;14.4;14.7;8.22;8.76;10.5;16.1;12.6;15.0;13.1;13.5;13.1
Рентаб EBITDA, %;51.2%;47.6%;43.4%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;15.5%;0
Чистая рентаб, %;18.1%;10.0%;9.0%;7.3%;7.1%;5.1%;5.5%;10.2%;2.0%;6.2%;-28.9%;-1.5%;3.1%;-1.5%
Доходность FCF, %;;;;-3.4%;-7.2%;-3.8%;-148.8%;18.2%;-42.2%;33.0%;5.9%;-1.3%;-4.3%;-1.8%
ROE, %;10.3%;6.0%;6.1%;5.0%;5.3%;4.2%;4.9%;10.8%;2.4%;7.8%;-40.2%;-1.9%;3.9%;-1.9%
ROA, %;;;;3.5%;3.4%;2.5%;2.7%;5.9%;1.4%;4.5%;-27.9%;-1.3%;2.5%;-1.3%
P/E;0.00;0.00;0.00;10.0;9.81;15.1;8.32;4.17;30.2;9.09;-5.29;-106.2;33.6;-78.3
P/FCF;;;;-29.3;-13.9;-26.4;-0.67;5.49;-2.37;3.03;17.0;-75.2;-23.4;-55.5
P/S;0.00;0.00;0.00;0.73;0.69;0.77;0.45;0.43;0.59;0.57;1.53;1.55;1.05;1.14
P/BV;0.00;0.00;0.00;0.50;0.52;1.21;0.75;0.78;0.99;1.07;2.52;2.61;1.73;1.92
EV/EBITDA;0.27;-0.01;0.54;;;;;;;;;;8.49;
Долг/EBITDA;0.27;-0.01;0.54;;;;;;;;;;1.74;
R&D/CAPEX, %;;;;;;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0
CAPEX/Выручка, %;0%;0%;0%;0%;0%;0%;0%;0%;1%;3%;6%;7%;7%;7%
Амортизация , млрд руб;;;;;;;;;;;;;0.1;
Персонал , чел;;;;;;;;;;;;;100;
Произв.труда , млн руб/чел/год;;;;;;;;;;;;;11.9;
Расходы/чел/год , тыс.р;;;;;;;;;;;;;1 930;
