;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;;08.07.2018;08.07.2018;08.07.2018;08.07.2018;22.05.2019;23.04.2020;06.04.2021;06.04.2022;06.04.2023;08.04.2024;09.04.2025;09.04.2026;11.09.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;;10.6;11.1;12.6;10.9;12.2;11.9;10.9;12.0;11.9;14.8;14.7;23.5;16.3
Операционная прибыль, млрд руб;;;;-1.71;1.55;2.59;1.33;1.50;3.50;-2.68;-0.100;-2.76;3.65;-2.57
EBITDA, млрд руб;;-0.355;-0.805;-1.43;1.80;4.20;3.87;1.89;2.24;1.72;4.76;-1.96;4.29;-1.90
Чистая прибыль, млрд руб;;-0.808;-1.43;-2.24;0.770;2.27;0.820;0.930;2.49;-2.56;-1.39;-3.48;0.675;-3.64
Операционный денежный поток, млрд руб;;;;-0.578;0.887;1.57;2.77;1.51;1.83;-0.540;0.655;5.41;4.00;4.52
CAPEX, млрд руб;;;;0.757;1.19;2.46;0.840;0.850;1.01;2.43;2.28;4.83;3.13;3.88
FCF, млрд руб;;;;-1.71;-0.560;-1.02;1.67;0.410;0.170;-3.55;-3.43;-2.33;-1.86;-2.49
Див.выплата, млрд руб;;;;;;0.000;;;;;;;;
Дивиденд, руб/акцию;;;;;;0;;;;;;;;
Див доход, ао, %;;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
Див доход, ап, %;;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
Дивиденды/прибыль, %;;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0
Опер. расходы, млрд руб;;12.8;14.8;15.1;16.0;17.5;13.7;12.3;13.3;14.2;16.4;16.2;21.5;17.6
Амортизация, млрд руб;;;;;;;;;;1.1;1.7;0.8;0.6;0.7
НИОКР, млрд руб;;;;;;;;;;;;;0.055;0.006
Расх на персонал, млрд руб;;;;5.34;5.67;5.86;4.85;4.53;4.98;5.41;5.90;6.96;7.67;7.47
Процентные расходы, млрд руб;;;;0.396;0.267;0.153;0.141;0.051;0.034;0.176;0.625;1.54;1.67;1.79
Активы, млрд руб;;;;8.37;10.1;12.8;8.07;10.7;14.1;18.5;20.1;21.1;19.6;20.6
Чистые активы, млрд руб;;1.48;-0.043;-2.32;-1.000;1.30;2.09;3.02;5.54;3.48;2.03;-2.24;-2.36;-3.88
Долг, млрд руб;;2.00;2.69;4.54;5.09;6.40;3.71;1.80;2.25;4.72;8.32;11.0;13.9;12.1
Наличность, млрд руб;;0.055;0.018;0.044;0.130;0.176;0.260;0.060;0.541;0.042;0.100;0.362;0.443;0.504
Чистый долг, млрд руб;0.00;1.95;2.67;4.50;4.96;6.22;3.45;1.74;1.70;4.68;8.22;10.6;13.4;11.6
Цена акции ао, руб;;;;3.34;2.52;3.24;4.89;8.93;7.50;4.68;5.29;3.06;2.96;3.28
Число акций ао, млн;463.8;463.8;463.8;463.8;463.8;463.8;463.8;463.8;463.8;463.8;463.8;463.8;0.463;463.8
Цена акции ап, руб;;;;2.60;1.85;2.60;2.99;6.81;5.40;2.73;4.15;2.25;2.15;2.59
Число акций ап, млн;145.7;145.7;145.7;145.7;145.7;145.7;145.7;145.7;145.7;145.7;145.7;145.7;0.146;145.7
Капитализация, млрд руб;0.00;0.00;0.00;1.93;1.44;1.88;2.70;5.13;4.27;2.57;3.06;1.75;0.00;1.90
EV, млрд руб;0.00;1.95;2.67;6.42;6.40;8.10;6.16;6.87;5.97;7.25;11.3;12.4;13.4;13.5
Баланс стоимость, млрд руб;0.00;1.48;-0.04;-2.32;-1.00;1.30;2.09;3.02;5.54;3.48;2.03;-2.24;-2.36;-3.88
EPS, руб;0.00;-1.74;-3.07;-4.84;1.66;4.89;1.77;2.01;5.36;-5.52;-3.00;-7.51;1 458;-7.85
FCF/акцию, руб;0.00;0.00;0.00;-3.69;-1.21;-2.20;3.60;0.88;0.37;-7.65;-7.39;-5.02;-4 024;-5.36
