;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;;10.12.2023;06.06.2022;06.06.2022;04.07.2022;02.05.2023;08.04.2024;28.04.2025;08.04.2026;21.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;;0.142;0.164;0.253;0.422;1.43;2.20;8.70;32.0;15.7
Операционная прибыль, млрд руб;;;;0.085;-0.132;0.001;0.270;0.666;1.05;0.964
EBITDA, млрд руб;;;;0.133;0.052;0.355;0.785;1.18;2.30;1.70
Чистая прибыль, млрд руб;;0.003;0.009;0.062;-0.107;0.002;0.332;0.393;0.724;0.582
Операционный денежный поток, млрд руб;;-0.034;0.112;0.005;-0.312;-0.401;-0.268;0.625;2.49;1.35
CAPEX, млрд руб;;0.000;0.002;0.020;0.046;0.005;0.167;0.109;0.124;0.109
FCF, млрд руб;;;;0.021;0.231;0.115;-0.571;0.398;2.13;1.07
Див.выплата, млрд руб;;;;;;;0.101;0.190;0.355;
Дивиденд, руб/акцию;;;;;;;0,08;0,15;0.28;
Див доход, ао, %;;0.0%;0.0%;0.0%;0.0%;0.0%;3.4%;6.3%;10.6%;0.0%
Дивиденды/прибыль, %;;0%;0%;0%;0%;0%;30%;48%;49%;0
Опер. расходы, млрд руб;;0.137;0.118;;0.287;0.499;0.551;0.718;1.35;0.983
Себестоимость, млрд руб;;;;;;1.16;1.38;6.72;28.4;13.2
Амортизация, млрд руб;;;;;;;0.2;0.2;0.3;
Расх на персонал, млрд руб;;0.066;0.025;;0.097;0.226;0.286;0.290;0.615;0.426
Процентные расходы, млрд руб;;;;;;0.137;0.190;0.388;0.871;0.623
Активы, млрд руб;;0.448;0.409;;1.55;2.21;3.46;4.91;10.4;7.37
Чистые активы, млрд руб;;0.049;0.079;;0.280;0.280;0.500;1.06;1.77;1.26
Долг, млрд руб;;0.117;0.078;;0.870;1.17;1.56;2.60;5.90;3.52
Наличность, млрд руб;;0.030;0.023;;0.231;0.115;0.490;1.01;4.58;1.09
Чистый долг, млрд руб;0.00;0.09;0.06;0.00;0.64;1.06;1.07;1.59;1.31;2.43
Цена акции ао, руб;;3.10;3.10;3.10;3.10;3.10;2.37;2.38;2.63;2.76
Число акций ао, млн;;1 147;1 147;1 147;1 147;1 147;1 269;1 269;1 269;1 269
Free Float, %;;;;;;;12.0%;35.2%;;40.1%
Капитализация, млрд руб;0.00;3.56;3.56;3.56;3.56;3.56;3.00;3.02;3.34;3.50
EV, млрд руб;0.00;3.64;3.61;3.56;4.20;4.61;4.07;4.60;4.65;5.93
Баланс стоимость, млрд руб;0.00;0.05;0.08;0.00;0.28;0.28;0.50;0.43;0.27;-0.18
EPS, руб;;0.00;0.01;0.05;-0.09;0.00;0.26;0.31;0.57;0.46
FCF/акцию, руб;;0.00;0.00;0.02;0.20;0.10;-0.45;0.31;1.68;0.84
BV/акцию, руб;;0.04;0.07;0.00;0.24;0.24;0.39;0.34;0.21;-0.14
Рентаб EBITDA, %;;0.0%;0.0%;52.6%;12.3%;24.8%;35.7%;13.6%;7.2%;10.8%
Чистая рентаб, %;;2.1%;5.5%;24.5%;-25.4%;0.2%;15.1%;4.5%;2.3%;3.7%
Доходность FCF, %;;0.0%;0.0%;0.6%;6.5%;3.2%;-19.0%;13.2%;63.8%;30.5%
ROE, %;;6.1%;11.4%;;-38.2%;0.8%;66.4%;37.3%;40.9%;46.1%
ROA, %;;0.7%;2.2%;;-6.9%;0.1%;9.6%;8.0%;6.9%;7.9%
P/E;;1 185;395.1;57.4;-33.2;1 546;9.04;7.68;4.61;6.02
P/FCF;;;;169.3;15.4;30.9;-5.25;7.59;1.57;3.28
P/S;;25.0;21.7;14.1;8.43;2.49;1.36;0.35;0.10;0.22
P/BV;;72.6;45.0;;12.7;12.7;6.05;7.05;12.3;-20.0
EV/EBITDA;;;;26.7;80.7;13.0;5.18;3.89;2.02;3.49
Долг/EBITDA;;;;0.00;12.3;2.97;1.36;1.34;0.57;1.43
Персонал, чел;;;;;;314;270;303;446;366
Производительность труда, млн руб/чел/год;;;;;;4.55;8.15;28.7;71.8;42.9
Расходы/чел/год, тыс.р;;;;;;719.7;1 059;957.1;1 379;1 164
R&D/CAPEX, %;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
CAPEX/Выручка, %;;0%;1%;8%;11%;0%;8%;1%;0%;1%
