;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;16.05.2022;29.04.2022;28.04.2023;25.04.2024;10.04.2025;14.04.2026;29.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;7.84;9.19;13.1;12.4;11.0;9.58;10.8
Операционная прибыль, млрд руб;0.160;0.682;4.02;0.656;-1.35;-2.70;-1.67
EBITDA, млрд руб;0.486;0.990;4.33;1.04;-0.898;-2.22;
Чистая прибыль, млрд руб;0.191;0.730;3.65;1.15;-0.907;-2.94;-1.70
Операционный денежный поток, млрд руб;0.351;0.960;2.43;0.340;-1.68;-2.35;-0.635
CAPEX, млрд руб;0.269;0.264;0.390;0.690;0.627;0.693;0.524
FCF, млрд руб;0.184;0.552;2.26;-0.010;-1.95;-2.50;0.120
Див.выплата, млрд руб;;1.14;1.76;;;;
Дивиденд, руб/акцию;;2870;4406,56;;;;
Див доход, ао, %;0.0%;28.6%;;;;;
Дивиденды/прибыль, %;0%;156%;48%;0%;0%;0%;0
Опер. расходы, млрд руб;1.07;1.03;1.13;1.66;1.93;1.59;1.90
Себестоимость, млрд руб;6.61;7.48;8.00;10.00;10.6;10.6;10.7
Амортизация, млрд руб;;;;;;0.5;0.2
Расх на персонал, млрд руб;1.72;1.91;2.46;2.84;3.09;3.39;1.64
Процентные расходы, млрд руб;0.009;0.007;0.011;0.010;0.015;0.116;
Активы, млрд руб;4.94;6.12;9.81;9.47;8.58;8.07;7.56
Чистые активы, млрд руб;3.13;3.86;7.52;6.91;6.00;3.06;4.96
Долг, млрд руб;1.000;1.06;1.10;1.10;1.10;3.63;1.17
Наличность, млрд руб;0.415;1.19;3.43;2.16;0.231;0.156;0.317
Чистый долг, млрд руб;0.59;-0.13;-2.33;-1.06;0.87;3.47;0.86
Цена акции ао, руб;5 990;10 020;;;;;
Число акций ао, млн;0.398;0.398;0.398;0.398;0.398;0.398;0.398
Капитализация, млрд руб;2.39;3.99;0.00;0.00;0.00;0.00;0
EV, млрд руб;2.97;3.86;-2.33;-1.06;0.87;3.47;0.86
Баланс стоимость, млрд руб;3.13;3.86;7.52;6.91;6.00;3.02;4.96
EPS, руб;479.6;1 833;9 165;2 887;-2 277;-7 379;-4 271
FCF/акцию, руб;462.0;1 386;5 675;-25.1;-4 891;-6 287;301.3
BV/акцию, руб;7 859;9 692;18 882;17 350;15 070;7 590;12 441
Рентаб EBITDA, %;6.2%;10.8%;33.0%;8.4%;-8.2%;-23.1%;0
Чистая рентаб, %;2.4%;7.9%;27.8%;9.3%;-8.2%;-30.7%;-15.7%
Доходность FCF, %;7.7%;13.8%;;;;;
ROE, %;6.1%;18.9%;48.5%;16.6%;-15.1%;-96.0%;-34.3%
ROA, %;3.9%;11.9%;37.2%;12.1%;-10.6%;-36.4%;-22.5%
P/E;12.5;5.47;0.00;0.00;0.00;0.00;0
P/FCF;13.0;7.23;0.00;0.00;0.00;0.00;0
P/S;0.30;0.43;0.00;0.00;0.00;0.00;0
P/BV;0.76;1.03;0.00;0.00;0.00;0.00;0
EV/EBITDA;6.11;3.90;-0.54;-1.02;-0.97;-1.56;
Долг/EBITDA;1.20;-0.13;-0.54;-1.02;-0.97;-1.56;
Персонал, чел;;;;2 759;2 686;2 604;
Производительность труда, млн руб/чел/год;;;;4.48;4.10;3.68;
Расходы/чел/год, тыс.р;;;;1 029;1 150;1 303;
R&D/CAPEX, %;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
CAPEX/Выручка, %;3%;3%;3%;6%;6%;7%;5%
