;2010;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;;08.07.2018;08.07.2018;29.01.2020;24.04.2018;24.04.2018;29.04.2019;27.04.2020;23.03.2021;01.03.2022;03.03.2023;04.03.2024;06.03.2025;;20.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;;RUB
Выручка, млрд руб;;39.5;40.4;40.5;40.1;39.7;39.6;39.7;41.2;41.1;42.6;43.6;44.8;;46.4
Операционная прибыль, млрд руб;;;;;10.9;9.21;13.2;17.5;14.3;15.6;15.1;15.7;15.6;;15.8
EBITDA, млрд руб;;20.2;21.1;21.4;21.4;17.9;23.6;26.8;23.6;24.5;24.1;23.8;24.0;;24.1
Чистая прибыль, млрд руб;;13.0;12.0;14.7;13.4;10.9;11.9;15.5;12.9;15.1;16.5;18.6;24.5;;26.7
Операционный денежный поток, млрд руб;;;;;20.9;19.3;19.5;17.3;19.5;12.2;19.4;18.9;16.6;;18.4
CAPEX, млрд руб;;;;8.60;7.17;6.51;6.06;7.77;7.61;5.05;5.70;9.54;6.94;;7.32
FCF, млрд руб;;;;;15.9;14.6;16.0;12.2;15.0;9.63;16.9;9.00;9.80;;11.3
Див.выплата, млрд руб;;;;;22.2;22.0;22.1;;;;;;;;
Дивиденд, руб/акцию;197,94;15,26;10,99;222;233;231;232;;;;;;;;
Див доход, ао, %;;;;46.3%;28.5%;17.0%;13.6%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;;0
Дивиденд ап, руб/акцию;197,94;78,1;56,27;222;233;231;232;;;;;;;;
Див доход, ап, %;;;;41.1%;28.9%;18.2%;14.3%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;;0
Дивиденды/прибыль, %;;0%;0%;0%;165%;202%;186%;0%;0%;0%;0%;0%;0%;;0
Опер. расходы, млрд руб;;;;;;;4.40;6.73;6.44;5.80;5.67;5.94;5.55;;5.59
Себестоимость, млрд руб;;11.0;12.9;13.2;13.4;14.0;22.1;12.1;13.7;16.2;17.0;17.0;17.1;;18.6
Амортизация, млрд руб;;;;;;;;;;;9.0;8.1;8.4;;8.3
Расх на персонал, млрд руб;;;;;9.40;10.4;9.06;8.98;8.28;9.19;9.36;9.50;9.50;;9.39
Процентные расходы, млрд руб;;;;;;;1.01;1.32;1.42;1.15;1.26;1.22;1.22;;1.31
