;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;;08.07.2018;08.07.2018;08.07.2018;04.05.2018;04.05.2018;06.05.2020;06.05.2020;25.06.2021;29.04.2022;02.05.2024;02.05.2024;30.04.2025;17.04.2026;29.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;;4.90;5.47;5.78;6.42;6.79;6.98;7.35;7.40;8.07;8.09;8.91;9.48;10.6;9.87
Операционная прибыль, млрд руб;;;;;0.379;0.274;0.300;0.530;0.380;0.432;0.750;-0.063;0.892;0.841;0.800
EBITDA, млрд руб;;0.170;0.294;0.265;0.379;0.274;0.300;0.530;0.380;0.432;0.780;-0.027;0.941;0.890;0.847
Чистая прибыль, млрд руб;;0.094;0.216;0.180;0.280;0.177;0.200;0.390;0.260;0.335;0.650;0.064;1.06;0.992;1.16
Операционный денежный поток, млрд руб;;;;;-0.403;0.004;0.348;0.136;0.313;0.580;0.550;0.870;0.658;0.497;0.501
CAPEX, млрд руб;;;;;0.022;0.097;0.092;0.094;0.045;0.049;0.065;0.074;0.068;0.090;0.082
FCF, млрд руб;;;;;-0.438;0.093;0.256;0.038;0.264;0.528;0.575;0.906;0.802;0.937;0.448
Див.выплата, млрд руб;0.020;0.025;;0.100;0.130;0.120;0.100;0.100;;0.256;0.180;;0.645;;0.435
Дивиденд, руб/акцию;0,1521962;0,186966;;0,75414;0,993871;0,911642;0,7547;0,754746;;1,92445;1,0923;;4,8679;;3,28301887
Див доход, ао, %;;;;20.7%;23.3%;9.6%;8.2%;6.6%;0.0%;13.4%;6.9%;0.0%;11.2%;0.0%;5.4%
Дивиденд ап, руб/акцию;0,1521962;0,186966;;0,75414;0,993871;0,911642;0,7547;0,754746;;1,92445;4,404;;4,8679;;3,28301887
