;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;;;08.07.2018;08.07.2018;30.06.2018;30.06.2018;26.04.2018;20.03.2019;12.03.2020;10.03.2021;17.03.2022;22.03.2023;18.03.2024;19.03.2025;;28.11.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;;RUB
Установленная мощность, ГВт;;;;;;;36.9;;;;;;;;;
Отпуск э/э потребителям из сети, млрд кВт*ч;;;;;;62.7;62.2;61.5;60.6;56.8;59.7;60.3;60.7;;;
Протяженность ЛЭП, тыс.км;;;;;;;140.7;;;;;;;;;
Выручка, млрд руб;;;65.5;69.0;69.7;74.7;81.2;100.3;106.1;88.6;96.5;89.2;106.1;115.3;;123.4
Операционная прибыль, млрд руб;;;;;;;5.98;1.93;4.41;1.75;5.57;6.23;14.5;15.9;;16.9
EBITDA, млрд руб;;;5.68;7.28;8.60;9.26;12.2;8.62;12.2;9.59;14.2;14.7;23.0;30.5;;27.4
Чистая прибыль, млрд руб;;;-1.10;0.832;1.76;1.36;4.10;0.604;2.66;0.622;3.84;4.28;11.9;12.7;;9.49
Операционный денежный поток, млрд руб;;;;;;;7.67;6.49;8.45;8.97;15.4;14.1;23.2;21.8;;17.2
CAPEX, млрд руб;;;;;7.08;6.69;6.54;7.97;10.1;11.1;13.4;12.8;21.2;19.9;;19.9
FCF, млрд руб;;;;;;;1.43;-1.02;-1.42;-2.08;2.09;1.56;2.12;3.17;;-0.571
Див.выплата, млрд руб;;;;;1.24;0.726;1.89;0.262;0.918;;2.18;2.10;4.76;6.62;;3.27
Дивиденд, руб/акцию;;;;;0,0142;0,0083;0,0216;0,003;0,0105;;0,0249;0,02397;0,05441;0,07577;;0,03741
Див доход, ао, %;;;;;15.8%;5.2%;10.3%;1.6%;6.4%;0.0%;14.0%;12.2%;14.8%;22.1%;;7.4%
Дивиденды/прибыль, %;;;0%;0%;70%;53%;46%;43%;35%;0%;57%;49%;40%;52%;;34%
Опер. расходы, млрд руб;;;67.2;69.3;68.2;72.7;76.7;100.0;100.7;86.3;91.5;84.7;93.2;102.1;;108.7
Амортизация, млрд руб;;;;;;;;;;;;8.3;8.2;8.9;;8.9
Расх на персонал, млрд руб;;;;;11.6;12.3;12.5;13.3;14.7;14.3;15.7;18.2;21.2;22.6;;24.6
Процентные расходы, млрд руб;;;;;1.19;1.10;1.17;1.14;1.48;1.20;1.54;2.16;1.90;3.65;;4.31
Активы, млрд руб;;;;;77.4;75.6;76.9;81.6;91.0;93.8;101.6;107.0;123.1;137.9;;148.0
Чистые активы, млрд руб;;;39.1;40.6;40.7;41.5;45.4;44.6;46.9;47.2;52.0;51.2;64.4;69.0;;75.7
Долг, млрд руб;;;14.2;14.2;15.3;12.5;11.9;15.5;20.1;22.8;21.9;23.7;24.1;29.0;;29.9
Наличность, млрд руб;;;1.99;3.67;4.29;1.27;1.46;2.14;2.26;2.20;3.20;4.89;3.45;7.53;;7.52
Чистый долг, млрд руб;0.00;0.00;12.2;10.5;11.0;11.2;10.4;13.4;17.9;20.6;18.7;18.8;20.7;21.5;;22.3
Цена акции ао, руб;;;;;0.090;0.160;0.210;0.189;0.165;0.158;0.178;0.196;0.367;0.344;;0.507
Число акций ао, млн;;;87 431;87 431;87 431;87 431;87 431;87 431;87 431;87 431;87 431;87 431;87 431;87 431;;87 431
Free Float, %;;;;;;;;;;9.86%;;;;13.0%;13.0%;13.0%
Капитализация, млрд руб;0.00;0.00;0.00;0.00;7.87;14.0;18.3;16.5;14.4;13.8;15.5;17.1;32.1;30.0;;44.3
EV, млрд руб;0.00;0.00;12.2;10.5;18.9;25.2;28.8;29.9;32.3;34.4;34.3;35.9;52.8;51.6;;66.7
Баланс стоимость, млрд руб;0.00;0.00;39.1;40.6;40.4;41.2;44.9;43.3;44.9;45.0;49.6;48.8;61.8;67.0;;73.7
EPS, руб;;;-0.01;0.01;0.02;0.02;0.05;0.01;0.03;0.01;0.04;0.05;0.14;0.14;;0.11
FCF/акцию, руб;;;0.00;0.00;0.00;0.00;0.02;-0.01;-0.02;-0.02;0.02;0.02;0.02;0.04;;-0.01
BV/акцию, руб;;;0.45;0.46;0.46;0.47;0.51;0.50;0.51;0.51;0.57;0.56;0.71;0.77;;0.84
Рентаб EBITDA, %;;;8.7%;10.6%;12.3%;12.4%;15.0%;8.6%;11.4%;10.8%;14.7%;16.5%;21.6%;26.5%;;22.2%
Чистая рентаб, %;;;-1.7%;1.2%;2.5%;1.8%;5.0%;0.6%;2.5%;0.7%;4.0%;4.8%;11.2%;11.0%;;7.7%
Доходность FCF, %;;;;;0.0%;0.0%;7.8%;-6.2%;-9.8%;-15.1%;13.4%;9.1%;6.6%;10.6%;;-1.3%
ROE, %;;;-2.8%;2.0%;4.3%;3.3%;9.0%;1.4%;5.7%;1.3%;7.4%;8.4%;18.4%;18.3%;;12.5%
ROA, %;;;;;2.3%;1.8%;5.3%;0.7%;2.9%;0.7%;3.8%;4.0%;9.6%;9.2%;;6.4%
P/E;;;0.00;0.00;4.46;10.3;4.47;27.3;5.43;22.2;4.05;4.00;2.71;2.37;;4.67
P/FCF;;;;;;;12.8;-16.2;-10.2;-6.62;7.44;11.0;15.1;9.48;;-77.7
P/S;;;0.00;0.00;0.11;0.19;0.23;0.16;0.14;0.16;0.16;0.19;0.30;0.26;;0.36
P/BV;;;0.00;0.00;0.19;0.34;0.41;0.38;0.32;0.31;0.31;0.35;0.52;0.45;;0.60
