;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Дата отчета;08.07.2018;08.07.2018;30.06.2018;30.06.2018;28.04.2018;19.03.2019;11.03.2020;10.03.2021;17.03.2022;22.03.2023;18.03.2024;18.03.2025;17.03.2026
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Установленная мощность, ГВт;;;;;35.7;;;28.7;28.7;28.5;28.7;28.7;
Установл. тепл. мощность, Гкал/ч;;;;;;;;9.00;9.00;8.89;9.03;8.89;
Отпуск э/э потребителям из сети, млрд кВт*ч;;;;;49.5;;;46.4;49.7;49.1;49.5;51.1;
Протяженность ЛЭП, тыс.км;;;;;225.4;;;233.8;234.0;235.3;236.5;235.9;
Выручка, млрд руб;49.3;46.2;48.0;53.3;59.3;63.7;63.0;60.4;64.9;66.8;77.0;83.4;129.3
Операционная прибыль, млрд руб;;;;;7.57;7.18;5.09;0.288;1.70;0.550;4.53;6.96;15.4
EBITDA, млрд руб;6.57;7.16;7.36;7.41;12.0;11.4;9.46;5.11;6.90;6.80;10.8;13.7;23.2
Чистая прибыль, млрд руб;1.45;0.808;1.10;2.80;5.47;5.71;3.91;-0.120;0.983;-0.470;2.97;3.63;11.3
Операционный денежный поток, млрд руб;;;5.90;5.70;10.3;8.30;8.95;5.92;7.84;6.91;13.7;13.0;19.1
CAPEX, млрд руб;;;2.41;3.25;3.87;6.59;8.03;7.79;7.16;8.40;8.60;11.4;16.6
FCF, млрд руб;;;3.30;2.80;6.64;1.88;0.820;-2.00;0.374;-1.70;4.90;1.80;3.20
Див.выплата, млрд руб;0.018;0.018;0.231;1.31;2.80;2.35;1.18;;0.059;;1.17;1.39;1.39
Дивиденд, руб/акцию;0,0001;0,0001;0,001274;0,00723;0,0148;0,013;0,0055;;0,000323;;0,0062;0,0074;0.0074
Див доход, ао, %;0.4%;0.4%;6.5%;12.9%;14.4%;13.3%;6.2%;0.0%;0.7%;0.0%;11.3%;11.5%;4.8%
Дивиденды/прибыль, %;1%;2%;21%;47%;51%;41%;30%;0%;6%;0%;39%;38%;12%
Опер. расходы, млрд руб;46.9;44.2;45.3;48.5;52.5;57.6;58.2;60.1;63.5;66.4;73.2;77.4;114.5
Амортизация, млрд руб;;;4.8;4.5;4.4;4.7;4.8;5.3;5.7;6.1;6.2;6.4;6.9
Расх на персонал, млрд руб;;;10.2;11.4;12.0;12.5;13.1;13.8;14.2;15.4;18.4;20.6;24.1
Процентные расходы, млрд руб;;;1.36;1.12;0.583;0.223;0.263;0.400;0.540;1.20;0.900;1.55;0.644
Активы, млрд руб;;;51.0;51.1;52.4;53.5;58.7;61.5;64.8;67.6;71.7;80.9;100.4
Чистые активы, млрд руб;26.2;27.0;28.2;31.4;35.8;38.8;38.9;38.5;39.7;39.1;42.1;44.9;54.6
Долг, млрд руб;13.9;13.9;11.3;8.39;4.38;3.38;6.09;8.62;8.76;10.2;7.73;8.87;8.39
Наличность, млрд руб;1.06;1.26;1.96;2.27;3.85;1.95;0.971;0.560;0.805;0.620;2.85;4.81;6.33
Чистый долг, млрд руб;12.9;12.7;9.36;6.13;0.53;1.43;5.12;8.06;7.96;9.61;4.88;4.06;2.06
Цена акции ао, руб;0.023;0.028;0.020;0.056;0.103;0.098;0.089;0.068;0.050;0.026;0.055;0.064;0.154
