;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;08.07.2018;08.07.2018;30.06.2018;30.06.2018;07.05.2018;19.03.2019;11.03.2020;10.03.2021;16.03.2022;22.03.2023;18.03.2024;18.03.2025;30.03.2026;28.11.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Установленная мощность, ГВт;;;23.8;24.0;24.0;24.0;;;;;;;;
Отпуск э/э потребителям из сети, млрд кВт*ч;;;;;24.3;24.7;23.7;23.1;24.2;24.1;24.6;25.5;;
Протяженность ЛЭП, тыс.км;;;;;162.3;;;;;;;;;
Выручка, млрд руб;27.3;29.1;30.4;31.6;35.3;36.5;38.0;41.1;43.4;44.1;51.0;56.4;97.0;75.8
Операционная прибыль, млрд руб;;;2.90;1.87;4.04;3.81;-1.84;0.270;-3.05;3.03;6.07;11.7;11.4;13.7
EBITDA, млрд руб;5.09;-2.98;5.25;4.07;6.20;6.05;1.07;5.07;7.50;6.08;8.68;8.20;14.2;10.8
Чистая прибыль, млрд руб;0.194;-6.78;0.348;-1.35;0.754;0.720;-3.26;-1.22;-3.73;0.340;3.01;6.13;5.60;7.99
Операционный денежный поток, млрд руб;;;;;1.18;1.16;4.93;5.40;2.68;6.48;7.70;2.78;7.27;6.46
CAPEX, млрд руб;;;1.79;1.83;2.84;1.64;1.78;6.87;5.68;5.27;5.42;6.02;7.49;7.05
FCF, млрд руб;;;;;-1.57;-0.430;0.672;-1.43;-2.98;1.28;2.39;-3.03;1.77;0.485
Див.выплата, млрд руб;;;;0.000;0.377;0.561;0.000;;;;;;;
Дивиденд, руб/акцию;0,00014;;0,002853;0;0,00546;0,00684;0;;;;;;;
Див доход, ао, %;;;9.5%;0.0%;9.1%;12.6%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
Дивиденды/прибыль, %;0%;0%;0%;0%;50%;78%;0%;0%;0%;0%;0%;0%;0%;0
Опер. расходы, млрд руб;25.2;35.6;27.8;32.3;32.7;34.5;36.7;40.2;41.1;41.7;46.4;52.0;88.1;69.5
Амортизация, млрд руб;;;2.4;2.2;2.1;2.2;2.3;2.5;2.8;2.4;2.5;2.7;4.0;3.1
Расх на персонал, млрд руб;;;7.02;7.87;8.02;9.02;10.00;10.8;11.4;12.2;13.5;14.8;17.8;15.9
Процентные расходы, млрд руб;;;2.64;2.86;3.20;2.51;2.68;1.78;1.94;2.60;2.44;4.05;4.72;4.65
Активы, млрд руб;;;36.2;37.4;37.5;37.2;37.1;42.8;37.7;51.8;49.8;55.4;206.5;59.9
Чистые активы, млрд руб;4.62;-2.09;-1.76;-3.11;-0.577;-0.229;4.05;2.84;-0.846;-0.480;2.59;8.73;82.4;12.9
Долг, млрд руб;23.6;24.9;25.0;24.5;24.4;25.6;18.1;21.3;24.3;23.3;23.5;25.1;54.3;23.9
Наличность, млрд руб;1.19;0.735;1.60;0.700;0.874;1.13;0.572;1.06;1.30;1.66;4.03;2.57;18.1;2.54
Чистый долг, млрд руб;22.4;24.1;23.4;23.8;23.5;24.4;17.5;20.3;23.0;21.7;19.5;22.6;36.2;21.4
Цена акции ао, руб;;;0.030;0.050;0.060;0.054;0.062;0.049;0.045;0.033;0.066;0.058;0.081;0.089
Число акций ао, млн;61 178;61 178;38 196;49 811;69 039;69 039;82 040;151 641;151 641;151 641;151 641;151 641;692 280;151 641
Капитализация, млрд руб;0.00;0.00;1.15;2.49;4.13;3.76;5.08;7.36;6.84;5.02;9.93;8.86;55.7;13.5
EV, млрд руб;22.4;24.1;24.6;26.2;27.6;28.2;22.6;27.6;29.9;26.7;29.4;31.4;91.9;34.9
Баланс стоимость, млрд руб;4.62;-2.09;-1.91;-3.25;-0.72;-0.38;3.85;2.60;-1.05;-0.68;2.39;8.53;81.7;12.7
EPS, руб;0.00;-0.11;0.01;-0.03;0.01;0.01;-0.04;-0.01;-0.02;0.00;0.02;0.04;0.01;0.05
FCF/акцию, руб;0.00;0.00;0.00;0.00;-0.02;-0.01;0.01;-0.01;-0.02;0.01;0.02;-0.02;0.00;0.00
BV/акцию, руб;0.08;-0.03;-0.05;-0.07;-0.01;-0.01;0.05;0.02;-0.01;0.00;0.02;0.06;0.12;0.08
Рентаб EBITDA, %;18.6%;-10.2%;17.3%;12.9%;17.6%;16.6%;2.8%;12.3%;17.3%;13.8%;17.0%;14.5%;14.6%;14.2%
Чистая рентаб, %;0.7%;-23.3%;1.1%;-4.3%;2.1%;2.0%;-8.6%;-3.0%;-8.6%;0.8%;5.9%;10.9%;5.8%;10.5%
Доходность FCF, %;;;0.0%;0.0%;-38.0%;-11.4%;13.2%;-19.4%;-43.6%;25.5%;24.1%;-34.2%;3.2%;3.6%
ROE, %;4.2%;324.7%;-19.8%;43.3%;-130.7%;-314.4%;-80.6%;-43.0%;440.9%;-70.8%;116.2%;70.2%;6.8%;62.0%
ROA, %;;;1.0%;-3.6%;2.0%;1.9%;-8.8%;-2.9%;-9.9%;0.7%;6.0%;11.1%;2.7%;13.3%
P/E;0.00;0.00;3.29;-1.85;5.48;5.22;-1.56;-6.03;-1.83;14.8;3.30;1.45;9.95;1.69
P/FCF;;;;;-2.63;-8.74;7.56;-5.15;-2.29;3.92;4.16;-2.93;31.6;27.9
P/S;0.00;0.00;0.04;0.08;0.12;0.10;0.13;0.18;0.16;0.11;0.19;0.16;0.57;0.18
P/BV;0.00;0.00;-0.60;-0.77;-5.74;-9.92;1.32;2.83;-6.54;-7.38;4.16;1.04;0.68;1.07
EV/EBITDA;4.40;-8.11;4.68;6.45;4.46;4.66;21.1;5.45;3.98;4.39;3.39;3.83;6.47;3.24
Долг/EBITDA;4.40;-8.11;4.47;5.84;3.79;4.04;16.3;4.00;3.07;3.56;2.25;2.75;2.55;1.98
Персонал, чел;;;13 568;13 621;13 534;;;13 663;13 535;13 669;13 567;12 956;;
Производительность труда, млн руб/чел/год;;;2.24;2.32;2.61;;;3.01;3.21;3.23;3.76;4.35;;
Расходы/чел/год, тыс.р;;;517.5;577.8;592.9;;;787.5;838.6;893.3;992.1;1 142;;
R&D/CAPEX, %;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
Цена/мощность, руб/кВт;;;1 033;1 096;1 150;1 172;;;;;;;;
CAPEX/Выручка, %;0%;0%;6%;6%;8%;4%;5%;17%;13%;12%;11%;11%;8%;9%
