;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;13.06.2018;13.06.2018;13.06.2018;13.06.2018;07.06.2018;07.06.2018;07.06.2018;19.03.2019;11.03.2020;11.03.2021;16.03.2022;22.03.2023;18.03.2024;18.03.2025;18.03.2026;24.11.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Установленная мощность, ГВт;;;;;;;26.7;;;;;;;;;
Отпуск э/э потребителям из сети, млрд кВт*ч;;;38.1;37.2;37.0;37.4;35.3;32.0;32.4;31.2;31.6;31.4;31.4;31.8;;
Протяженность ЛЭП, тыс.км;;;175.4;175.8;175.0;175.4;176.1;176.4;177.1;176.2;177.3;178.4;178.8;179.7;;
Трансформаторная мощность, ГВт;;;;;;;;26.5;26.8;27.0;19.7;19.7;19.8;19.8;;
Выручка, млрд руб;30.8;31.2;42.1;44.3;42.4;45.5;47.9;64.9;49.1;48.3;50.4;48.3;53.7;62.7;81.7;76.2
Операционная прибыль, млрд руб;;;;;;2.43;-1.17;2.76;2.54;-0.320;-0.021;1.52;0.410;3.12;8.12;4.71
EBITDA, млрд руб;3.98;3.93;5.28;6.49;6.85;6.40;2.93;7.06;7.14;5.54;7.40;9.00;9.26;10.2;14.0;11.4
Чистая прибыль, млрд руб;0.408;0.062;0.300;-0.620;0.815;0.585;1.10;1.15;1.08;-1.14;-0.883;-0.260;-0.550;0.467;5.16;1.00
Операционный денежный поток, млрд руб;;;;;;5.62;6.52;6.29;6.13;4.35;5.08;6.33;11.0;14.9;8.55;15.4
CAPEX, млрд руб;5.70;8.16;6.63;5.19;4.81;4.63;6.23;9.03;5.53;4.24;5.43;5.74;7.60;7.50;10.8;9.40
FCF, млрд руб;;;;;;1.04;0.312;-1.19;1.34;-0.042;-0.504;0.700;3.29;8.68;1.34;9.29
Див.выплата, млрд руб;0.000;0.015;0.077;0.000;0.407;0.111;0.000;0.382;0.313;0.000;;;;;;
Дивиденд, руб/акцию;0;0,0001614;0,0008;0;0,004254;0,0011608;0;0,003985;0,0033;0;;;;;;
Див доход, ао, %;;0.2%;2.8%;0.0%;15.5%;2.1%;0.0%;7.2%;6.2%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
Дивиденды/прибыль, %;0%;24%;26%;0%;50%;19%;0%;33%;29%;0%;0%;0%;0%;0%;0;0
Опер. расходы, млрд руб;;;43.3;47.6;40.5;44.3;50.4;61.6;45.8;47.1;48.5;45.1;51.8;61.0;76.9;73.0
Амортизация, млрд руб;;;;;4.0;4.0;4.1;4.3;4.6;4.8;4.7;5.0;4.9;5.0;5.8;5.2
НИОКР, млрд руб;;;;;;0.006;0.039;0.012;0.010;0.024;;;;;;
Расх на персонал, млрд руб;;;;;10.4;11.1;12.0;13.5;12.6;13.2;13.8;14.9;17.0;19.2;22.9;22.2
Процентные расходы, млрд руб;;;;;1.84;1.70;1.51;1.24;1.19;1.000;1.08;2.21;1.82;2.81;2.73;2.70
Активы, млрд руб;;;;;53.9;52.8;48.4;51.2;49.3;48.7;49.9;54.9;55.7;71.2;83.7;72.8
Чистые активы, млрд руб;;;22.1;19.9;20.6;20.8;18.2;19.3;19.8;18.6;17.7;17.4;17.0;18.8;23.9;20.9
Долг, млрд руб;;;16.7;18.5;15.1;14.8;14.3;15.5;15.3;16.6;15.8;18.5;15.0;15.4;18.0;14.3
Наличность, млрд руб;;;0.840;1.04;0.071;0.362;0.084;1.10;0.940;1.61;2.15;5.25;3.69;10.2;13.9;8.54
Чистый долг, млрд руб;0.00;0.00;15.9;17.4;15.1;14.4;14.3;14.4;14.4;15.0;13.7;13.2;11.3;5.26;4.13;5.73
Цена акции ао, руб;;0.065;0.029;0.025;0.027;0.055;0.052;0.056;0.054;0.054;0.052;0.026;0.090;0.055;0.112;0.120
Число акций ао, млн;95 786;95 786;95 786;95 786;95 786;95 786;95 786;95 786;95 786;95 786;95 786;95 786;95 786;95 786;95 749;95 786
Free Float, %;;;;;;;30.2%;;;30.0%;;;;30.0%;30.0%;30.0%
Инсайдерское владение, %;;;;;;;0.000%;;;;;;;;;
Капитализация, млрд руб;0.00;6.21;2.73;2.42;2.62;5.27;4.98;5.32;5.13;5.20;4.99;2.48;8.61;5.27;10.7;11.5
EV, млрд руб;0.00;6.21;18.6;19.8;17.7;19.7;19.2;19.8;19.5;20.2;18.6;15.7;19.9;10.5;14.9;17.2
Баланс стоимость, млрд руб;0.00;0.00;22.1;19.9;20.6;20.6;18.0;19.1;19.5;18.2;17.2;16.9;15.9;17.7;22.8;19.8
EPS, руб;0.00;0.00;0.00;-0.01;0.01;0.01;0.01;0.01;0.01;-0.01;-0.01;0.00;-0.01;0.00;0.05;0.01
FCF/акцию, руб;0.00;0.00;0.00;0.00;0.00;0.01;0.00;-0.01;0.01;0.00;-0.01;0.01;0.03;0.09;0.01;0.10
BV/акцию, руб;0.00;0.00;0.23;0.21;0.21;0.22;0.19;0.20;0.20;0.19;0.18;0.18;0.17;0.18;0.24;0.21
Рентаб EBITDA, %;12.9%;12.6%;12.6%;14.7%;16.2%;14.1%;6.1%;10.9%;14.5%;11.5%;14.7%;18.6%;17.2%;16.3%;17.2%;15.0%
Чистая рентаб, %;1.3%;0.2%;0.7%;-1.4%;1.9%;1.3%;2.3%;1.8%;2.2%;-2.4%;-1.8%;-0.5%;-1.0%;0.7%;6.3%;1.3%
Доходность FCF, %;;0.0%;0.0%;0.0%;0.0%;19.8%;6.3%;-22.3%;26.0%;-0.8%;-10.1%;28.3%;38.2%;164.6%;12.5%;81.0%
ROE, %;;;1.4%;-3.1%;4.0%;2.8%;6.0%;5.9%;5.5%;-6.1%;-5.0%;-1.5%;-3.2%;2.5%;21.6%;4.8%
ROA, %;;;;;1.5%;1.1%;2.3%;2.2%;2.2%;-2.3%;-1.8%;-0.5%;-1.0%;0.7%;6.2%;1.4%
P/E;0.00;100.1;9.10;-3.91;3.22;9.01;4.54;4.64;4.75;-4.56;-5.65;-9.52;-15.7;11.3;2.08;11.5
P/FCF;;;;;;5.06;16.0;-4.48;3.84;-123.8;-9.89;3.54;2.62;0.61;8.01;1.24
P/S;0.00;0.20;0.06;0.05;0.06;0.12;0.10;0.08;0.10;0.11;0.10;0.05;0.16;0.08;0.13;0.15
P/BV;;;0.12;0.12;0.13;0.26;0.28;0.28;0.26;0.29;0.29;0.15;0.54;0.30;0.47;0.58
EV/EBITDA;0.00;1.58;3.52;3.06;2.59;3.08;6.56;2.80;2.73;3.65;2.52;1.74;2.15;1.03;1.06;1.50
Долг/EBITDA;0.00;0.00;3.01;2.68;2.20;2.25;4.86;2.05;2.01;2.71;1.85;1.47;1.22;0.52;0.29;0.50
Персонал, чел;15 140;15 152;15 884;15 370;15 094;14 702;14 661;15 627;14 595;14 108;13 473;12 946;13 084;12 933;;
Производительность труда, млн руб/чел/год;2.04;2.06;2.65;2.88;2.81;3.10;3.27;4.15;3.37;3.42;3.74;3.73;4.11;4.85;;
Расходы/чел/год, тыс.р;0.00;0.00;0.00;0.00;688.4;758.1;819.9;860.8;865.0;934.2;1 023;1 147;1 299;1 487;;
R&D/CAPEX, %;0.00%;0.00%;0.00%;0.00%;0.00%;0.13%;0.63%;0.13%;0.18%;0.57%;0.00%;0.00%;0.00%;0.00%;0;0
Цена/мощность, руб/кВт;;;;;;;719.2;;;;;;;;;
CAPEX/Выручка, %;18%;26%;16%;12%;11%;10%;13%;14%;11%;9%;11%;12%;14%;12%;13%;12%
