;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Дата отчета;;;;;;29.04.2022;29.04.2022;28.04.2023;27.03.2024;28.03.2025;30.03.2026
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;;;;;;7.00;6.95;6.77;7.64;8.36;9.52
Операционная прибыль, млрд руб;;;;;;0.245;0.290;0.274;0.428;0.480;0.557
EBITDA, млрд руб;;;;;;0.485;0.580;0.354;0.500;0.580;0.653
Чистая прибыль, млрд руб;;;;;;0.082;0.123;0.095;0.144;0.210;0.268
Операционный денежный поток, млрд руб;;;;;;0.255;0.185;0.210;0.394;0.260;0.431
CAPEX, млрд руб;;;;;;0.109;0.068;0.079;0.097;0.120;0.124
FCF, млрд руб;;;;;;0.147;0.118;0.131;0.298;0.150;0.187
Див.выплата, млрд руб;0.042;0.070;0.041;0.020;0.030;0.050;0.031;0.044;0.050;0.123;
Дивиденд, руб/акцию;0,031;0,052;0,0302;0,0148;0,0223;0,037;0,023;0,032768;0,037197;0,091818;
Див доход, ао, %;;9.4%;6.0%;3.8%;6.4%;10.2%;5.6%;10.4%;4.8%;13.2%;0.0%
Дивиденды/прибыль, %;;;;;;61%;25%;46%;35%;59%;0%
Опер. расходы, млрд руб;;;;;;2.97;3.00;3.05;3.58;4.00;4.60
Себестоимость, млрд руб;;;;;;3.79;3.66;3.45;3.63;3.87;4.36
Амортизация, млрд руб;;;;;;;;0.1;0.1;0.1;0.1
Процентные расходы, млрд руб;;;;;;0.041;0.041;0.062;0.030;0.050;0.039
Активы, млрд руб;;;;;;1.37;1.41;1.45;1.40;1.48;1.67
Чистые активы, млрд руб;;;;;;0.162;0.223;0.318;0.368;0.460;0.586
Долг, млрд руб;;;;;;0.426;0.466;0.330;0.100;0.120;0.001
Наличность, млрд руб;;;;;;0.047;0.061;0.058;0.039;0.040;0.063
Чистый долг, млрд руб;0.00;0.00;0.00;0.00;0.00;0.38;0.41;0.27;0.06;0.08;-0.06
Цена акции ао, руб;;0.556;0.500;0.394;0.350;0.363;0.409;0.315;0.783;0.698;0.854
Число акций ао, млн;1 345;1 345;1 345;1 345;1 345;1 345;1 345;1 345;1 345;1 345;1 345
Капитализация, млрд руб;0.00;0.75;0.67;0.53;0.47;0.49;0.55;0.42;1.05;0.94;1.15
EV, млрд руб;0.00;0.75;0.67;0.53;0.47;0.87;0.96;0.70;1.11;1.02;1.09
Баланс стоимость, млрд руб;0.00;0.00;0.00;0.00;0.00;0.16;0.22;0.32;0.37;0.46;0.58
EPS, руб;0.00;0.00;0.00;0.00;0.00;0.06;0.09;0.07;0.11;0.16;0.20
FCF/акцию, руб;0.00;0.00;0.00;0.00;0.00;0.11;0.09;0.10;0.22;0.11;0.14
BV/акцию, руб;0.00;0.00;0.00;0.00;0.00;0.12;0.17;0.24;0.27;0.34;0.43
Рентаб EBITDA, %;;;;;;6.9%;8.3%;5.2%;6.5%;6.9%;6.9%
Чистая рентаб, %;;;;;;1.2%;1.8%;1.4%;1.9%;2.5%;2.8%
Доходность FCF, %;;0.0%;0.0%;0.0%;0.0%;30.1%;21.4%;30.9%;28.3%;16.0%;16.3%
ROE, %;;;;;;50.6%;55.2%;29.9%;39.1%;45.7%;45.7%
ROA, %;;;;;;6.0%;8.7%;6.6%;10.3%;14.2%;16.1%
P/E;;;;;;5.95;4.47;4.46;7.31;4.47;4.29
P/FCF;;;;;;3.32;4.66;3.23;3.53;6.26;6.14
P/S;;;;;;0.07;0.08;0.06;0.14;0.11;0.12
P/BV;;;;;;3.01;2.47;1.33;2.86;2.05;1.97
EV/EBITDA;;;;;;1.79;1.65;1.97;2.23;1.76;1.66
Долг/EBITDA;;;;;;0.78;0.70;0.77;0.12;0.14;-0.09
Персонал, чел;;;;;;413;409;416;413;422;412
Производительность труда, млн руб/чел/год;;;;;;16.9;17.0;16.3;18.5;19.8;23.1
Расходы/чел/год, тыс.р;;;;;;0.00;0.00;0.00;0.00;0.00;0.00
R&D/CAPEX, %;;;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
CAPEX/Выручка, %;;;;;;2%;1%;1%;1%;1%;1%
