;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;;;;31.03.2023;08.07.2018;08.07.2018;20.02.2019;19.02.2019;28.04.2018;13.05.2019;12.03.2020;17.03.2021;18.03.2022;23.03.2023;18.03.2024;19.03.2025;19.03.2026;21.11.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Установленная мощность, ГВт;;;;;;;74.5;76.1;77.8;78.8;79.3;80.5;81.6;82.6;82.4;86.1;;
Ср. цена реализации э/э, руб/кВт*ч;;;;;;;;;;2.01;2.04;2.09;2.13;2.19;2.42;2.53;;
Отпуск э/э потребителям из сети, млрд кВт*ч;;;;;;;70.5;73.0;73.1;74.5;74.2;73.1;80.1;82.2;83.9;88.0;;
Протяженность ЛЭП, тыс.км;;;;;;;148.6;152.7;155.9;157.3;159.1;161.4;168.9;173.3;179.2;174.5;;
Выручка, млрд руб;;111.7;129.4;125.3;129.1;128.0;132.4;140.4;150.5;159.5;161.5;164.0;184.7;199.7;229.3;249.0;285.0;270.7
Операционная прибыль, млрд руб;;;;26.1;26.5;14.4;23.9;16.3;9.61;16.8;16.8;11.0;17.1;19.3;35.1;26.0;63.0;38.2
EBITDA, млрд руб;;37.2;41.6;43.6;44.4;35.0;44.7;37.9;34.9;39.3;39.7;33.7;45.4;65.9;74.5;75.1;92.7;89.1
Чистая прибыль, млрд руб;;19.0;18.0;17.2;19.5;8.08;12.5;9.40;3.08;6.59;8.11;4.75;10.5;13.5;26.3;13.6;41.8;18.8
Операционный денежный поток, млрд руб;;;;39.7;36.2;30.8;26.7;27.8;26.3;27.8;27.9;38.6;43.9;67.4;64.2;83.7;98.2;86.3
CAPEX, млрд руб;;;;39.2;39.0;40.9;29.7;30.7;27.1;25.1;27.5;28.8;32.7;41.2;60.8;79.5;101.4;104.0
FCF, млрд руб;;;;-5.73;-7.38;-9.45;-2.06;-2.87;-0.684;2.70;0.219;9.65;11.3;27.2;3.90;5.52;-2.26;-16.4
Див.выплата, млрд руб;0.450;1.20;1.22;4.30;2.91;2.06;6.32;1.52;1.54;2.87;3.30;2.40;4.63;4.73;6.95;7.33;;7.33
Дивиденд, руб/акцию;0,0092;0,0246;0,025;0,088201;0,05975;0,0422;0,1297;0,031205;0,03163;0,059;0,06783;0,0493;0,095;0,097;0,14282;0,15054;;0,15054
Див доход, ао, %;;1.5%;1.6%;5.8%;4.3%;3.4%;17.3%;3.5%;3.5%;8.9%;5.7%;3.5%;7.7%;9.6%;11.2%;12.9%;0.0%;8.8%
Дивиденды/прибыль, %;;6%;7%;25%;15%;25%;50%;16%;50%;44%;41%;51%;44%;35%;26%;54%;0%;39%
Опер. расходы, млрд руб;;;;;;113.6;11.5;131.6;150.5;149.2;147.5;153.6;168.1;165.0;193.0;215.8;231.6;230.3
Себестоимость, млрд руб;;;;;103.0;;;;;;;;;;;;;
Амортизация, млрд руб;;;;;;;20.8;21.6;20.5;20.9;22.7;22.7;23.2;23.9;23.8;27.2;29.7;29.0
Расх на персонал, млрд руб;;;;;14.9;15.4;17.9;18.5;18.9;19.1;20.8;21.7;23.4;25.9;31.1;40.5;40.9;42.8
Процентные расходы, млрд руб;;;;;2.45;3.46;4.79;7.96;7.33;7.42;7.14;6.60;5.58;5.39;4.21;8.13;8.62;9.23
Активы, млрд руб;;;;;;310.6;325.6;338.5;339.1;338.1;346.7;357.3;382.4;388.5;418.6;500.4;577.4;542.9
Чистые активы, млрд руб;;106.1;122.9;140.6;169.2;159.0;153.6;172.6;173.5;171.4;173.9;177.4;185.6;190.3;216.3;223.2;257.4;243.3
Долг, млрд руб;;40.1;46.5;54.1;57.3;73.4;74.0;84.2;86.7;91.9;93.1;85.5;85.7;67.7;58.1;72.5;78.3;78.5
Наличность, млрд руб;;;;;1.60;4.31;0.400;0.785;0.722;12.3;7.63;8.12;18.1;15.5;5.27;17.7;13.5;7.89
Чистый долг, млрд руб;0.00;40.1;46.5;54.1;55.7;69.1;73.6;83.4;85.9;79.6;85.4;77.4;67.6;52.3;52.8;54.8;64.8;70.6
Цена акции ао, руб;;1.64;1.60;1.51;1.39;1.25;0.750;0.900;0.899;0.660;1.19;1.39;1.24;1.01;1.27;1.16;1.45;1.71
Число акций ао, млн;48 707;48 707;48 707;48 707;48 707;48 707;48 707;48 707;48 707;48 707;48 707;48 707;48 707;48 707;48 707;48 707;48 707;48 707
