;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;;;;;30.06.2018;08.07.2018;06.04.2020;30.05.2018;20.04.2018;22.04.2019;21.04.2020;30.04.2021;30.04.2022;11.05.2024;02.05.2024;30.04.2025;30.04.2026;29.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;;;;;116.7;150.5;143.2;175.2;207.8;206.3;142.6;97.9;;4.86;3.88;3.69;7.83;6.37
Операционная прибыль, млрд руб;;;;;;;;;;;;;;0.905;-0.021;-1.18;0.758;0.422
EBITDA, млрд руб;;;;;9.20;15.5;13.4;20.0;15.0;13.5;10.00;4.36;;1.01;0.116;-1.03;0.964;0.584
Чистая прибыль, млрд руб;2.60;1.73;3.71;4.32;2.26;6.07;4.23;4.46;2.49;1.16;-0.080;-6.20;;0.830;0.925;-3.77;0.533;-2.46
Операционный денежный поток, млрд руб;;;;;;;;;;;;;;-1.22;0.184;-0.729;-0.409;-0.534
CAPEX, млрд руб;;;;;;;4.34;4.53;3.89;2.11;1.23;1.65;;0.140;0.060;0.220;0.125;0.081
FCF, млрд руб;;;;;;;;;;;;;;-1.45;0.281;-0.814;-0.578;-0.540
Див.выплата, млрд руб;0.801;0.745;2.00;2.20;2.00;2.00;3.00;3.00;3.00;0.000;;;;0.000;0.000;;;
Дивиденд, руб/акцию;1,61;3,23;3;7,1;7,09;7,09;10,64;10,64;10,64;0;;;;0;0;;;
Див доход, ао, %;;;1.6%;3.9%;5.3%;10.6%;13.8%;11.7%;7.2%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0
Дивиденды/прибыль, %;31%;43%;54%;51%;89%;33%;71%;67%;121%;0%;0%;0%;;0%;0%;0%;0%;0
Опер. расходы, млрд руб;;;;;;;;;;;;;;1.01;0.827;0.701;0.678;0.684
Себестоимость, млрд руб;;;;;102.7;130.0;124.0;148.4;184.2;183.1;124.4;87.1;;2.94;3.23;4.03;6.45;5.46
Амортизация, млрд руб;;;;;;;;;;;;;;0.1;0.1;0.2;0.2;0.2
Расх на персонал, млрд руб;;;;;;;23.3;27.5;31.7;30.5;28.5;22.1;;0.870;0.960;1.15;1.46;1.27
Процентные расходы, млрд руб;;;;;;;6.34;6.09;5.10;6.49;5.73;4.96;;;0.004;0.009;0.009;0.009
Активы, млрд руб;;;;;;;162.1;146.1;158.6;158.8;169.2;19.1;;8.10;18.5;21.5;25.3;21.9
Чистые активы, млрд руб;;;;;20.8;24.3;25.9;25.0;24.1;24.8;17.7;2.26;;3.30;4.39;4.37;4.90;5.12
Долг, млрд руб;;;;;4.54;40.5;41.7;28.8;35.2;44.3;73.7;8.35;;0.290;0.176;0.197;0.245;0.222
Наличность, млрд руб;;;;;26.6;52.1;55.2;25.9;19.4;38.3;58.7;1.27;;3.10;10.6;6.85;5.00;2.27
Чистый долг, млрд руб;0.00;0.00;0.00;0.00;-22.0;-11.5;-13.5;2.94;15.8;6.09;15.0;7.08;0.00;-2.81;-10.4;-6.65;-4.75;-2.05
Цена акции ао, руб;;;187.0;182.0;133.5;66.8;77.0;91.2;147.8;84.5;113.5;105.5;83.3;81.4;205.0;143.5;118.1;125.0
Число акций ао, млн;282.2;282.2;282.2;282.2;282.2;282.2;282.2;282.2;282.2;282.2;282.2;282.2;282.2;282.2;282.2;282.2;282.2;282.2
Free Float, %;;;;;;;5.80%;5.80%;;;;;;;3.03%;;;
Капитализация, млрд руб;0.00;0.00;52.8;51.4;37.7;18.9;21.7;25.7;41.7;23.8;32.0;29.8;23.5;23.0;57.9;40.5;33.3;35.3
EV, млрд руб;0.00;0.00;52.8;51.4;15.6;7.31;8.19;28.7;57.5;29.9;47.1;36.8;23.5;20.2;47.4;33.8;28.6;33.2
Баланс стоимость, млрд руб;0.00;0.00;0.00;0.00;20.8;24.3;24.3;23.2;22.2;23.1;16.1;2.15;0.00;3.30;4.39;4.19;4.75;4.95
EPS, руб;9.23;6.13;13.1;15.3;8.00;21.5;15.0;15.8;8.81;4.12;-0.28;-22.0;0.00;2.94;3.28;-13.3;1.89;-8.71
FCF/акцию, руб;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-5.12;1.00;-2.88;-2.05;-1.91
BV/акцию, руб;0.00;0.00;0.00;0.00;73.8;86.1;86.2;82.4;78.7;81.9;57.1;7.61;0.00;11.7;15.6;14.9;16.8;17.5
Рентаб EBITDA, %;;;;;7.9%;10.3%;9.3%;11.4%;7.2%;6.5%;7.0%;4.5%;;20.8%;3.0%;-28.0%;12.3%;9.2%
Чистая рентаб, %;;;;;1.9%;4.0%;3.0%;2.5%;1.2%;0.6%;-0.1%;-6.3%;;17.1%;23.8%;-102.1%;6.8%;-38.6%
