;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;15.05.2020;15.05.2020;29.04.2021;05.05.2022;10.05.2023;06.05.2024;15.05.2025;05.05.2026;15.05.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;2.12;2.05;1.85;2.39;2.32;3.20;4.86;6.09;4.86
Операционная прибыль, млрд руб;0.233;0.210;0.115;0.161;0.321;0.210;0.877;1.55;0.877
EBITDA, млрд руб;0.360;0.330;0.300;0.360;0.490;0.510;1.15;1.92;1.15
Чистая прибыль, млрд руб;0.360;0.260;0.017;-0.533;0.104;0.149;0.828;1.41;0.828
Операционный денежный поток, млрд руб;-0.515;0.330;0.333;0.860;0.410;1.20;1.00;-0.964;1.00
CAPEX, млрд руб;0.530;0.370;0.232;0.271;0.162;0.210;0.380;0.621;0.380
FCF, млрд руб;-1.18;-0.100;-0.150;0.830;0.110;1.10;0.570;-1.56;0.570
Див.выплата, млрд руб;;;;0.070;0.085;0.085;0.034;0.326;0.137
Дивиденд, руб/акцию;;;;5,93;7,2;7,2;2,92;27.67;11,66
Див доход, ао, %;0.0%;0.0%;0.0%;3.2%;3.8%;1.4%;0.7%;6.0%;2.0%
Дивиденды/прибыль, %;0%;0%;0%;0%;82%;57%;4%;23%;17%
Опер. расходы, млрд руб;0.513;0.530;0.535;0.520;0.530;0.600;0.817;0.836;0.817
Себестоимость, млрд руб;1.37;1.31;1.20;1.71;1.47;2.38;3.15;3.76;3.15
Амортизация, млрд руб;;;;;0.2;0.3;0.3;0.4;0.3
Расх на персонал, млрд руб;1.06;1.01;0.487;1.22;1.35;1.65;2.03;2.50;2.03
Процентные расходы, млрд руб;0.043;0.069;0.152;0.120;0.126;0.060;0.080;0.063;0.080
Активы, млрд руб;4.80;5.46;5.73;5.94;6.74;8.58;10.8;11.6;10.8
Чистые активы, млрд руб;2.79;3.05;2.97;2.54;2.57;2.64;3.34;4.30;3.34
Долг, млрд руб;0.930;1.19;1.37;1.04;0.727;0.520;0.434;0.598;0.434
Наличность, млрд руб;0.110;0.260;0.260;0.760;0.611;1.48;1.96;0.646;1.96
Чистый долг, млрд руб;0.82;0.93;1.11;0.28;0.12;-0.96;-1.53;-0.05;-1.53
Цена акции ао, руб;319.0;191.8;196.2;182.8;192.0;516.0;398.5;463.5;584.5
Число акций ао, млн;11.8;11.8;11.8;11.8;11.8;11.8;11.8;11.8;11.8
Капитализация, млрд руб;3.76;2.26;2.31;2.16;2.26;6.08;4.70;5.46;6.89
EV, млрд руб;4.58;3.19;3.42;2.44;2.38;5.12;3.17;5.42;5.36
Баланс стоимость, млрд руб;2.52;2.80;2.76;2.27;2.52;2.58;3.32;4.15;3.32
EPS, руб;30.5;22.1;1.44;-45.2;8.82;12.6;70.2;119.8;70.2
FCF/акцию, руб;-100.1;-8.48;-12.7;70.4;9.33;93.3;48.3;-132.4;48.3
BV/акцию, руб;213.7;237.5;234.1;192.1;214.1;219.1;281.9;352.3;281.9
Рентаб EBITDA, %;17.0%;16.1%;16.2%;15.1%;21.1%;15.9%;23.6%;31.6%;23.6%
Чистая рентаб, %;17.0%;12.7%;0.9%;-22.3%;4.5%;4.7%;17.0%;23.2%;17.0%
Доходность FCF, %;-31.4%;-4.4%;-6.5%;38.5%;4.9%;18.1%;12.1%;-28.6%;8.3%
ROE, %;12.9%;8.5%;0.6%;-21.0%;4.0%;5.6%;24.8%;32.8%;24.8%
ROA, %;7.5%;4.8%;0.3%;-9.0%;1.5%;1.7%;7.7%;12.1%;7.7%
P/E;10.4;8.70;136.1;-4.04;21.8;40.8;5.67;3.87;8.32
P/FCF;-3.19;-22.6;-15.4;2.60;20.6;5.53;8.24;-3.50;12.1
P/S;1.77;1.10;1.25;0.90;0.98;1.90;0.97;0.90;1.42
P/BV;1.49;0.81;0.84;0.95;0.90;2.36;1.41;1.32;2.07
EV/EBITDA;12.7;9.67;11.4;6.76;4.86;10.0;2.76;2.82;4.68
Долг/EBITDA;2.28;2.82;3.70;0.78;0.24;-1.88;-1.33;-0.03;-1.33
Персонал, чел;;;;;;955;978;1 007;978
Производительность труда, млн руб/чел/год;;;;;;3.35;4.97;6.04;4.97
Расходы/чел/год, тыс.р;;;;;;1 728;2 077;2 480;2 077
R&D/CAPEX, %;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
CAPEX/Выручка, %;25%;18%;13%;11%;7%;7%;8%;10%;8%
