;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;08.07.2018;08.07.2018;30.06.2018;13.04.2018;13.04.2018;17.04.2019;31.03.2020;26.03.2021;22.03.2022;21.03.2023;21.03.2024;21.03.2025;23.03.2026;25.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;1.79;3.09;6.62;4.27;6.35;13.6;18.5;7.65;6.38;4.96;9.24;11.2;7.66;7.87
Операционная прибыль, млрд руб;;;;1.79;2.94;4.33;1.50;3.12;3.02;2.45;5.83;7.24;3.62;4.20
EBITDA, млрд руб;0.830;1.71;2.17;1.93;3.12;4.54;1.78;3.40;3.32;2.75;6.16;7.84;4.21;4.82
Чистая прибыль, млрд руб;0.568;1.32;1.71;1.41;2.40;3.40;0.982;2.30;2.38;1.96;4.89;6.41;3.26;4.15
Операционный денежный поток, млрд руб;;;;1.11;2.81;2.21;1.02;5.24;2.52;2.48;4.97;6.99;1.46;3.13
CAPEX, млрд руб;;;0.565;1.92;1.86;1.72;0.953;0.770;0.760;1.13;1.29;0.640;0.506;0.453
FCF, млрд руб;;;;-0.895;0.803;0.092;-0.340;4.17;1.68;1.34;3.96;7.21;2.11;3.96
Див.выплата, млрд руб;;;;;1.34;1.65;0.495;1.16;0.642;0.988;2.48;3.19;;1.60
Дивиденд, руб/акцию;;;17,403;11,8199;19,867;24,71;7,32;17,19;9,5;14,62;36,68;47,48;;23,71
Див доход, ао, %;;;3.8%;5.3%;8.5%;10.8%;2.9%;5.2%;3.3%;5.1%;3.7%;8.1%;0.0%;4.1%
Дивиденд ап, руб/акцию;;;;;;;;;;;;;;0
Дивиденды/прибыль, %;0%;0%;0%;0%;56%;48%;50%;50%;27%;50%;51%;50%;0%;39%
Опер. расходы, млрд руб;;;;0.597;0.672;0.724;1.33;0.484;0.585;0.580;0.890;0.752;0.635;0.645
Себестоимость, млрд руб;0.916;1.21;3.65;2.34;2.73;8.55;15.7;4.05;2.77;1.93;2.52;3.10;3.32;2.95
Амортизация, млрд руб;;;;;;;;;;0.3;0.3;0.6;0.6;0.6
Расх на персонал, млрд руб;;;0.584;0.680;0.825;1.10;0.840;1.08;1.08;1.06;1.58;1.76;1.52;1.49
Процентные расходы, млрд руб;;;0.000;0.100;0.258;0.418;0.470;0.390;0.165;0.072;0.030;0.048;0.000;0.000
Активы, млрд руб;;;3.44;5.18;8.84;12.2;14.5;12.7;11.3;12.5;16.9;18.4;19.3;18.0
Чистые активы, млрд руб;1.96;2.31;2.61;3.21;4.48;6.30;6.38;7.88;9.21;11.2;13.1;15.9;17.8;16.3
Долг, млрд руб;0.000;0.000;0.000;1.50;3.69;4.34;4.61;3.19;1.22;0.360;0.670;0.102;0.000;0.034
Наличность, млрд руб;0.729;0.905;0.511;0.122;1.86;1.36;0.819;3.02;0.902;1.36;4.60;6.32;6.64;5.32
Чистый долг, млрд руб;-0.73;-0.91;-0.51;1.38;1.83;2.99;3.80;0.17;0.32;-1.00;-3.93;-6.22;-6.64;-5.29
Цена акции ао, руб;;;459.0;223.0;234.5;229.0;248.5;331.0;290.0;288.5;996.0;589.5;492.5;572.0
Число акций ао, млн;67.6;67.6;67.6;67.6;67.6;67.6;67.6;67.6;67.6;67.6;67.6;67.1;67.6;67.1
