;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;08.07.2018;08.07.2018;08.07.2018;08.07.2018;08.07.2018;26.04.2019;20.07.2020;30.04.2021;29.04.2022;28.04.2023;27.04.2024;30.04.2025;29.04.2026;29.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;16.1;13.4;15.1;15.3;16.6;20.4;14.8;6.97;7.46;9.71;11.2;12.1;11.7;12.1
Операционная прибыль, млрд руб;;;;;0.267;0.422;0.084;-5.11;0.831;4.45;0.560;0.773;0.083;0.740
EBITDA, млрд руб;0.261;-0.061;0.222;0.041;0.267;0.422;0.084;-5.10;0.831;4.50;1.38;1.67;1.16;1.72
Чистая прибыль, млрд руб;0.032;-0.042;-0.188;-0.338;-0.101;0.235;0.033;-4.20;0.535;1.87;0.340;0.528;-0.006;0.524
Чистая прибыль н/с, млрд руб;;;;;;;;;;5.05;0.340;;;
Операционный денежный поток, млрд руб;;;;;3.22;2.68;-0.060;-0.600;1.94;0.810;-0.090;2.51;1.98;3.11
CAPEX, млрд руб;;;;;1.46;0.590;0.880;1.60;0.780;0.820;0.950;2.44;2.17;3.22
FCF, млрд руб;;;;;1.68;2.08;-0.863;-2.18;1.28;0.438;0.433;0.057;-0.191;-0.122
Див доход, ао, %;;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
Дивиденды/прибыль, %;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0
Опер. расходы, млрд руб;;;;;0.954;0.914;0.852;6.44;0.700;0.760;0.840;0.844;0.908;0.791
Себестоимость, млрд руб;14.8;12.5;13.9;14.0;15.4;19.0;14.0;5.63;5.93;7.63;9.82;10.5;10.6;10.7
Амортизация, млрд руб;;;;;;;;;;;0.8;0.9;1.1;1.0
Расх на персонал, млрд руб;;;;;1.16;1.40;1.11;1.25;1.51;2.53;3.00;2.53;2.56;2.57
Процентные расходы, млрд руб;;;;;0.112;0.000;0.000;0.004;0.003;0.100;0.035;0.007;0.001;0.007
Активы, млрд руб;;;;;8.37;8.70;7.98;3.58;3.96;8.77;8.60;9.16;10.0;10.2
Чистые активы, млрд руб;0.747;0.805;0.897;0.785;0.918;1.45;2.07;-2.20;-1.51;3.40;4.24;4.79;4.66;4.98
Долг, млрд руб;3.00;2.64;2.91;3.66;2.08;0.000;0.240;2.25;1.01;0.650;0.270;0.000;0.000;0.000
Наличность, млрд руб;0.003;0.004;0.001;0.001;0.006;0.005;0.000;0.001;0.720;0.001;0.016;0.026;0.033;0.023
Чистый долг, млрд руб;3.00;2.64;2.91;3.66;2.07;-0.01;0.24;2.25;0.29;0.65;0.25;-0.03;-0.03;-0.02
Цена акции ао, руб;;;;10.8;14.7;13.2;23.8;21.4;23.6;22.9;73.0;43.3;39.8;42.2
Число акций ао, млн;63.7;63.7;63.7;63.7;63.7;63.7;63.7;63.7;63.7;63.7;63.7;63.7;63.7;63.7
Число акций ап, млн;1.97;1.97;1.97;1.97;1.97;1.97;1.97;1.97;1.97;1.97;1.97;1.97;1.97;1.97
Капитализация, млрд руб;0.00;0.00;0.00;0.69;0.94;0.84;1.52;1.36;1.50;1.46;4.65;2.76;2.54;2.69
EV, млрд руб;3.00;2.64;2.91;4.35;3.01;0.84;1.76;3.61;1.79;2.11;4.91;2.73;2.50;2.66
Баланс стоимость, млрд руб;0.75;0.81;0.90;0.79;0.92;1.45;2.07;-2.20;-1.51;3.28;4.07;4.54;4.22;4.72
EPS, руб;0.50;-0.66;-2.95;-5.30;-1.58;3.69;0.52;-65.9;8.39;29.3;5.33;8.28;-0.09;8.22
FCF/акцию, руб;0.00;0.00;0.00;0.00;26.4;32.6;-13.5;-34.2;20.1;6.87;6.79;0.89;-3.00;-1.91
BV/акцию, руб;11.7;12.6;14.1;12.3;14.4;22.7;32.5;-34.5;-23.7;51.5;63.9;71.2;66.2;74.1
Рентаб EBITDA, %;1.6%;-0.5%;1.5%;0.3%;1.6%;2.1%;0.6%;-73.2%;11.1%;46.3%;12.4%;13.8%;9.9%;14.2%
Чистая рентаб, %;0.2%;-0.3%;-1.2%;-2.2%;-0.6%;1.2%;0.2%;-60.3%;7.2%;19.3%;3.0%;4.4%;-0.1%;4.3%
Доходность FCF, %;;;;0.0%;179.3%;246.8%;-56.9%;-159.8%;85.1%;30.0%;9.3%;2.1%;-7.5%;-4.5%
ROE, %;4.3%;-5.2%;-21.0%;-43.1%;-11.0%;16.2%;1.6%;190.9%;-35.4%;55.0%;8.0%;11.0%;-0.1%;10.5%
ROA, %;;;;;-1.2%;2.7%;0.4%;-117.3%;13.5%;21.3%;4.0%;5.8%;-0.1%;5.2%
P/E;0.00;0.00;0.00;-2.04;-9.28;3.58;46.0;-0.32;2.81;0.78;13.7;5.23;-422.5;5.13
P/FCF;;;;;0.56;0.41;-1.76;-0.63;1.18;3.33;10.7;48.4;-13.3;-22.0
P/S;0.00;0.00;0.00;0.04;0.06;0.04;0.10;0.20;0.20;0.15;0.42;0.23;0.22;0.22
P/BV;0.00;0.00;0.00;0.88;1.02;0.58;0.73;-0.62;-1.00;0.45;1.14;0.61;0.60;0.57
EV/EBITDA;11.5;-43.2;13.1;106.1;11.3;1.98;20.9;-0.71;2.16;0.47;3.55;1.64;2.16;1.55
Долг/EBITDA;11.5;-43.2;13.1;89.3;7.76;-0.01;2.86;-0.44;0.35;0.14;0.18;-0.02;-0.03;-0.01
Персонал, чел;;;;;;;;;;;2 478;2 432;2 257;
Производительность труда, млн руб/чел/год;;;;;;;;;;;4.50;4.96;5.18;
Расходы/чел/год, тыс.р;;;;;;;;;;;1 211;1 042;1 134;
R&D/CAPEX, %;;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
CAPEX/Выручка, %;0%;0%;0%;0%;9%;3%;6%;23%;10%;8%;9%;20%;19%;27%
Див доход, ап , %, 0.0%;;;;;;;;;;;;;;
Цена акции ап , руб, 1.000;;;;;;;;;;;;;;
Див доход, ап , %;;;;;;;;;;;;;0.0%;
Цена акции ап , руб;;;;;;;;;;;;;1.000;
