;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";04.07.2018;04.07.2018;04.07.2018;03.05.2018;03.05.2018;30.04.2019;13.05.2020;30.04.2021;04.05.2022;02.05.2023;26.04.2024;28.04.2025;24.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";1.07;1.02;1.08;0.973;0.918;1.05;1.06;1.14;1.50;1.58;6.40;8.84;9.79
"Операционная прибыль, млрд руб";;;;;0.092;0.084;0.083;0.113;0.210;0.088;0.610;0.763;1.04
"EBITDA, млрд руб";0.087;0.133;0.118;0.121;0.209;0.209;0.210;0.260;0.320;0.265;1.14;1.23;1.53
"Чистая прибыль, млрд руб";0.001;0.021;0.195;0.010;0.000;0.005;0.007;0.033;0.120;0.014;0.371;0.279;0.277
"Операционный денежный поток, млрд руб";;;;;0.126;0.103;0.118;0.155;0.263;0.095;-0.740;-0.026;-0.341
"CAPEX, млрд руб";;;;0.131;0.169;0.076;0.180;0.180;0.300;0.142;0.106;0.345;0.384
"FCF, млрд руб";;;;;-0.043;0.027;-0.620;-0.047;-0.049;-0.111;-0.950;-0.556;-0.947
"Див.выплата, млрд руб";;;;;;0.000;;;;;;;
"Дивиденд, руб/акцию";;;;;;0;;;;;;;
"Див доход, ао, %";;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";0%;0%;0%;0%;;0%;0%;0%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";1.01;0.917;0.950;0.868;0.825;0.968;0.970;1.03;1.29;1.50;5.78;8.07;8.74
"Амортизация, млрд руб";;;;;;;0.1;0.1;0.1;0.2;0.4;0.4;0.5
"Расх на персонал, млрд руб";;;;;0.179;0.188;0.213;0.239;0.407;0.565;1.65;2.29;2.71
"Процентные расходы, млрд руб";;;0.097;0.081;0.080;0.068;0.069;0.068;0.041;0.064;0.186;0.441;0.739
"Активы, млрд руб";;;;;1.44;1.52;1.57;1.81;2.43;4.08;8.00;10.9;10.3
"Чистые активы, млрд руб";0.473;0.484;0.503;0.513;0.514;0.519;0.530;0.770;1.32;1.33;3.50;3.74;3.74
"Долг, млрд руб";0.505;0.570;0.541;0.581;0.617;0.599;0.650;0.330;0.562;1.08;1.96;3.10;4.15
"Наличность, млрд руб";0.017;0.006;0.018;0.009;0.006;0.014;0.006;0.016;0.012;0.026;0.058;0.263;0.112
"Чистый долг, млрд руб";0.49;0.56;0.52;0.57;0.61;0.59;0.64;0.31;0.55;1.05;1.90;2.84;4.04
"Цена акции ао, руб";;;153.0;310.0;305.0;243.0;232.0;194.0;180.5;147.0;520.0;279.5;294.5
"Число акций ао, млн";1.20;1.20;1.20;1.20;1.20;1.20;1.20;1.20;1.20;15.7;15.7;15.7;15.7
"Капитализация, млрд руб";0.00;0.00;0.18;0.37;0.37;0.29;0.28;0.23;0.22;2.31;8.16;4.39;4.62
"EV, млрд руб";0.49;0.56;0.71;0.94;0.98;0.88;0.92;0.55;0.77;3.36;10.1;7.22;8.66
"Баланс стоимость, млрд руб";0.47;0.48;0.40;0.42;0.39;0.40;0.43;0.69;1.25;1.17;3.39;3.39;3.41
"EPS, руб";0.83;17.5;162.4;8.33;0.00;4.16;5.83;27.5;99.9;0.89;23.6;17.8;17.6
"FCF/акцию, руб";0.00;0.00;0.00;0.00;-35.8;22.5;-516.2;-39.1;-40.8;-7.07;-60.5;-35.4;-60.3
"BV/акцию, руб";393.8;403.0;333.1;348.9;322.2;336.4;358.0;570.4;"1 037";74.3;216.2;215.8;217.0
"Рентаб EBITDA, %";8.1%;13.0%;10.9%;12.4%;22.8%;19.9%;19.8%;22.8%;21.3%;16.7%;17.8%;13.9%;15.6%
"Чистая рентаб, %";0.1%;2.1%;18.1%;1.0%;0.0%;0.5%;0.7%;2.9%;8.0%;0.9%;5.8%;3.2%;2.8%
"Доходность FCF, %";;;0.0%;0.0%;-11.7%;9.3%;-222.5%;-20.2%;-22.6%;-4.8%;-11.6%;-12.7%;-20.5%
"ROE, %";0.2%;4.3%;38.8%;1.9%;0.0%;1.0%;1.3%;4.3%;9.1%;1.0%;10.6%;7.5%;7.4%
"ROA, %";;;;;0.0%;0.3%;0.4%;1.8%;4.9%;0.3%;4.6%;2.6%;2.7%
P/E;0.00;0.00;0.94;37.2;;58.4;39.8;7.06;1.81;164.9;22.0;15.7;16.7
P/FCF;;;;;-8.52;10.8;-0.45;-4.96;-4.42;-20.8;-8.59;-7.89;-4.88
P/S;0.00;0.00;0.17;0.38;0.40;0.28;0.26;0.20;0.14;1.46;1.28;0.50;0.47
P/BV;0.00;0.00;0.46;0.89;0.95;0.72;0.65;0.34;0.17;1.98;2.41;1.29;1.36
EV/EBITDA;5.61;4.24;5.99;7.80;4.68;4.20;4.39;2.10;2.40;12.7;8.82;5.87;5.66
Долг/EBITDA;5.61;4.24;4.43;4.73;2.92;2.80;3.07;1.21;1.72;3.98;1.67;2.30;2.64
"R&D/CAPEX, %";;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";0%;0%;0%;13%;18%;7%;17%;16%;20%;9%;2%;4%;4%
