;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;;;;;;;;;08.07.2018;23.05.2018;23.05.2018;23.05.2018;23.05.2018;07.03.2019;06.03.2020;05.03.2021;04.03.2022;27.05.2023;16.05.2024;27.05.2025;;27.05.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Установленная мощность, ГВт;;;;;;;;;;18.4;18.0;19.0;19.0;18.8;19.0;17.6;16.5;16.3;16.3;;;
Установл. тепл. мощность, Гкал/ч;;;;;;;;;;;;;;;;;2 788;2 694;2 723;;;
Выработка электроэнергии, ТВт*ч;;;;;;;;75.2;70.7;68.7;60.4;67.1;63.0;59.3;54.7;44.2;49.8;48.5;53.4;57.4;55.7;55.7
Ср. цена реализации э/э, руб/кВт*ч;;;;;;;;;1 039;1 110;1 107;1 175;1 186;1 203;1 228;1 200;1 420;;;;;
Отпуск э/э потребителям из сети, млрд кВт*ч;;;;;;;;70.9;66.3;64.4;60.4;63.0;59.3;55.0;51.1;41.2;46.7;;;;;
Отпуск тепл.энергии, млн Гкал;;;;;;;;;;2.30;6.52;6.90;6.76;7.00;6.65;5.84;5.30;5.18;5.24;5.19;4.93;4.93
Реализация мощности, ГВт;;;;;;;;;;;15.5;16.7;17.3;16.9;;;;;;;;
КИУМ, %;;;;;;;;47.5%;44.9%;43.5%;40.8%;40.8%;38.2%;36.2%;33.0%;27.0%;34.5%;;;;;
Выручка, млрд руб;;;;;;;;;112.0;115.9;112.2;134.4;141.3;143.2;134.6;120.7;141.6;;;;;
Операционная прибыль, млрд руб;;;;;;;;;;-0.720;3.92;9.39;15.6;14.1;17.8;18.4;7.70;;;;;
EBITDA, млрд руб;;;;;;;;;11.4;11.8;8.48;18.9;26.8;27.1;36.0;34.0;39.5;;;;;
Чистая прибыль, млрд руб;;;;;;;;;4.24;-0.945;3.35;3.17;7.20;8.31;12.0;13.3;4.44;12.1;;;;0.000
Операционный денежный поток, млрд руб;;;;;;;;;;12.7;9.40;24.3;24.7;27.5;27.9;18.9;33.1;;;;;
CAPEX, млрд руб;;;;;;;;;;21.7;26.8;14.8;10.1;9.05;9.09;6.90;14.8;;;;;
FCF, млрд руб;;;;;;;;;;-9.00;-17.4;-1.14;4.41;18.4;18.8;12.0;18.3;;;;;
Див.выплата, млрд руб;0.195;0.140;0.040;0.000;0.000;0.160;0.056;0.000;0.000;0.861;0.600;0.870;1.73;3.90;6.00;6.63;10.7;6.41;;8.15;;
Дивиденд, руб/акцию;0,0181;0,005412;0,0015257;0;0;0,0048759;0,000998761;0;0;0,0081;0,0057;0,0082;0,0163;0,037;0,054;0,06;0,0966;0,058076;;0,0598;;
Див доход, ао, %;;0.1%;0.0%;0.0%;0.0%;0.3%;0.1%;0.0%;0.0%;5.1%;2.6%;1.6%;3.6%;11.7%;9.6%;8.2%;15.2%;10.5%;0.0%;17.4%;0.0%;0.0%
Дивиденды/прибыль, %;;;;;;;;;0%;0%;18%;27%;24%;47%;50%;50%;240%;53%;;;;
Опер. расходы, млрд руб;;;;;;;;;105.3;116.8;108.5;124.5;125.3;127.5;116.3;101.5;134.1;;;;;
Расх на персонал, млрд руб;;;;;;;;;;7.57;7.97;8.46;8.10;8.80;9.38;9.49;8.98;;;;;
Процентные расходы, млрд руб;;;;;;;;;;3.68;4.87;6.58;5.69;4.26;4.43;2.30;2.30;;;;;
Активы, млрд руб;;;;;;;;;;198.5;215.4;216.4;216.1;213.4;225.9;224.4;210.1;204.9;;;;
Чистые активы, млрд руб;;;;;;;;;118.1;116.5;113.1;114.8;121.0;127.3;137.3;144.6;142.8;144.9;;;;
Долг, млрд руб;;;;;;;32.8;23.6;34.7;47.2;72.7;67.1;59.3;47.1;52.6;44.9;36.5;31.5;;;;
Наличность, млрд руб;;;;;;;0.359;5.88;8.86;13.1;7.54;4.54;5.14;9.56;23.2;15.3;19.3;6.53;;;;
Чистый долг, млрд руб;0.00;0.00;0.00;0.00;0.00;0.00;32.4;17.7;25.9;34.1;65.2;62.5;54.2;37.5;29.4;29.6;17.3;25.0;0.00;0.00;0.00;0
Цена акции ао, руб;;3.66;3.75;0.258;0.919;1.80;0.750;0.340;0.250;0.160;0.220;0.500;0.447;0.317;0.563;0.732;0.634;0.553;0.549;0.344;0.333;0.363
Число акций ао, млн;;;;;;;;;110 441;110 441;110 441;110 441;110 441;110 441;110 441;110 441;110 441;110 441;110 441;136 207;136 207;136 207
Free Float, %;;;;;;;;;;;;;;;19.0%;19.0%;19.0%;19.0%;19.0%;19.0%;;
Капитализация, млрд руб;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27.6;17.7;24.3;55.2;49.3;35.0;62.2;80.8;70.1;61.0;60.6;46.8;45.3;49.4
EV, млрд руб;0.00;0.00;0.00;0.00;0.00;0.00;32.4;17.7;53.5;51.8;89.5;117.7;103.5;72.5;91.6;110.5;87.3;86.0;60.6;46.8;45.3;49.4
Баланс стоимость, млрд руб;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;116.5;115.2;112.0;113.9;120.3;126.7;136.9;144.2;142.4;144.6;0.00;0.00;0.00;0
EPS, руб;;;;;;;;;0.04;-0.01;0.03;0.03;0.07;0.08;0.11;0.12;0.04;0.11;0.00;0.00;0.00;0
FCF/акцию, руб;;;;;;;;;0.00;-0.08;-0.16;-0.01;0.04;0.17;0.17;0.11;0.17;0.00;0.00;0.00;0.00;0
BV/акцию, руб;;;;;;;;;1.06;1.04;1.01;1.03;1.09;1.15;1.24;1.31;1.29;1.31;0.00;0.00;0.00;0
Рентаб EBITDA, %;;;;;;;;;10.2%;10.2%;7.6%;14.1%;18.9%;18.9%;26.7%;28.2%;27.9%;;;;;
Чистая рентаб, %;;;;;;;;;3.8%;-0.8%;3.0%;2.4%;5.1%;5.8%;8.9%;11.0%;3.1%;;;;;
Доходность FCF, %;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;-50.9%;-71.7%;-2.1%;8.9%;52.7%;30.2%;14.8%;26.1%;0.0%;0.0%;0.0%;0.0%;0.0%
ROE, %;;;;;;;;;3.6%;-0.8%;3.0%;2.8%;5.9%;6.5%;8.8%;9.2%;3.1%;8.3%;;;;
ROA, %;;;;;;;;;;-0.5%;1.6%;1.5%;3.3%;3.9%;5.3%;5.9%;2.1%;5.9%;;;;
P/E;;;;;;;;;6.51;-18.7;7.25;17.4;6.85;4.21;5.17;6.08;15.8;5.05;;;;
P/FCF;;;;;;;;;;-1.96;-1.39;-48.4;11.2;1.90;3.31;6.74;3.83;;;;;
P/S;;;;;;;;;0.25;0.15;0.22;0.41;0.35;0.24;0.46;0.67;0.49;;;;;
P/BV;;;;;;;;;0.24;0.15;0.22;0.48;0.41;0.28;0.45;0.56;0.49;0.42;;;;
EV/EBITDA;;;;;;;;;4.68;4.38;10.5;6.22;3.87;2.68;2.55;3.25;2.21;;;;;
Долг/EBITDA;;;;;;;;;2.26;2.89;7.68;3.30;2.02;1.39;0.82;0.87;0.44;;;;;
Персонал, чел;;;;;;;;;;8 949;8 957;8 683;8 438;8 248;8 261;7 917;;;;;;
Производительность труда, млн руб/чел/год;;;;;;;;;;13.0;12.5;15.5;16.7;17.4;16.3;15.2;;;;;;
Расходы/чел/год, тыс.р;;;;;;;;;;846.4;889.5;974.3;959.9;1 067;1 135;1 198;;;;;;
R&D/CAPEX, %;;;;;;;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;;;;;
Цена/мощность, руб/кВт;;;;;;;;;;2 811;4 964;6 210;5 448;3 850;4 818;6 274;5 293;5 270;3 710;;;
CAPEX/Выручка, %;;;;;;;;;0%;19%;24%;11%;7%;6%;7%;6%;10%;;;;;
